system,label,score_type,score,model,sub_model,delta,is_better,baseline_model,baseline_score,gender,label_type,description,score_pvalue,wilcox_pvalue,n_seeds,n_subjects,n_positive
ASBV_Prediction,gender,auc,0.9784645743766721,long_seq,activity_romberg_closed,,,,,all,categorical,"Gender of subject (1=male, 2=female)",,,15,3387,1641.0
ASBV_Prediction,bmi,pearson_r,0.8410248183353397,long_seq,activity_romberg_closed,,,,,female,regression,Body Mass Index (weight/height^2),0.0,,15,3386,
ASBV_Prediction,bmi,pearson_r,0.8336694201593332,long_seq,activity_romberg_closed,,,,,all,regression,Body Mass Index (weight/height^2),0.0,,15,3386,
ASBV_Prediction,bmi,pearson_r,0.817075467496527,long_seq,activity_romberg_closed,,,,,male,regression,Body Mass Index (weight/height^2),0.0,,15,3386,
ASBV_Prediction,total_scan_vat_area,pearson_r,0.7401155567731137,long_seq,activity_romberg_closed,,,,,all,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",0.0,,15,3287,
ASBV_Prediction,total_scan_vat_area,pearson_r,0.7304934993652837,long_seq,activity_romberg_closed,,,,,female,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",1.5413853112685636e-276,,15,3287,
ASBV_Prediction,total_scan_vat_area,pearson_r,0.7226675348765235,long_seq,activity_romberg_closed,,,,,male,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",1.5643521318593337e-252,,15,3287,
ASBV_Prediction,age,pearson_r,0.40894210105428314,long_seq,activity_romberg_closed,,,,,female,regression,Age of subject at time of measurement in years,1.323389681168339e-69,,15,3387,
ASBV_Prediction,age,pearson_r,0.408134397400678,long_seq,activity_romberg_closed,,,,,all,regression,Age of subject at time of measurement in years,5.811677270847721e-134,,15,3387,
ASBV_Prediction,age,pearson_r,0.40298288403544774,long_seq,activity_romberg_closed,,,,,male,regression,Age of subject at time of measurement in years,7.384308451783575e-64,,15,3387,
ASBV_Prediction,gender,auc,0.9938753465251888,long_seq,activity_self_selected_gait_speed,,,,,all,categorical,"Gender of subject (1=male, 2=female)",,,15,3257,1585.0
ASBV_Prediction,bmi,pearson_r,0.8733480798717712,long_seq,activity_self_selected_gait_speed,,,,,female,regression,Body Mass Index (weight/height^2),0.0,,15,3256,
ASBV_Prediction,bmi,pearson_r,0.8604135996465766,long_seq,activity_self_selected_gait_speed,,,,,all,regression,Body Mass Index (weight/height^2),0.0,,15,3256,
ASBV_Prediction,bmi,pearson_r,0.8375690676894549,long_seq,activity_self_selected_gait_speed,,,,,male,regression,Body Mass Index (weight/height^2),0.0,,15,3256,
ASBV_Prediction,total_scan_vat_area,pearson_r,0.7750614054988217,long_seq,activity_self_selected_gait_speed,,,,,all,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",0.0,,15,3164,
ASBV_Prediction,total_scan_vat_area,pearson_r,0.7727223997711039,long_seq,activity_self_selected_gait_speed,,,,,male,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",2.233375634379114e-304,,15,3164,
ASBV_Prediction,total_scan_vat_area,pearson_r,0.7222893420023291,long_seq,activity_self_selected_gait_speed,,,,,female,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",1.3979544128855487e-255,,15,3164,
ASBV_Prediction,age,pearson_r,0.6397200863525812,long_seq,activity_self_selected_gait_speed,,,,,male,regression,Age of subject at time of measurement in years,2.9451002390131333e-179,,15,3257,
ASBV_Prediction,age,pearson_r,0.6098784426039501,long_seq,activity_self_selected_gait_speed,,,,,all,regression,Age of subject at time of measurement in years,1.5e-323,,15,3257,
ASBV_Prediction,age,pearson_r,0.5811571185837465,long_seq,activity_self_selected_gait_speed,,,,,female,regression,Age of subject at time of measurement in years,1.0538185437492204e-148,,15,3257,
ASBV_Prediction,gender,auc,0.9913444072259441,long_seq,activity_sit_to_stand,,,,,all,categorical,"Gender of subject (1=male, 2=female)",,,15,3396,1644.0
ASBV_Prediction,bmi,pearson_r,0.825161814498594,long_seq,activity_sit_to_stand,,,,,female,regression,Body Mass Index (weight/height^2),0.0,,15,3395,
ASBV_Prediction,bmi,pearson_r,0.8173162942042502,long_seq,activity_sit_to_stand,,,,,all,regression,Body Mass Index (weight/height^2),0.0,,15,3395,
ASBV_Prediction,bmi,pearson_r,0.7988886461034814,long_seq,activity_sit_to_stand,,,,,male,regression,Body Mass Index (weight/height^2),0.0,,15,3395,
ASBV_Prediction,total_scan_vat_area,pearson_r,0.7213934555778596,long_seq,activity_sit_to_stand,,,,,all,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",0.0,,15,3296,
ASBV_Prediction,total_scan_vat_area,pearson_r,0.6973107390012114,long_seq,activity_sit_to_stand,,,,,male,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",3.386928440611242e-231,,15,3296,
ASBV_Prediction,total_scan_vat_area,pearson_r,0.6954856243353255,long_seq,activity_sit_to_stand,,,,,female,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",6.79656987243744e-238,,15,3296,
ASBV_Prediction,age,pearson_r,0.5123360988030251,long_seq,activity_sit_to_stand,,,,,male,regression,Age of subject at time of measurement in years,2.1253175294976987e-107,,15,3396,
ASBV_Prediction,age,pearson_r,0.5021979825081196,long_seq,activity_sit_to_stand,,,,,all,regression,Age of subject at time of measurement in years,3.2549938149060535e-211,,15,3396,
ASBV_Prediction,age,pearson_r,0.4922721416656955,long_seq,activity_sit_to_stand,,,,,female,regression,Age of subject at time of measurement in years,2.6892832077906015e-103,,15,3396,
ASBV_Prediction,gender,auc,0.9922828132078252,long_seq,activity_stationary_walk,,,,,all,categorical,"Gender of subject (1=male, 2=female)",,,15,3395,1643.0
ASBV_Prediction,bmi,pearson_r,0.8677390822450438,long_seq,activity_stationary_walk,,,,,female,regression,Body Mass Index (weight/height^2),0.0,,15,3394,
ASBV_Prediction,bmi,pearson_r,0.866996319130427,long_seq,activity_stationary_walk,,,,,all,regression,Body Mass Index (weight/height^2),0.0,,15,3394,
ASBV_Prediction,bmi,pearson_r,0.8618902266552249,long_seq,activity_stationary_walk,,,,,male,regression,Body Mass Index (weight/height^2),0.0,,15,3394,
ASBV_Prediction,total_scan_vat_area,pearson_r,0.7935750792575329,long_seq,activity_stationary_walk,,,,,all,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",0.0,,15,3295,
ASBV_Prediction,total_scan_vat_area,pearson_r,0.7878366564876695,long_seq,activity_stationary_walk,,,,,male,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",0.0,,15,3295,
ASBV_Prediction,total_scan_vat_area,pearson_r,0.7657382151192341,long_seq,activity_stationary_walk,,,,,female,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",3.6629903e-317,,15,3295,
ASBV_Prediction,age,pearson_r,0.5843925075786487,long_seq,activity_stationary_walk,,,,,male,regression,Age of subject at time of measurement in years,2.131581839425535e-147,,15,3395,
ASBV_Prediction,age,pearson_r,0.5736443428837192,long_seq,activity_stationary_walk,,,,,all,regression,Age of subject at time of measurement in years,3.3850785869240083e-293,,15,3395,
