target,activity,gender,metric,source,seed,value
age,ensemble,all,pearson_r,embeddings,0,0.6902774927512885
age,ensemble,all,pearson_r,embeddings,1,0.6894744098384753
age,ensemble,all,pearson_r,embeddings,2,0.6854704880253348
age,ensemble,all,pearson_r,embeddings,3,0.6860601423646461
age,ensemble,all,pearson_r,embeddings,4,0.688598991827206
age,ensemble,all,pearson_r,embeddings,5,0.6913982967408241
age,ensemble,all,pearson_r,embeddings,6,0.6875487002917523
age,ensemble,all,pearson_r,embeddings,7,0.6880863823838816
age,ensemble,all,pearson_r,embeddings,8,0.687497927204561
age,ensemble,all,pearson_r,embeddings,9,0.6899835012611792
age,ensemble,all,pearson_r,embeddings,10,0.6913059917396988
age,ensemble,all,pearson_r,embeddings,11,0.688960274012809
age,ensemble,all,pearson_r,embeddings,12,0.6872809110824515
age,ensemble,all,pearson_r,embeddings,13,0.692428378650806
age,ensemble,all,pearson_r,embeddings,14,0.69127183904016
age,activity_tm_3kmh,all,pearson_r,embeddings,0,0.6270566593853896
age,activity_tm_3kmh,all,pearson_r,embeddings,1,0.6216371216173012
age,activity_tm_3kmh,all,pearson_r,embeddings,2,0.6197116796577845
age,activity_tm_3kmh,all,pearson_r,embeddings,3,0.6210650168881199
age,activity_tm_3kmh,all,pearson_r,embeddings,4,0.6199282886755815
age,activity_tm_3kmh,all,pearson_r,embeddings,5,0.623324777792644
age,activity_tm_3kmh,all,pearson_r,embeddings,6,0.6223122208810167
age,activity_tm_3kmh,all,pearson_r,embeddings,7,0.6215637353276354
age,activity_tm_3kmh,all,pearson_r,embeddings,8,0.6233419540052569
age,activity_tm_3kmh,all,pearson_r,embeddings,9,0.6265771191144399
age,activity_tm_3kmh,all,pearson_r,embeddings,10,0.6269996899717519
age,activity_tm_3kmh,all,pearson_r,embeddings,11,0.6268990888639743
age,activity_tm_3kmh,all,pearson_r,embeddings,12,0.6191906285306582
age,activity_tm_3kmh,all,pearson_r,embeddings,13,0.6267815157858561
age,activity_tm_3kmh,all,pearson_r,embeddings,14,0.6300783993911137
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,0,0.6133462559439259
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,1,0.6061954957561846
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,2,0.6106359608448695
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,3,0.6035033501558225
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,4,0.6076943016038467
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,5,0.6121763448255778
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,6,0.606838886653407
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,7,0.6089046285032031
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,8,0.6073047020781995
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,9,0.6158641940696266
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,10,0.61463705321856
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,11,0.6114011988532848
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,12,0.6040376494737139
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,13,0.6130496952561688
age,activity_self_selected_gait_speed,all,pearson_r,embeddings,14,0.6125869218228602
age,activity_stationary_walk,all,pearson_r,embeddings,0,0.57642468310522
age,activity_stationary_walk,all,pearson_r,embeddings,1,0.5745243894604808
age,activity_stationary_walk,all,pearson_r,embeddings,2,0.5707608366584969
age,activity_stationary_walk,all,pearson_r,embeddings,3,0.5730429353817873
age,activity_stationary_walk,all,pearson_r,embeddings,4,0.5731729009422835
age,activity_stationary_walk,all,pearson_r,embeddings,5,0.5759506329493981
age,activity_stationary_walk,all,pearson_r,embeddings,6,0.5703745733621729
age,activity_stationary_walk,all,pearson_r,embeddings,7,0.5712973101391082
age,activity_stationary_walk,all,pearson_r,embeddings,8,0.5755547310187706
age,activity_stationary_walk,all,pearson_r,embeddings,9,0.5751124430784557
age,activity_stationary_walk,all,pearson_r,embeddings,10,0.571385494434355
age,activity_stationary_walk,all,pearson_r,embeddings,11,0.5706925123352978
age,activity_stationary_walk,all,pearson_r,embeddings,12,0.5763518687148664
age,activity_stationary_walk,all,pearson_r,embeddings,13,0.5745338204872412
age,activity_stationary_walk,all,pearson_r,embeddings,14,0.5754860111878538
age,activity_sit_to_stand,all,pearson_r,embeddings,0,0.4993004535764749
age,activity_sit_to_stand,all,pearson_r,embeddings,1,0.5056305478233999
age,activity_sit_to_stand,all,pearson_r,embeddings,2,0.4979352595051484
age,activity_sit_to_stand,all,pearson_r,embeddings,3,0.4983289537488369
age,activity_sit_to_stand,all,pearson_r,embeddings,4,0.506457329073369
age,activity_sit_to_stand,all,pearson_r,embeddings,5,0.508405084543113
age,activity_sit_to_stand,all,pearson_r,embeddings,6,0.495775577684639
age,activity_sit_to_stand,all,pearson_r,embeddings,7,0.5013328558739889
age,activity_sit_to_stand,all,pearson_r,embeddings,8,0.4970590434378321
age,activity_sit_to_stand,all,pearson_r,embeddings,9,0.5042615143781525
age,activity_sit_to_stand,all,pearson_r,embeddings,10,0.5100525919980882
age,activity_sit_to_stand,all,pearson_r,embeddings,11,0.5062775990697935
age,activity_sit_to_stand,all,pearson_r,embeddings,12,0.4962667830053319
age,activity_sit_to_stand,all,pearson_r,embeddings,13,0.5061246038488719
age,activity_sit_to_stand,all,pearson_r,embeddings,14,0.4997615400547543
age,activity_romberg_closed,all,pearson_r,embeddings,0,0.407245167818809
age,activity_romberg_closed,all,pearson_r,embeddings,1,0.4081136811747732
age,activity_romberg_closed,all,pearson_r,embeddings,2,0.4048048392391657
age,activity_romberg_closed,all,pearson_r,embeddings,3,0.4058217857230154
