endpoint,system,gender,top_percent,n_folds,n_mean,n_positive_mean,baseline_auc_selected,gait_auc_selected,delta_auc_selected,auc_selection_fdr,sensitivity_base_top10,sensitivity_gait_top10,delta_sensitivity_top10,fold_change_sensitivity_top10,specificity_base_top10,specificity_gait_top10,delta_specificity_top10,paired_t_pvalue,paired_t_pvalue_fdr,fdr_significant_gain_q_lt_0p1,display_endpoint
Psoriasis,medical_conditions,female,10,10,1759.0,46.0,0.4205563592984592,0.5414150498950704,0.12085869059661118,0.00537109375,0.028260869565217388,0.17826086956521742,0.15000000000000002,6.307692307692309,0.8980151780502043,0.9020431990659663,0.004028021015762051,2.3894421256164208e-06,4.5399400386711995e-05,True,Psoriasis
OTHERGYNECOLOGICALSinATC,medications,female,10,10,1759.0,16.0,0.3193165519219735,0.5470920213682577,0.22777546944628407,0.00537109375,0.01875,0.0875,0.06874999999999999,4.666666666666667,0.8991967871485944,0.8998278829604132,0.0006310958118187493,0.0010978741643921947,0.004171921824690341,True,Other gynecologicals in ATC
Perimenopausal Disorders,medical_conditions,female,10,10,1759.0,16.0,0.5549680866322433,0.6133614966807484,0.05839341004850499,0.00537109375,0.0375,0.1625,0.125,4.333333333333334,0.8993689041881812,0.9005163511187607,0.0011474469305795543,0.0010538712570165528,0.004171921824690341,True,Perimenopausal Disorders
HORMONEANTAGONISTSANDRELATEDAGENTS,medications,female,10,10,1759.0,20.0,0.5048936170212766,0.5853377598152425,0.08044414279396592,0.0060221354166666,0.05,0.16499999999999998,0.11499999999999998,3.2999999999999994,0.8993674525589418,0.9006900517538815,0.001322599194939711,9.93502899680325e-06,9.438277546963087e-05,True,Hormone antagonists and related agents
Peptic Ulcer Disease,medical_conditions,female,10,10,1759.0,25.0,0.5322129255626082,0.6169670202849659,0.0847540947223577,0.0057051809210526,0.07307692307692307,0.19615384615384612,0.12307692307692306,2.6842105263157894,0.8995383727639933,0.9013848817080208,0.0018465089440274918,0.00010738957086648265,0.0006801339488210567,True,Peptic Ulcer Disease
Urinary Tract Stones,medical_conditions,female,10,10,1759.0,19.0,0.3934042553191489,0.5956697459584295,0.2022654906392806,0.00677490234375,0.02,0.04,0.02,2.0,0.8990224266820009,0.8992524439332948,0.00023001725129390138,0.16785065605707486,0.27040580303980866,False,Urinary Tract Stones
IRONANTIANEMICPREPARATIONS,medications,female,10,10,1759.0,48.0,0.5021164423639555,0.5464811678981938,0.0443647255342383,0.00537109375,0.08800000000000001,0.142,0.05399999999999998,1.6136363636363633,0.8995904037448799,0.9011702750146284,0.0015798712697485673,0.007630072569375827,0.018121422352267588,True,IRONANTIANEMICPREPARATIONS
Fractures,medical_conditions,female,10,10,1759.0,139.0,0.5054365151950665,0.5390267693115212,0.0335902541164546,0.0060221354166666,0.09014084507042253,0.11549295774647887,0.025352112676056346,1.2812500000000002,0.8990723562152135,0.9012987012987013,0.002226345083487735,0.009990684849755092,0.021091445793927417,True,Fractures
ADRENERGICSINHALANTS,medications,female,10,10,1759.0,18.0,0.410761695066692,0.5461238747816741,0.135362179714982,0.00537109375,0.1,0.1277777777777778,0.02777777777777779,1.277777777777778,0.899942561746123,0.9002297530155083,0.0002871912693853673,0.4401575296513456,0.5236627530536606,False,Adrenergics inhalants
ANTIDEPRESSANTS,medications,female,10,10,1759.0,143.0,0.5451693084181564,0.5911443972120098,0.04597508879385339,0.00537109375,0.1217687074829932,0.15170068027210884,0.029931972789115635,1.2458100558659218,0.9019230769230768,0.904652605459057,0.0027295285359801857,0.005985722301796029,0.016246960533446365,True,Antidepressants
