gender,target,duration_seconds,pearson_r,interm_name
all,age,10,0.5847079430232158,intermittent_10s_5x2s
all,age,10,0.5742625261559505,intermittent_10s_5x2s
all,age,10,0.5816034638548475,intermittent_10s_5x2s
all,age,10,0.5742564230937348,intermittent_10s_5x2s
all,age,10,0.5784549352251597,intermittent_10s_5x2s
all,age,10,0.5789976232688068,intermittent_10s_5x2s
all,age,10,0.5774386569906386,intermittent_10s_5x2s
all,age,10,0.5727516350675117,intermittent_10s_5x2s
all,age,10,0.5806656758909235,intermittent_10s_5x2s
all,age,10,0.5813958298589024,intermittent_10s_5x2s
all,bmi,10,0.8496538446968822,intermittent_10s_5x2s
all,bmi,10,0.8496889161692646,intermittent_10s_5x2s
all,bmi,10,0.8480962197493961,intermittent_10s_5x2s
all,bmi,10,0.8502494377295243,intermittent_10s_5x2s
all,bmi,10,0.8504440496575245,intermittent_10s_5x2s
all,bmi,10,0.8490501252143929,intermittent_10s_5x2s
all,bmi,10,0.8508415170751497,intermittent_10s_5x2s
all,bmi,10,0.8503211692755781,intermittent_10s_5x2s
all,bmi,10,0.8492139932637457,intermittent_10s_5x2s
all,bmi,10,0.8475849334917855,intermittent_10s_5x2s
all,total_scan_vat_area,10,0.7610061452485022,intermittent_10s_5x2s
all,total_scan_vat_area,10,0.7600897288525335,intermittent_10s_5x2s
all,total_scan_vat_area,10,0.7657340605324093,intermittent_10s_5x2s
all,total_scan_vat_area,10,0.7653523263613512,intermittent_10s_5x2s
all,total_scan_vat_area,10,0.7626122471987552,intermittent_10s_5x2s
all,total_scan_vat_area,10,0.7654516195986902,intermittent_10s_5x2s
all,total_scan_vat_area,10,0.7596317262319031,intermittent_10s_5x2s
all,total_scan_vat_area,10,0.7633590729970375,intermittent_10s_5x2s
all,total_scan_vat_area,10,0.7628998115843475,intermittent_10s_5x2s
all,total_scan_vat_area,10,0.7624265658744116,intermittent_10s_5x2s
all,hr_bpm,10,0.2496618796118575,intermittent_10s_5x2s
all,hr_bpm,10,0.2494849235307966,intermittent_10s_5x2s
all,hr_bpm,10,0.2445824246039775,intermittent_10s_5x2s
all,hr_bpm,10,0.2474523611604928,intermittent_10s_5x2s
all,hr_bpm,10,0.248104652290119,intermittent_10s_5x2s
all,hr_bpm,10,0.2414759705692662,intermittent_10s_5x2s
all,hr_bpm,10,0.2449382728569302,intermittent_10s_5x2s
all,hr_bpm,10,0.2503669931778123,intermittent_10s_5x2s
all,hr_bpm,10,0.2372931020851844,intermittent_10s_5x2s
all,hr_bpm,10,0.2437027032924878,intermittent_10s_5x2s
all,liver_elasticity,10,0.3216898518273039,intermittent_10s_5x2s
all,liver_elasticity,10,0.3252895979519476,intermittent_10s_5x2s
all,liver_elasticity,10,0.325769251673741,intermittent_10s_5x2s
all,liver_elasticity,10,0.3186578298484372,intermittent_10s_5x2s
all,liver_elasticity,10,0.3129141359444063,intermittent_10s_5x2s
all,liver_elasticity,10,0.3171801723703224,intermittent_10s_5x2s
all,liver_elasticity,10,0.3261579783968676,intermittent_10s_5x2s
all,liver_elasticity,10,0.3143538118045429,intermittent_10s_5x2s
all,liver_elasticity,10,0.3101138487825164,intermittent_10s_5x2s
all,liver_elasticity,10,0.3141007889800604,intermittent_10s_5x2s
all,age,30,0.6100247631464323,intermittent_30s_6x5s
all,age,30,0.6036127884683675,intermittent_30s_6x5s
all,age,30,0.6066677555649077,intermittent_30s_6x5s
all,age,30,0.6046241610058594,intermittent_30s_6x5s
all,age,30,0.6047163858517108,intermittent_30s_6x5s
all,age,30,0.6072581144139886,intermittent_30s_6x5s
all,age,30,0.6072823696746801,intermittent_30s_6x5s
all,age,30,0.6087311910000989,intermittent_30s_6x5s
all,age,30,0.6051459461476411,intermittent_30s_6x5s
all,age,30,0.6103609586508523,intermittent_30s_6x5s
all,bmi,30,0.8543639376729003,intermittent_30s_6x5s
all,bmi,30,0.8566402208644495,intermittent_30s_6x5s
all,bmi,30,0.8541812098260054,intermittent_30s_6x5s
all,bmi,30,0.8562685946012875,intermittent_30s_6x5s
all,bmi,30,0.8544866616633638,intermittent_30s_6x5s
all,bmi,30,0.855737735615891,intermittent_30s_6x5s
all,bmi,30,0.8553044831143065,intermittent_30s_6x5s
all,bmi,30,0.8552549827169507,intermittent_30s_6x5s
all,bmi,30,0.8534737197405218,intermittent_30s_6x5s
all,bmi,30,0.8521316866945887,intermittent_30s_6x5s
all,total_scan_vat_area,30,0.757583790839636,intermittent_30s_6x5s
all,total_scan_vat_area,30,0.7601617286933021,intermittent_30s_6x5s
all,total_scan_vat_area,30,0.7650447137594913,intermittent_30s_6x5s
all,total_scan_vat_area,30,0.7628038913184598,intermittent_30s_6x5s
all,total_scan_vat_area,30,0.7637846755789383,intermittent_30s_6x5s
all,total_scan_vat_area,30,0.766049794174594,intermittent_30s_6x5s
all,total_scan_vat_area,30,0.7589105281877788,intermittent_30s_6x5s
all,total_scan_vat_area,30,0.7623924638434022,intermittent_30s_6x5s
all,total_scan_vat_area,30,0.7607877626421609,intermittent_30s_6x5s
all,total_scan_vat_area,30,0.7609895907580428,intermittent_30s_6x5s
all,hr_bpm,30,0.2391399181201008,intermittent_30s_6x5s
all,hr_bpm,30,0.2465339771811322,intermittent_30s_6x5s
all,hr_bpm,30,0.2416541380620325,intermittent_30s_6x5s
all,hr_bpm,30,0.2407195400922806,intermittent_30s_6x5s
all,hr_bpm,30,0.2365326089651694,intermittent_30s_6x5s
all,hr_bpm,30,0.2401103613522444,intermittent_30s_6x5s
all,hr_bpm,30,0.2394530945025996,intermittent_30s_6x5s
all,hr_bpm,30,0.2307303190928764,intermittent_30s_6x5s
all,hr_bpm,30,0.219182105565836,intermittent_30s_6x5s
all,hr_bpm,30,0.2421046766537228,intermittent_30s_6x5s
all,liver_elasticity,30,0.3294798839835285,intermittent_30s_6x5s
all,liver_elasticity,30,0.3309217646153276,intermittent_30s_6x5s
all,liver_elasticity,30,0.3331745755314078,intermittent_30s_6x5s
all,liver_elasticity,30,0.3287023865492192,intermittent_30s_6x5s
all,liver_elasticity,30,0.319839317641295,intermittent_30s_6x5s
all,liver_elasticity,30,0.3229745970870711,intermittent_30s_6x5s
all,liver_elasticity,30,0.3299012074101439,intermittent_30s_6x5s
all,liver_elasticity,30,0.3282496844925493,intermittent_30s_6x5s
all,liver_elasticity,30,0.3233807444832329,intermittent_30s_6x5s
all,liver_elasticity,30,0.3178846225145593,intermittent_30s_6x5s
all,age,30,0.6074802876054496,intermittent_30s_2x15s
all,age,30,0.6006740887845701,intermittent_30s_2x15s
all,age,30,0.5999370946564906,intermittent_30s_2x15s
all,age,30,0.5963866404740977,intermittent_30s_2x15s
all,age,30,0.5986625962826233,intermittent_30s_2x15s
all,age,30,0.6048520913930162,intermittent_30s_2x15s
all,age,30,0.6022320144981954,intermittent_30s_2x15s
all,age,30,0.6008188854973013,intermittent_30s_2x15s
all,age,30,0.5999342752999246,intermittent_30s_2x15s
all,age,30,0.6078452504253767,intermittent_30s_2x15s
all,bmi,30,0.8554042619984912,intermittent_30s_2x15s
all,bmi,30,0.8561533969584458,intermittent_30s_2x15s
all,bmi,30,0.8542800487647617,intermittent_30s_2x15s
all,bmi,30,0.8558666820424823,intermittent_30s_2x15s
all,bmi,30,0.8550398795592297,intermittent_30s_2x15s
all,bmi,30,0.854642235945262,intermittent_30s_2x15s
all,bmi,30,0.8554946425500743,intermittent_30s_2x15s
all,bmi,30,0.8558487199175623,intermittent_30s_2x15s
all,bmi,30,0.8530845031836768,intermittent_30s_2x15s
all,bmi,30,0.8540499739792761,intermittent_30s_2x15s
all,total_scan_vat_area,30,0.7577513419932906,intermittent_30s_2x15s
all,total_scan_vat_area,30,0.7588932350580582,intermittent_30s_2x15s
all,total_scan_vat_area,30,0.7642935179492364,intermittent_30s_2x15s
all,total_scan_vat_area,30,0.7610036422778493,intermittent_30s_2x15s
all,total_scan_vat_area,30,0.7626474989807568,intermittent_30s_2x15s
all,total_scan_vat_area,30,0.7630240339832798,intermittent_30s_2x15s
all,total_scan_vat_area,30,0.7580270125268775,intermittent_30s_2x15s
all,total_scan_vat_area,30,0.761605476141992,intermittent_30s_2x15s
all,total_scan_vat_area,30,0.759572143786224,intermittent_30s_2x15s
all,total_scan_vat_area,30,0.7602201542031617,intermittent_30s_2x15s
all,hr_bpm,30,0.2456814795568689,intermittent_30s_2x15s
all,hr_bpm,30,0.2603388712867777,intermittent_30s_2x15s
all,hr_bpm,30,0.2581003224798946,intermittent_30s_2x15s
all,hr_bpm,30,0.2564741104601786,intermittent_30s_2x15s
all,hr_bpm,30,0.2621099640272179,intermittent_30s_2x15s
all,hr_bpm,30,0.2501029504002008,intermittent_30s_2x15s
all,hr_bpm,30,0.249293969372596,intermittent_30s_2x15s
all,hr_bpm,30,0.2522492334355432,intermittent_30s_2x15s
all,hr_bpm,30,0.2459346520746822,intermittent_30s_2x15s
all,hr_bpm,30,0.2563590842501637,intermittent_30s_2x15s
all,liver_elasticity,30,0.3321232420266272,intermittent_30s_2x15s
all,liver_elasticity,30,0.3327698936531175,intermittent_30s_2x15s
all,liver_elasticity,30,0.3298441386386953,intermittent_30s_2x15s
all,liver_elasticity,30,0.3282071766531078,intermittent_30s_2x15s
all,liver_elasticity,30,0.3258200768559199,intermittent_30s_2x15s
all,liver_elasticity,30,0.3250520365708962,intermittent_30s_2x15s
all,liver_elasticity,30,0.3328089184927065,intermittent_30s_2x15s
all,liver_elasticity,30,0.3286421749859892,intermittent_30s_2x15s
all,liver_elasticity,30,0.3275757888400652,intermittent_30s_2x15s
all,liver_elasticity,30,0.3252151843016066,intermittent_30s_2x15s
