system,label,gender,gait_std,baseline_std
blood_tests_lipids,bt__triglycerides,male,0.004829571706108911,0.0018343361893404546
blood_tests_lipids,bt__triglycerides,female,0.010012116578403193,0.0023928914681650244
blood_tests_lipids,bt__hdl_cholesterol,male,0.00677941077612005,0.0023316315101816346
blood_tests_lipids,bt__hdl_cholesterol,female,0.008605490403006918,0.004513481432143342
blood_tests_lipids,bt__total_cholesterol,male,0.016603047982002066,0.003723639641487048
blood_tests_lipids,bt__total_cholesterol,female,0.010413536411071733,0.0037687089310984487
blood_tests_lipids,bt__non_hdl_cholesterol,male,0.013663206894420209,0.0029555867678892843
blood_tests_lipids,bt__non_hdl_cholesterol,female,0.011141099160765007,0.004369495436344145
bone_density,spine_l1_l4_area,male,0.0036383359219938046,0.007643347365578525
bone_density,spine_l1_l4_area,female,0.005179040634426171,0.023054817334355417
bone_density,spine_l1_l3_bmc,male,0.004685079859303876,0.0028444544148819766
bone_density,spine_l1_l3_bmc,female,0.0038101420916055832,0.0026178332463562743
cardiovascular_system,hr_bpm,male,0.004947128120744631,0.001757399228519277
cardiovascular_system,hr_bpm,female,0.007881770301146705,0.0022899289275285823
cardiovascular_system,automorph_vein_fractal_dimension,male,0.012211452626856724,0.01332439289078176
cardiovascular_system,automorph_vein_fractal_dimension,female,0.0074882703882774805,0.009207063396509941
cardiovascular_system,automorph_artery_fractal_dimension,male,0.01487991723002631,0.015506410471063919
cardiovascular_system,automorph_artery_fractal_dimension,female,0.010877566149985808,0.012485881598930845
cardiovascular_system,intima_media_th_2_fit,male,0.013436954911331286,0.012817073679702376
cardiovascular_system,intima_media_th_2_fit,female,0.013847942159864162,0.008907971280209124
frailty,hand_grip_left,male,0.002955862785328829,0.0016596938183493209
frailty,hand_grip_left,female,0.005076466779289855,0.0014078719522824957
frailty,hand_grip_right,male,0.004913986222198822,0.0017530034070537466
frailty,hand_grip_right,female,0.003878035292876821,0.0018402043678005728
hematopoietic,bt__hct,male,0.00710354272817712,0.003329160890710536
hematopoietic,bt__hct,female,0.004949644075158341,0.00459971062142025
