system,label,score_type,score,model,sub_model,delta,is_better,baseline_model,baseline_score,gender,label_type,description,score_pvalue,wilcox_pvalue,n_seeds,n_subjects,n_positive
blood_tests_lipids,bt__hdl_cholesterol,pearson_r,0.32481671806394385,long_seq,activity_romberg_closed,,,,,all,regression,HDL cholesterol blood concentration ('good' cholesterol) in mg/dL; protective factor for cardiovascular health,9.705769707184026e-62,,15,2499,
blood_tests_lipids,bt__triglycerides,pearson_r,0.2959936837714266,long_seq,activity_romberg_closed,,,,,male,regression,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health",1.504835074846263e-24,,15,2524,
blood_tests_lipids,bt__triglycerides,pearson_r,0.28740760450764913,long_seq,activity_romberg_closed,,,,,all,regression,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health",7.500976917409197e-44,,15,2524,
blood_tests_lipids,bt__triglycerides,pearson_r,0.26964687571954343,long_seq,activity_romberg_closed,,,,,female,regression,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health",1.768514470280187e-20,,15,2524,
blood_tests_lipids,bt__hdl_cholesterol,pearson_r,0.199132143979854,long_seq,activity_romberg_closed,,,,,male,regression,HDL cholesterol blood concentration ('good' cholesterol) in mg/dL; protective factor for cardiovascular health,2.9201772159741737e-12,,15,2499,
blood_tests_lipids,bt__non_hdl_cholesterol,pearson_r,0.16869887738568096,long_seq,activity_romberg_closed,,,,,female,regression,"Non-HDL cholesterol blood concentration; measures total 'bad' cholesterol (LDL, VLDL, IDL) in mg/dL; indicator of cardiovascular risk",6.517986871478535e-08,,15,2404,
blood_tests_lipids,bt__hdl_cholesterol,pearson_r,0.15487409994148116,long_seq,activity_romberg_closed,,,,,female,regression,HDL cholesterol blood concentration ('good' cholesterol) in mg/dL; protective factor for cardiovascular health,6.268707454791024e-08,,15,2499,
blood_tests_lipids,bt__non_hdl_cholesterol,pearson_r,0.14608228872010906,long_seq,activity_romberg_closed,,,,,all,regression,"Non-HDL cholesterol blood concentration; measures total 'bad' cholesterol (LDL, VLDL, IDL) in mg/dL; indicator of cardiovascular risk",5.573797292275976e-12,,15,2404,
blood_tests_lipids,bt__non_hdl_cholesterol,pearson_r,0.12071748581445749,long_seq,activity_romberg_closed,,,,,male,regression,"Non-HDL cholesterol blood concentration; measures total 'bad' cholesterol (LDL, VLDL, IDL) in mg/dL; indicator of cardiovascular risk",5.5098841145793134e-05,,15,2404,
blood_tests_lipids,bt__total_cholesterol,pearson_r,0.0831686691264786,long_seq,activity_romberg_closed,,,,,all,regression,"Total cholesterol blood concentration; sum of all cholesterol types (HDL, LDL, VLDL) in mg/dL; key cardiovascular health marker",7.180593038980325e-05,,15,2520,
blood_tests_lipids,bt__total_cholesterol,pearson_r,0.08121695233727286,long_seq,activity_romberg_closed,,,,,female,regression,"Total cholesterol blood concentration; sum of all cholesterol types (HDL, LDL, VLDL) in mg/dL; key cardiovascular health marker",0.007928630598136139,,15,2520,
blood_tests_lipids,bt__total_cholesterol,pearson_r,0.018082099490826658,long_seq,activity_romberg_closed,,,,,male,regression,"Total cholesterol blood concentration; sum of all cholesterol types (HDL, LDL, VLDL) in mg/dL; key cardiovascular health marker",0.5333540834584861,,15,2520,
blood_tests_lipids,bt__hdl_cholesterol,pearson_r,0.40167892430707136,long_seq,activity_self_selected_gait_speed,,,,,all,regression,HDL cholesterol blood concentration ('good' cholesterol) in mg/dL; protective factor for cardiovascular health,1.5172713170075762e-90,,15,2397,
blood_tests_lipids,bt__triglycerides,pearson_r,0.3261823127407432,long_seq,activity_self_selected_gait_speed,,,,,male,regression,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health",3.01416139438559e-29,,15,2421,
blood_tests_lipids,bt__triglycerides,pearson_r,0.31801824420654295,long_seq,activity_self_selected_gait_speed,,,,,all,regression,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health",5.525478265228437e-54,,15,2421,
blood_tests_lipids,bt__triglycerides,pearson_r,0.27409480357164123,long_seq,activity_self_selected_gait_speed,,,,,female,regression,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health",4.931050127359656e-21,,15,2421,
blood_tests_lipids,bt__hdl_cholesterol,pearson_r,0.24797659869889338,long_seq,activity_self_selected_gait_speed,,,,,male,regression,HDL cholesterol blood concentration ('good' cholesterol) in mg/dL; protective factor for cardiovascular health,2.4326259393356295e-17,,15,2397,
blood_tests_lipids,bt__hdl_cholesterol,pearson_r,0.19036569712497986,long_seq,activity_self_selected_gait_speed,,,,,female,regression,HDL cholesterol blood concentration ('good' cholesterol) in mg/dL; protective factor for cardiovascular health,2.750649668090411e-10,,15,2397,
blood_tests_lipids,bt__non_hdl_cholesterol,pearson_r,0.16948451671383766,long_seq,activity_self_selected_gait_speed,,,,,female,regression,"Non-HDL cholesterol blood concentration; measures total 'bad' cholesterol (LDL, VLDL, IDL) in mg/dL; indicator of cardiovascular risk",6.438738367024464e-08,,15,2306,
