system,label,model,sub_model,n_subjects_all,n_subjects_male,n_subjects_female,n_subjects_unknown_sex,n_observations_all,n_observations_male,n_observations_female
anthropometric_group,hips,gait_no_room_A,ensemble,2769,1348,1421,0,2769,1348,1421
anthropometric_group,waist,gait_no_room_A,ensemble,2769,1348,1421,0,2769,1348,1421
anthropometric_group,weight,gait_no_room_A,ensemble,2769,1348,1421,0,2769,1348,1421
blood_tests_lipids,bt__hdl_cholesterol,gait_no_room_A,ensemble,2004,1004,1000,0,2004,1004,1000
blood_tests_lipids,bt__non_hdl_cholesterol,gait_no_room_A,ensemble,1922,963,959,0,1922,963,959
blood_tests_lipids,bt__total_cholesterol,gait_no_room_A,ensemble,2020,1011,1009,0,2020,1011,1009
blood_tests_lipids,bt__triglycerides,gait_no_room_A,ensemble,2022,1015,1007,0,2022,1015,1007
body_composition,body_comp_android_bone_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_android_fat_free_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_android_fat_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_android_lean_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_android_tissue_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_android_total_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_arm_left_bone_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_arm_left_fat_free_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_arm_left_fat_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_arm_left_lean_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_arm_left_tissue_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_arm_left_total_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_arm_right_bone_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_arm_right_fat_free_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_arm_right_fat_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_arm_right_lean_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_arm_right_tissue_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_arm_right_total_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_arms_bone_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
