target,setting,source,model,gender,metric,seed,value
liver_elasticity,full,gait,-,male,pearson_r,0,0.1775405834906253
liver_elasticity,full,gait,-,male,pearson_r,1,0.1649257288464269
liver_elasticity,full,gait,-,male,pearson_r,2,0.16016560323917148
liver_elasticity,full,gait,-,male,pearson_r,3,0.16324084131667302
liver_elasticity,full,gait,-,male,pearson_r,4,0.15242774810788465
liver_elasticity,full,gait,-,male,pearson_r,5,0.14743144857781512
liver_elasticity,full,gait,-,male,pearson_r,6,0.163334030040072
liver_elasticity,full,gait,-,male,pearson_r,7,0.1633153661405578
liver_elasticity,full,gait,-,male,pearson_r,8,0.1637292264070021
liver_elasticity,full,gait,-,male,pearson_r,9,0.1472426726233107
liver_elasticity,full,gait,-,male,pearson_r,10,0.15728617126132743
liver_elasticity,full,gait,-,male,pearson_r,11,0.16971303980703845
liver_elasticity,full,gait,-,male,pearson_r,12,0.16765162996233554
liver_elasticity,full,gait,-,male,pearson_r,13,0.16852689453737202
liver_elasticity,full,gait,-,male,pearson_r,14,0.1541787258703593
liver_elasticity,full,gait,-,female,pearson_r,0,0.17350505318997583
liver_elasticity,full,gait,-,female,pearson_r,1,0.15891928358427831
liver_elasticity,full,gait,-,female,pearson_r,2,0.15936369627420255
liver_elasticity,full,gait,-,female,pearson_r,3,0.17708119380051807
liver_elasticity,full,gait,-,female,pearson_r,4,0.172087668529805
liver_elasticity,full,gait,-,female,pearson_r,5,0.17086370803448214
liver_elasticity,full,gait,-,female,pearson_r,6,0.17911525029797326
liver_elasticity,full,gait,-,female,pearson_r,7,0.16036985816174554
liver_elasticity,full,gait,-,female,pearson_r,8,0.15144026748786749
liver_elasticity,full,gait,-,female,pearson_r,9,0.16079259839578264
liver_elasticity,full,gait,-,female,pearson_r,10,0.1634495984660468
liver_elasticity,full,gait,-,female,pearson_r,11,0.18257522529678089
liver_elasticity,full,gait,-,female,pearson_r,12,0.1690020833921631
liver_elasticity,full,gait,-,female,pearson_r,13,0.16395199215435197
liver_elasticity,full,gait,-,female,pearson_r,14,0.16529819780866412
liver_elasticity,full,gait,-,overall,pearson_r,0,0.38946588981703373
liver_elasticity,full,gait,-,overall,pearson_r,1,0.377095550298063
liver_elasticity,full,gait,-,overall,pearson_r,2,0.37841073523497476
liver_elasticity,full,gait,-,overall,pearson_r,3,0.38716035167659923
liver_elasticity,full,gait,-,overall,pearson_r,4,0.38018485391957196
liver_elasticity,full,gait,-,overall,pearson_r,5,0.37906659420305855
liver_elasticity,full,gait,-,overall,pearson_r,6,0.3861039930101293
liver_elasticity,full,gait,-,overall,pearson_r,7,0.38112606922323794
liver_elasticity,full,gait,-,overall,pearson_r,8,0.37609680913226773
liver_elasticity,full,gait,-,overall,pearson_r,9,0.37628394131360915
liver_elasticity,full,gait,-,overall,pearson_r,10,0.3772782560513276
liver_elasticity,full,gait,-,overall,pearson_r,11,0.3911128680746059
liver_elasticity,full,gait,-,overall,pearson_r,12,0.3846066230958136
liver_elasticity,full,gait,-,overall,pearson_r,13,0.3836701809916072
liver_elasticity,full,gait,-,overall,pearson_r,14,0.38081059922191074
liver_elasticity,full,demo,lgbm,male,pearson_r,0,0.06944937748134782
liver_elasticity,full,demo,lgbm,male,pearson_r,1,0.06476564222196131
liver_elasticity,full,demo,lgbm,male,pearson_r,2,0.07262368391799744
liver_elasticity,full,demo,lgbm,male,pearson_r,3,0.03872091366853823
liver_elasticity,full,demo,lgbm,male,pearson_r,4,0.06798995577677587
liver_elasticity,full,demo,lgbm,male,pearson_r,5,0.04501890731217303
liver_elasticity,full,demo,lgbm,male,pearson_r,6,0.05609807064278275
liver_elasticity,full,demo,lgbm,male,pearson_r,7,0.03906216129610446
liver_elasticity,full,demo,lgbm,male,pearson_r,8,0.06116677709935287
liver_elasticity,full,demo,lgbm,male,pearson_r,9,0.05511792727267406
liver_elasticity,full,demo,lgbm,male,pearson_r,10,0.04518203021619937
liver_elasticity,full,demo,lgbm,male,pearson_r,11,0.07901305257947294
liver_elasticity,full,demo,lgbm,male,pearson_r,12,0.05365331678391391
liver_elasticity,full,demo,lgbm,male,pearson_r,13,0.036585758069355157
liver_elasticity,full,demo,lgbm,male,pearson_r,14,0.03347690194749056
liver_elasticity,full,demo,lgbm,female,pearson_r,0,0.13530194041475302
liver_elasticity,full,demo,lgbm,female,pearson_r,1,0.13248762677982714
liver_elasticity,full,demo,lgbm,female,pearson_r,2,0.1497779804871757
liver_elasticity,full,demo,lgbm,female,pearson_r,3,0.12614474079996155
liver_elasticity,full,demo,lgbm,female,pearson_r,4,0.12218090666566463
liver_elasticity,full,demo,lgbm,female,pearson_r,5,0.13081705240889896
liver_elasticity,full,demo,lgbm,female,pearson_r,6,0.1508498231537534
liver_elasticity,full,demo,lgbm,female,pearson_r,7,0.15174006443215385
liver_elasticity,full,demo,lgbm,female,pearson_r,8,0.13382650193193885
liver_elasticity,full,demo,lgbm,female,pearson_r,9,0.11885070123982971
liver_elasticity,full,demo,lgbm,female,pearson_r,10,0.13313998412890304
liver_elasticity,full,demo,lgbm,female,pearson_r,11,0.13878838513308495
liver_elasticity,full,demo,lgbm,female,pearson_r,12,0.12440301402448627
liver_elasticity,full,demo,lgbm,female,pearson_r,13,0.1337283132874877
liver_elasticity,full,demo,lgbm,female,pearson_r,14,0.12649601786020068
liver_elasticity,full,demo,lgbm,overall,pearson_r,0,0.054638148318676916
liver_elasticity,full,demo,lgbm,overall,pearson_r,1,0.05150801546547745
liver_elasticity,full,demo,lgbm,overall,pearson_r,2,0.05700590031835838
liver_elasticity,full,demo,lgbm,overall,pearson_r,3,0.03997047305496701
liver_elasticity,full,demo,lgbm,overall,pearson_r,4,0.05409207403188503
liver_elasticity,full,demo,lgbm,overall,pearson_r,5,0.03810733898476991
liver_elasticity,full,demo,lgbm,overall,pearson_r,6,0.05629236637478779
liver_elasticity,full,demo,lgbm,overall,pearson_r,7,0.0494692735266724
liver_elasticity,full,demo,lgbm,overall,pearson_r,8,0.04782548832546132
liver_elasticity,full,demo,lgbm,overall,pearson_r,9,0.0485870748186734
liver_elasticity,full,demo,lgbm,overall,pearson_r,10,0.04166943366121835
liver_elasticity,full,demo,lgbm,overall,pearson_r,11,0.05998112822630306
liver_elasticity,full,demo,lgbm,overall,pearson_r,12,0.043522971175141534
liver_elasticity,full,demo,lgbm,overall,pearson_r,13,0.043519538356946226
liver_elasticity,full,demo,lgbm,overall,pearson_r,14,0.037519862340635625
liver_elasticity,full,demo,ridge,male,pearson_r,0,0.10570403570616363
liver_elasticity,full,demo,ridge,male,pearson_r,1,0.09299545903759625
liver_elasticity,full,demo,ridge,male,pearson_r,2,0.09717992471642255
liver_elasticity,full,demo,ridge,male,pearson_r,3,0.09263727650462178
liver_elasticity,full,demo,ridge,male,pearson_r,4,0.09093868639569955
liver_elasticity,full,demo,ridge,male,pearson_r,5,0.09212077101643788
liver_elasticity,full,demo,ridge,male,pearson_r,6,0.09891206468531942
liver_elasticity,full,demo,ridge,male,pearson_r,7,0.09127699653755884
liver_elasticity,full,demo,ridge,male,pearson_r,8,0.08966988440149425
liver_elasticity,full,demo,ridge,male,pearson_r,9,0.08441016554353772
liver_elasticity,full,demo,ridge,male,pearson_r,10,0.07750603579768563
liver_elasticity,full,demo,ridge,male,pearson_r,11,0.08419748212025321
liver_elasticity,full,demo,ridge,male,pearson_r,12,0.0807349521942005
