system,label,score_type,score,delta,is_better,is_significant,model,sub_model,baseline_model,baseline_score,gender,label_type,description,score_pvalue,wilcox_pvalue,n_seeds,n_subjects,n_positive,wilcox_pvalue_fdr
ASBV_Prediction,total_scan_vat_area,pearson_r,0.560226755708885,0.5057561141336218,True,1.0,lower_body9,activity_romberg_closed,Gender_Height,0.054470641575263226,female,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",1.1544775230406217e-134,0.0009765625,10,3287,,0.00146484375
ASBV_Prediction,bmi,pearson_r,0.5774720470439354,0.46634109129350076,True,1.0,lower_body9,activity_romberg_closed,Gender_Height,0.11113095575043466,female,regression,Body Mass Index (weight/height^2),6.786317934222368e-154,0.0009765625,10,3386,,0.00146484375
ASBV_Prediction,total_scan_vat_area,pearson_r,0.4473708578455544,0.45352311899505593,True,1.0,lower_body9,activity_romberg_closed,Gender_Height,-0.00615226114950152,male,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",7.940300015116667e-74,0.0009765625,10,3287,,0.0009765625
ASBV_Prediction,bmi,pearson_r,0.46790633604688925,0.4109531039763789,True,1.0,lower_body9,activity_romberg_closed,Gender_Height,0.056953232070510354,male,regression,Body Mass Index (weight/height^2),2.81848764087277e-89,0.0009765625,10,3386,,0.0009765625
ASBV_Prediction,bmi,pearson_r,0.5336776074140613,0.39306323537828275,True,1.0,lower_body9,activity_romberg_closed,Gender_Height,0.1406143720357786,all,regression,Body Mass Index (weight/height^2),1.0855153235353416e-246,0.0009765625,10,3386,,0.0013020833333333333
ASBV_Prediction,total_scan_vat_area,pearson_r,0.5536081081798815,0.24413533364364648,True,1.0,lower_body9,activity_romberg_closed,Gender_Height,0.309472774536235,all,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",2.1743162822755475e-250,0.0009765625,10,3287,,0.0013020833333333333
ASBV_Prediction,gender,auc,0.9466755037892828,0.01960291338976139,True,1.0,lower_body9,activity_romberg_closed,Gender_Height,0.9270725903995214,all,categorical,"Gender of subject (1=male, 2=female)",,0.0009765625,10,3387,1641.0,0.0013020833333333333
ASBV_Prediction,age,pearson_r,0.13100131985073965,0.012411703888211875,True,1.0,lower_body9,activity_romberg_closed,Gender_Height,0.11858961596252778,male,regression,Age of subject at time of measurement in years,1.5249836831586862e-07,0.0009765625,10,3387,,0.0009765625
ASBV_Prediction,age,pearson_r,0.14284593752219685,-0.0012236764371700015,False,0.0,lower_body9,activity_romberg_closed,Gender_Height,0.14406961395936685,all,regression,Age of subject at time of measurement in years,3.1019868119505873e-16,0.75390625,10,3387,,0.75390625
ASBV_Prediction,age,pearson_r,0.14994734742927798,-0.003930246609835125,False,0.0,lower_body9,activity_romberg_closed,Gender_Height,0.1538775940391131,female,regression,Age of subject at time of measurement in years,4.81828565523052e-10,0.986328125,10,3387,,0.986328125
ASBV_Prediction,bmi,pearson_r,0.664541019785543,0.6075877877150326,True,1.0,lower_body9,activity_self_selected_gait_speed,Gender_Height,0.056953232070510354,male,regression,Body Mass Index (weight/height^2),8.366898495605591e-200,0.0009765625,10,3256,,0.0009765625
