source,label,seed,male_pearson_r,female_pearson_r
legs,age,0,0.5029899648718328,0.4799361769337401
legs,age,1,0.5106238302522035,0.4791090776662421
legs,age,2,0.5074445682466915,0.4756299727582399
legs,age,3,0.5073214505296175,0.4729637690077071
legs,age,4,0.5024569102901854,0.4748138552952862
legs,age,5,0.50907417010115,0.4740066599159786
legs,age,6,0.5144319635120073,0.4857590745663754
legs,age,7,0.5111135136848438,0.4755909127309768
legs,age,8,0.5068528161693742,0.4771977626240898
legs,age,9,0.5122760463019784,0.4759044413207362
legs,bmi,0,0.7298266631393838,0.7764150815556075
legs,bmi,1,0.7294757857298786,0.7743134121075392
legs,bmi,2,0.7306651004363177,0.7743926185910522
legs,bmi,3,0.7312475399379239,0.777049704367826
legs,bmi,4,0.7318746581318393,0.775421384186357
legs,bmi,5,0.7309021359390476,0.7753576630842433
legs,bmi,6,0.7321084248400019,0.7761495444135804
legs,bmi,7,0.7310791113434599,0.774375536905265
legs,bmi,8,0.7291552677071265,0.7733969796182814
legs,bmi,9,0.7303037261811031,0.7755313592622719
legs,total_scan_vat_area,0,0.6666994731396573,0.6915037768147744
legs,total_scan_vat_area,1,0.668742514465844,0.6900543102418238
legs,total_scan_vat_area,2,0.6599809824630241,0.6960847943595975
legs,total_scan_vat_area,3,0.6579883863765023,0.6883606039635912
legs,total_scan_vat_area,4,0.6610145259904423,0.6947276363067553
legs,total_scan_vat_area,5,0.6644473138876285,0.6953893633717326
legs,total_scan_vat_area,6,0.6642776088531286,0.6917249849381485
legs,total_scan_vat_area,7,0.6621749500396904,0.6937216868416121
legs,total_scan_vat_area,8,0.6624730698605475,0.6912226286489512
legs,total_scan_vat_area,9,0.6666372268658204,0.6918919189257086
full,age,0,0.7021850475887155,0.6785219647522304
full,age,1,0.7019320206493875,0.6772232074266137
full,age,2,0.7016139668211736,0.6697700916572753
full,age,3,0.6995079694697861,0.6728840018187919
full,age,4,0.6969389889602363,0.6797837194091334
full,age,5,0.7084210386805071,0.6748983072764987
full,age,6,0.7015049681807526,0.6741454404532932
full,age,7,0.7014727699099969,0.6747950783912072
full,age,8,0.7002872827948404,0.6748600061496216
full,age,9,0.7044761753849911,0.6758915769052077
full,age,10,0.7038002605898152,0.679028982074366
full,age,11,0.7032736273937487,0.6752318493949917
full,age,12,0.697320330697178,0.6768686221858737
full,age,13,0.7044510074035563,0.6806748502542445
full,age,14,0.7031688787907834,0.6794454885876283
full,bmi,0,0.8980659067854702,0.9133523781609544
full,bmi,1,0.897539179080393,0.9111635416027956
full,bmi,2,0.8975445866852735,0.9107770598185474
full,bmi,3,0.8971897887892472,0.9112887214286614
full,bmi,4,0.8980003325221286,0.9087449519858788
full,bmi,5,0.8971711001116113,0.9091225653463126
full,bmi,6,0.8976531776861786,0.9119218560233144
full,bmi,7,0.8978973740858418,0.9070463511908332
full,bmi,8,0.8977132868195886,0.9077172880857316
full,bmi,9,0.897897490662506,0.9111634415518756
full,bmi,10,0.8977185734782915,0.9072775601124118
full,bmi,11,0.8986667161734557,0.9110581848072924
full,bmi,12,0.8970581999578523,0.9097894657047196
full,bmi,13,0.8982765632344066,0.9101916745600328
full,bmi,14,0.8977295005730374,0.9089706523579554
full,total_scan_vat_area,0,0.8140477005417287,0.7971604067803861
full,total_scan_vat_area,1,0.8155216847012609,0.79675466750226
full,total_scan_vat_area,2,0.8158074625875942,0.8004279297847375
full,total_scan_vat_area,3,0.8127087039326325,0.7970361748505825
full,total_scan_vat_area,4,0.8155994628602931,0.797828988702067
full,total_scan_vat_area,5,0.815456594818272,0.7993601068122601
full,total_scan_vat_area,6,0.8139536288783956,0.7973873939007247
full,total_scan_vat_area,7,0.8153098326949825,0.7976286771600232
full,total_scan_vat_area,8,0.8138855506409768,0.7958575943913057
full,total_scan_vat_area,9,0.813055980786754,0.7958184132721755
full,total_scan_vat_area,10,0.814957414101681,0.797698254254283
full,total_scan_vat_area,11,0.8130916872812165,0.7987574977063894
full,total_scan_vat_area,12,0.816274495601233,0.7958574712300556
full,total_scan_vat_area,13,0.8103587823206108,0.796507227202507
full,total_scan_vat_area,14,0.8114781465938857,0.7964542114051429
