system,label,score_type,score,model,sub_model,delta,is_better,baseline_model,baseline_score,gender,label_type,description,score_pvalue,wilcox_pvalue,n_seeds,n_subjects,n_positive
age_gender_bmi_VAT,gender,auc,0.9181407146583205,long_masked_head,activity_romberg_closed,,,,,all,categorical,"Gender of subject (1=male, 2=female)",,,10,3504,1704.0
age_gender_bmi_VAT,gender,auc,0.9099339136671881,long_seq,activity_romberg_closed,,,,,all,categorical,"Gender of subject (1=male, 2=female)",,,10,3504,1704.0
age_gender_bmi_VAT,gender,auc,0.9043638171622327,long_masked_torso,activity_romberg_closed,,,,,all,categorical,"Gender of subject (1=male, 2=female)",,,10,3504,1704.0
age_gender_bmi_VAT,gender,auc,0.8902314162754303,long_masked_legs,activity_romberg_closed,,,,,all,categorical,"Gender of subject (1=male, 2=female)",,,10,3504,1704.0
age_gender_bmi_VAT,gender,auc,0.8865261476264997,long_masked_arms,activity_romberg_closed,,,,,all,categorical,"Gender of subject (1=male, 2=female)",,,10,3504,1704.0
age_gender_bmi_VAT,gender,auc,0.860351851851852,long_all_but_arms,activity_romberg_closed,,,,,all,categorical,"Gender of subject (1=male, 2=female)",,,10,3504,1704.0
age_gender_bmi_VAT,bmi,pearson_r,0.8323932434567153,long_masked_head,activity_romberg_closed,,,,,female,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,bmi,pearson_r,0.826877793085828,long_masked_torso,activity_romberg_closed,,,,,female,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,bmi,pearson_r,0.8255155151817986,long_masked_legs,activity_romberg_closed,,,,,female,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,bmi,pearson_r,0.8243325786133852,long_all_but_arms,activity_romberg_closed,,,,,female,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,gender,auc,0.8229670709441835,long_all_but_legs,activity_romberg_closed,,,,,all,categorical,"Gender of subject (1=male, 2=female)",,,10,3504,1704.0
age_gender_bmi_VAT,bmi,pearson_r,0.8218022134075268,long_seq,activity_romberg_closed,,,,,female,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,gender,auc,0.8191487350026083,long_all_but_torso,activity_romberg_closed,,,,,all,categorical,"Gender of subject (1=male, 2=female)",,,10,3504,1704.0
age_gender_bmi_VAT,bmi,pearson_r,0.8179425932014437,long_masked_head,activity_romberg_closed,,,,,all,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,bmi,pearson_r,0.8146819955298643,long_seq,activity_romberg_closed,,,,,all,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,bmi,pearson_r,0.8128015655411029,long_masked_legs,activity_romberg_closed,,,,,all,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,bmi,pearson_r,0.8120637251162275,long_masked_torso,activity_romberg_closed,,,,,all,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,bmi,pearson_r,0.8053139335249762,long_all_but_arms,activity_romberg_closed,,,,,all,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,bmi,pearson_r,0.8001799190904194,long_seq,activity_romberg_closed,,,,,male,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,bmi,pearson_r,0.7941407470217774,long_masked_head,activity_romberg_closed,,,,,male,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,gender,auc,0.7922014214919144,long_all_but_head,activity_romberg_closed,,,,,all,categorical,"Gender of subject (1=male, 2=female)",,,10,3504,1704.0
age_gender_bmi_VAT,bmi,pearson_r,0.7896253783898258,long_masked_legs,activity_romberg_closed,,,,,male,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,bmi,pearson_r,0.7856851419435059,long_masked_torso,activity_romberg_closed,,,,,male,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,bmi,pearson_r,0.7716175937686003,long_all_but_arms,activity_romberg_closed,,,,,male,regression,Body Mass Index (weight/height^2),0.0,,10,3490,
age_gender_bmi_VAT,total_scan_vat_area,pearson_r,0.734431497604401,long_masked_legs,activity_romberg_closed,,,,,all,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",0.0,,10,2960,
age_gender_bmi_VAT,total_scan_vat_area,pearson_r,0.7333639441277512,long_seq,activity_romberg_closed,,,,,all,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",0.0,,10,2960,
age_gender_bmi_VAT,total_scan_vat_area,pearson_r,0.7318877669416688,long_masked_head,activity_romberg_closed,,,,,all,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",0.0,,10,2960,
age_gender_bmi_VAT,total_scan_vat_area,pearson_r,0.7258111556948144,long_masked_head,activity_romberg_closed,,,,,female,regression,"Visceral adipose tissue (VAT) area measured from DXA scan in square centimeters, representing the cross-sectional area of internal abdominal fat",1.4694813383988773e-227,,10,2960,
