system,label,score_type,score,model,gender,label_type,score_pvalue,n_seeds,n_subjects,n_positive
age_bmi_vat,total_scan_vat_area,pearson_r,0.4459703472873585,stationary,all,regression,2.1243420240513264e-128,10,2666,
age_bmi_vat,total_scan_vat_area,pearson_r,0.4283069673094957,self_selected_gait_speed,all,regression,1.7545631092017989e-115,10,2666,
age_bmi_vat,total_scan_vat_area,pearson_r,0.4245009999539691,tm_3kmh,all,regression,1.8019865120987414e-111,10,2666,
age_bmi_vat,age,pearson_r,0.3940178695591603,stationary,male,regression,2.0696592001470858e-54,10,2944,
age_bmi_vat,age,pearson_r,0.3747451208403457,stationary,all,regression,1.5139688351508043e-92,10,2944,
age_bmi_vat,total_scan_vat_area,pearson_r,0.3713683652643883,stationary,male,regression,1.0892998962151933e-43,10,2666,
age_bmi_vat,total_scan_vat_area,pearson_r,0.3641219383960253,rombergs_closed,all,regression,4.5687085472584576e-82,10,2666,
age_bmi_vat,age,pearson_r,0.3625247793146025,tm_3kmh,female,regression,1.453979081811529e-45,10,2944,
age_bmi_vat,age,pearson_r,0.3585589107498189,stationary,female,regression,1.7122563644847205e-42,10,2944,
age_bmi_vat,total_scan_vat_area,pearson_r,0.3581486055217019,self_selected_gait_speed,male,regression,2.14513881839202e-40,10,2666,
age_bmi_vat,total_scan_vat_area,pearson_r,0.352343616654777,tm_3kmh,male,regression,5.833277130181941e-38,10,2666,
age_bmi_vat,age,pearson_r,0.3389817278407306,tm_3kmh,all,regression,1.2078492385012594e-76,10,2944,
age_bmi_vat,bmi,pearson_r,0.337675166582308,tm_3kmh,female,regression,7.212898941525586e-39,10,2934,
age_bmi_vat,bmi,pearson_r,0.3372069773243224,self_selected_gait_speed,all,regression,9.880098633672247e-76,10,2934,
age_bmi_vat,total_scan_vat_area,pearson_r,0.3353432524845479,stationary,female,regression,2.9005885458234994e-35,10,2666,
age_bmi_vat,age,pearson_r,0.3276090151360959,self_selected_gait_speed,female,regression,1.3054247607116009e-37,10,2944,
age_bmi_vat,bmi,pearson_r,0.3268130775108165,tm_3kmh,all,regression,3.0983155444927555e-69,10,2934,
age_bmi_vat,bmi,pearson_r,0.3214050781313321,self_selected_gait_speed,female,regression,4.3253345336987343e-35,10,2934,
age_bmi_vat,bmi,pearson_r,0.3197884974296081,self_selected_gait_speed,male,regression,2.639709183145501e-33,10,2934,
age_bmi_vat,total_scan_vat_area,pearson_r,0.3180055384537557,sit_to_stand,all,regression,5.2971529050473545e-61,10,2666,
age_bmi_vat,age,pearson_r,0.3080634065886026,tm_3kmh,male,regression,1.6087924340042794e-30,10,2944,
age_bmi_vat,age,pearson_r,0.3037702762470591,sit_to_stand,male,regression,1.1659251938620733e-23,10,2944,
age_bmi_vat,bmi,pearson_r,0.3009790500599822,stationary,all,regression,6.296929292747584e-48,10,2934,
age_bmi_vat,age,pearson_r,0.2962811786344654,self_selected_gait_speed,all,regression,1.0433593503315522e-58,10,2944,
age_bmi_vat,bmi,pearson_r,0.2941860790498707,stationary,female,regression,1.736162319346067e-21,10,2934,
age_bmi_vat,total_scan_vat_area,pearson_r,0.2867845333216801,self_selected_gait_speed,female,regression,1.0404599837893944e-25,10,2666,
age_bmi_vat,total_scan_vat_area,pearson_r,0.2842493497532256,tm_3kmh,female,regression,6.016328856917323e-25,10,2666,
age_bmi_vat,bmi,pearson_r,0.2759168802260493,tm_3kmh,male,regression,1.7460085868542422e-24,10,2934,
age_bmi_vat,bmi,pearson_r,0.2699002066845931,sit_to_stand,female,regression,2.3285296417858257e-22,10,2934,
age_bmi_vat,bmi,pearson_r,0.2603486728994916,stationary,male,regression,2.1348189557538066e-23,10,2934,
age_bmi_vat,age,pearson_r,0.255887675747612,self_selected_gait_speed,male,regression,3.0784152869527384e-20,10,2944,
age_bmi_vat,bmi,pearson_r,0.2542478914392941,rombergs_closed,male,regression,3.439559218734241e-17,10,2934,
age_bmi_vat,age,pearson_r,0.2524789286199509,sit_to_stand,all,regression,2.272722601162452e-37,10,2944,
age_bmi_vat,bmi,pearson_r,0.2512921168282078,rombergs_closed,all,regression,1.1661969546397455e-39,10,2934,
age_bmi_vat,bmi,pearson_r,0.2397238234510808,sit_to_stand,all,regression,1.0862093745598622e-36,10,2934,
age_bmi_vat,total_scan_vat_area,pearson_r,0.2296268692694865,rombergs_closed,male,regression,1.070217769573884e-16,10,2666,
age_bmi_vat,age,pearson_r,0.2112369212905501,sit_to_stand,female,regression,2.4919429099882346e-12,10,2944,
age_bmi_vat,bmi,pearson_r,0.2089725781233454,rombergs_closed,female,regression,2.737754555043548e-15,10,2934,
age_bmi_vat,total_scan_vat_area,pearson_r,0.207458299941987,sit_to_stand,female,regression,3.423452729098216e-12,10,2666,
age_bmi_vat,total_scan_vat_area,pearson_r,0.19993707113135,sit_to_stand,male,regression,8.707422143278398e-13,10,2666,
age_bmi_vat,total_scan_vat_area,pearson_r,0.1944714194008825,rombergs_closed,female,regression,3.619895752496886e-12,10,2666,
age_bmi_vat,bmi,pearson_r,0.1560717707713376,sit_to_stand,male,regression,1.8348075161062167e-08,10,2934,
age_bmi_vat,age,pearson_r,0.1523426197066036,rombergs_closed,male,regression,2.798987616319529e-08,10,2944,
age_bmi_vat,age,pearson_r,0.1503359425966815,rombergs_closed,all,regression,1.0430728621563145e-13,10,2944,
age_bmi_vat,age,pearson_r,0.1424700056112663,rombergs_closed,female,regression,5.242872896202383e-07,10,2944,
