target,gender,model,pearson_mean,pearson_std,n_seeds
Age,Male,Normalized keypoints,0.58569436580525,0.006355625249974291,5
Age,Female,Normalized keypoints,0.5454368174967804,0.003583381270214883,5
Age,Male,GaitMAE gait embeddings,0.7020236222210311,0.002890344262578233,15
Age,Female,GaitMAE gait embeddings,0.6762682124491318,0.0029432296814623452,15
BMI,Male,Normalized keypoints,0.8622201314924093,0.0010421939613325635,5
BMI,Female,Normalized keypoints,0.888508697242955,0.0007111100146073789,5
BMI,Male,GaitMAE gait embeddings,0.897741451776352,0.00042668127337082044,15
BMI,Female,GaitMAE gait embeddings,0.9099723795158211,0.00180958723021866,15
VAT area,Male,Normalized keypoints,0.7726520386637852,0.0017478373612957365,5
VAT area,Female,Normalized keypoints,0.7767653867713394,0.0012522847883468195,5
VAT area,Male,GaitMAE gait embeddings,0.8141004752227678,0.0017099704414630572,15
VAT area,Female,GaitMAE gait embeddings,0.7973690009969935,0.0013288506358399526,15
Heart rate,Male,Normalized keypoints,0.253276455479304,0.009714563230325346,5
Heart rate,Female,Normalized keypoints,0.2117065871933333,0.008565981606232904,5
Heart rate,Male,GaitMAE gait embeddings,0.35678614590885865,0.0064271957719806505,15
Heart rate,Female,GaitMAE gait embeddings,0.26830651031410835,0.008160185218574199,15
Grip right,Male,Normalized keypoints,0.38461745088650384,0.004411495090220207,5
Grip right,Female,Normalized keypoints,0.38272731603097343,0.009976849155211458,5
Grip right,Male,GaitMAE gait embeddings,0.46941906199903155,0.004231731618783497,15
Grip right,Female,GaitMAE gait embeddings,0.42104455888226594,0.004604235600311717,15
Liver elasticity,Male,Normalized keypoints,0.15799801088258542,0.022884614076254615,5
Liver elasticity,Female,Normalized keypoints,0.12786836562453677,0.012857271915324892,5
Liver elasticity,Male,GaitMAE gait embeddings,0.1949901002629654,0.008022008759684346,15
Liver elasticity,Female,GaitMAE gait embeddings,0.15987680492065273,0.010243489162314946,15
