label,gender,seed,delta_full,delta_clean
hand_grip_left,male,0,0.0987585655535651,0.11350826660869084
hand_grip_left,male,1,0.1032605025060388,0.11881159231041527
hand_grip_left,male,2,0.10264767971396455,0.11379771563916119
hand_grip_left,male,3,0.09399352886516021,0.10331568226458265
hand_grip_left,male,4,0.0958236307906471,0.10605026102968007
hand_grip_left,male,5,0.09052023838066936,0.09713295511020459
hand_grip_left,male,6,0.09566446784440258,0.10811338335906462
hand_grip_left,male,7,0.09376716575156163,0.1088702635072758
hand_grip_left,male,8,0.09504420417825477,0.10866347425129358
hand_grip_left,male,9,0.09431329244389025,0.09703592378955883
hand_grip_left,male,10,0.08804275465954164,0.1017575480271975
hand_grip_left,male,11,0.09075951530294246,0.10750220602932359
hand_grip_left,male,12,0.09923633681210053,0.11413171244318587
hand_grip_left,male,13,0.0954201494694304,0.1055024433460916
hand_grip_left,male,14,0.10063318290245765,0.11119635314430232
hand_grip_left,female,0,0.09688592496343418,0.09298293393351537
hand_grip_left,female,1,0.09932896774380895,0.08995833770187928
hand_grip_left,female,2,0.09864669988808933,0.09453963630164258
hand_grip_left,female,3,0.08998452539053287,0.08422845735918882
hand_grip_left,female,4,0.09572637771153414,0.09065832490840658
hand_grip_left,female,5,0.09970893923957541,0.09409280399522274
hand_grip_left,female,6,0.09571786966510876,0.0887327411254249
hand_grip_left,female,7,0.09619438273307268,0.09255254494070275
hand_grip_left,female,8,0.10112690484104303,0.10262898163661816
hand_grip_left,female,9,0.09413108883183413,0.08883870272258354
hand_grip_left,female,10,0.08663201486223826,0.08197724050052768
hand_grip_left,female,11,0.09182519939616363,0.08733293067116576
hand_grip_left,female,12,0.09888815678789564,0.09133735890435624
hand_grip_left,female,13,0.0937967372379746,0.09031571345991524
hand_grip_left,female,14,0.09843106007813568,0.09204810316713591
liver_elasticity,male,0,0.07549153337765246,0.06677056240940193
liver_elasticity,male,1,0.07716120989464516,0.06387898990553609
liver_elasticity,male,2,0.06479858147712861,0.061966038139157936
liver_elasticity,male,3,0.06223257393051179,0.04616664311235957
liver_elasticity,male,4,0.056832956788666594,0.05307505031083801
liver_elasticity,male,5,0.055427431159209645,0.04801060393110379
liver_elasticity,male,6,0.07262379728716428,0.061542044591916215
liver_elasticity,male,7,0.06912026669646168,0.05758565534408544
liver_elasticity,male,8,0.06688602114343081,0.05169867683873061
liver_elasticity,male,9,0.06578961877708736,0.05558773902841754
liver_elasticity,male,10,0.0674405156610323,0.055668159222919206
liver_elasticity,male,11,0.0792358222922475,0.06816287409588302
liver_elasticity,male,12,0.07803186659589623,0.06246391511847492
liver_elasticity,male,13,0.07667949484644418,0.06396549142877389
liver_elasticity,male,14,0.07450344738298734,0.06250882426265139
liver_elasticity,female,0,0.0759508433488077,0.08128078028761977
liver_elasticity,female,1,0.06341202520831837,0.07064648579336548
liver_elasticity,female,2,0.05797659920576059,0.0588919320041017
liver_elasticity,female,3,0.08290059913310857,0.08227125337619813
liver_elasticity,female,4,0.08000017275544749,0.0923547776948927
liver_elasticity,female,5,0.06978420148414059,0.06905557449950422
liver_elasticity,female,6,0.09031886159593913,0.09345670728790749
liver_elasticity,female,7,0.07141910316008651,0.07042636062040791
liver_elasticity,female,8,0.04403810882718849,0.04592760680925233
liver_elasticity,female,9,0.06764864408919283,0.07919319859800707
liver_elasticity,female,10,0.06459890400373941,0.07252921720839788
liver_elasticity,female,11,0.08705575530029239,0.08909816113304954
liver_elasticity,female,12,0.07222520975451116,0.08553262170314536
liver_elasticity,female,13,0.06859179949569424,0.07434700346401428
liver_elasticity,female,14,0.08173222552653246,0.07958801946814678
spine_l1_l4_area,male,0,0.1940669051704172,0.1805005918305242
spine_l1_l4_area,male,1,0.18273422397465616,0.17103411697367754
spine_l1_l4_area,male,2,0.1859227447686348,0.17644666957444666
spine_l1_l4_area,male,3,0.15742561519414994,0.13289220939785074
spine_l1_l4_area,male,4,0.18160690565204074,0.1729125008646411
spine_l1_l4_area,male,5,0.18382616019322212,0.1727437254269759
spine_l1_l4_area,male,6,0.1763255570845605,0.16561740909270994
spine_l1_l4_area,male,7,0.1909358743704354,0.18225679408800893
spine_l1_l4_area,male,8,0.19231221801113108,0.18227942507255895
spine_l1_l4_area,male,9,0.18577129020553657,0.17854160083444093
spine_l1_l4_area,male,10,0.18553297533405388,0.18418405009907246
spine_l1_l4_area,male,11,0.18717736481593106,0.17641695686599157
spine_l1_l4_area,male,12,0.19000797711708822,0.18457322403870552
spine_l1_l4_area,male,13,0.1865159692092132,0.1767302692997712
spine_l1_l4_area,male,14,0.1832817183344861,0.16742257446694286
spine_l1_l4_area,female,0,0.16553512027403045,0.1674209188140961
spine_l1_l4_area,female,1,0.1635335013223137,0.16058639106978823
spine_l1_l4_area,female,2,0.15395972286628545,0.15287490619598015
spine_l1_l4_area,female,3,0.1178686204255519,0.12273398362512905
spine_l1_l4_area,female,4,0.16405460227014163,0.1613765953861187
spine_l1_l4_area,female,5,0.16281383054623572,0.15733112756351458
spine_l1_l4_area,female,6,0.10231146996371826,0.10238210221624733
spine_l1_l4_area,female,7,0.15902472831028824,0.15565950410082696
spine_l1_l4_area,female,8,0.15884502868369066,0.15521166882908088
spine_l1_l4_area,female,9,0.15566514926351327,0.1544799862727808
spine_l1_l4_area,female,10,0.15787128322365906,0.16028485988858066
spine_l1_l4_area,female,11,0.1627587448903926,0.16337703200442694
spine_l1_l4_area,female,12,0.16351236037056066,0.16241539528939164
spine_l1_l4_area,female,13,0.16468433548615924,0.1623660360455843
spine_l1_l4_area,female,14,0.10281608559986716,0.09972195576660986
