sex,stratum_type,stratum,body_system,n_features,n_features_with_data,n_participants_in_band,median_delta_r,dispersion_across_features,dispersion_across_splits
F,age,50–65,anthropometric_group,3,3,895,0.007895693400561295,0.007366439910318024,0.0007200886191209521
F,age,50–65,blood_tests_lipids,3,3,687,0.02767812757152944,0.0013190400141072525,0.008826099367476505
F,age,50–65,body_composition,92,92,875,0.018727282498574818,0.0163282103908259,0.0012223323617079067
F,age,50–65,bone_density,152,152,870,0.0240921539201273,0.029465163110074372,0.00453530035948763
F,age,50–65,cardiovascular_system,41,41,871,0.0072780790725328615,0.03706604076601205,0.010290052611788647
F,age,50–65,frailty,7,7,875,0.021471600813162763,0.031628522659058224,0.0024099966527252317
F,age,50–65,glycemic_status,4,4,770,0.026423568602767213,0.027722139353414183,0.018312677388269204
F,age,50–65,hematopoietic,2,2,888,0.11821383615691336,0.15343259268946774,0.013675777076324749
F,age,50–65,high_level_diet_with_stage,24,24,887,0.02961028124012187,0.035577101754806696,0.014165322647482388
F,age,50–65,immune_system,1,1,889,-0.0287792797980937,,0.010407924696001903
F,age,50–65,lifestyle_group,8,8,791,-0.008247666908215984,0.06957672484623055,0.01755752189914289
F,age,50–65,liver,3,3,887,0.08529629257137876,0.04086653308061107,0.011484468069813208
F,age,50–65,mental,4,4,862,0.026790410830844682,0.08881110755410503,0.02199182910348936
F,age,50–65,metabolites,348,348,606,0.03362128782061942,0.04648303832696195,0.024629918042370563
F,age,50–65,microbiome,67,67,879,0.026063278356019064,0.036290363182984,0.017492456358711467
F,age,50–65,nightingale,103,103,461,0.020696585104243673,0.03429408805975009,0.018403896110827316
F,age,50–65,sleep_group,6,6,817,-0.0001631646692562827,0.04223218179510696,0.009994315879131768
F,age,<50,anthropometric_group,3,3,601,0.013386377550197797,0.0063489671349622225,0.0015514543999629
F,age,<50,blood_tests_lipids,3,3,366,0.008311016190141943,0.0449788378429279,0.022757184385917693
F,age,<50,body_composition,92,92,566,0.02106724751463334,0.020254595023833522,0.001552099408057363
F,age,<50,bone_density,152,152,547,0.02004559137475803,0.03382838800583055,0.005923749962520939
F,age,<50,cardiovascular_system,41,41,575,0.007216792555342166,0.04663428184764129,0.017789444849230288
F,age,<50,frailty,7,7,566,0.026931346080566153,0.05927736276819945,0.0023269798591919006
F,age,<50,glycemic_status,4,4,368,0.011373780276228594,0.01865890697194018,0.03742758651654697
F,age,<50,hematopoietic,2,2,590,0.0714158092097866,0.11664505162157389,0.014833264062580658
F,age,<50,high_level_diet_with_stage,24,24,583,0.03765404062634525,0.04750610311067539,0.015617759674280158
F,age,<50,immune_system,1,1,591,-0.04481709572408843,,0.016200792401492404
F,age,<50,lifestyle_group,8,8,485,0.026087034286459098,0.04876401136664834,0.026667558487473705
F,age,<50,liver,3,3,594,-0.03486933584021208,0.06103125555370036,0.020216574235772892
F,age,<50,mental,4,4,530,0.06473540993329767,0.05101263431604827,0.016415425157612133
F,age,<50,metabolites,348,348,274,0.06310078360455923,0.07170761787285791,0.033303434565998505
F,age,<50,microbiome,67,67,575,0.01735839829261217,0.047235167880920755,0.021796287253757162
F,age,<50,nightingale,103,103,208,0.05338346056152289,0.06321721501478561,0.027600380098918912
F,age,<50,sleep_group,6,6,500,0.010699294990149395,0.03512687560980629,0.015236349182415426
F,age,≥65,anthropometric_group,3,3,229,0.009835135038952503,0.008275292384630246,0.0012936308747087324
F,age,≥65,blood_tests_lipids,3,3,197,0.11738294337830033,0.06067900802929837,0.039039129239051215
F,age,≥65,body_composition,92,92,222,0.017784785953734665,0.02813797980646351,0.00271329944221678
F,age,≥65,bone_density,152,152,221,0.01577625565173172,0.04700453586348145,0.008242738135763598
F,age,≥65,cardiovascular_system,41,41,226,0.030984190217635987,0.08328076849171685,0.029985001668457995
F,age,≥65,frailty,7,7,222,0.021480486511737167,0.013499933110199359,0.004327277381532022
F,age,≥65,glycemic_status,4,4,194,0.022263796423030228,0.06241323876882259,0.038608762330412535
F,age,≥65,hematopoietic,2,2,229,0.13103902102164078,0.13045529706194986,0.019018532009962872
F,age,≥65,high_level_diet_with_stage,24,24,227,0.04619581488422396,0.05230893111227935,0.027199951642223087
F,age,≥65,immune_system,1,1,229,-0.03046095823758866,,0.03651084442332457
F,age,≥65,lifestyle_group,8,8,182,0.022934838472490934,0.07100142866091748,0.043923458013741035
F,age,≥65,liver,3,3,229,0.14660897793933725,0.14209681337283064,0.0294201110527503
F,age,≥65,mental,4,4,217,0.10796940555153059,0.03840804256048821,0.03445699503012092
F,age,≥65,metabolites,348,348,163,0.05160355577549015,0.08372312016964326,0.04708636872172538
F,age,≥65,microbiome,67,67,227,0.004096085044837687,0.07763238928981758,0.03516099442005372
F,age,≥65,nightingale,103,103,146,-0.02235040607348109,0.04435006846302628,0.03223135979095466
F,age,≥65,sleep_group,6,6,222,-0.03386182282989367,0.054928068803953595,0.024066104180741343
F,bmi,25–30,anthropometric_group,3,3,595,0.04496934768165718,0.027378981113464977,0.0021247933720584616
F,bmi,25–30,blood_tests_lipids,3,3,436,0.039670805479544304,0.0220622400362528,0.020264794851738394
F,bmi,25–30,body_composition,92,92,572,0.021673604123569196,0.0241893417995675,0.0020062102988310684
F,bmi,25–30,bone_density,152,152,564,0.017934652255174967,0.03161007224598108,0.005269449697443938
F,bmi,25–30,cardiovascular_system,41,41,580,-0.002010172176547443,0.060787275975623445,0.01797163180264272
F,bmi,25–30,frailty,7,7,572,0.02035594054021188,0.0228723633816147,0.0026475931490452563
F,bmi,25–30,glycemic_status,4,4,471,0.02224822687857205,0.012025331785376,0.01982940838276349
F,bmi,25–30,hematopoietic,2,2,592,0.10220956285138363,0.09569602788019531,0.009749115548701021
F,bmi,25–30,high_level_diet_with_stage,24,24,584,0.051134205115383594,0.04070886350076772,0.017299865834212808
F,bmi,25–30,immune_system,1,1,592,0.016943051835930197,,0.02087205127195359
F,bmi,25–30,lifestyle_group,8,8,500,0.04927166467429702,0.042702040229605234,0.019528400950718644
F,bmi,25–30,liver,3,3,587,0.12825917976597498,0.08678734778352722,0.017628474108938096
F,bmi,25–30,mental,4,4,550,0.010805228301166137,0.07799790240651738,0.017644089367158798
F,bmi,25–30,metabolites,348,348,369,0.04266580892317817,0.06292169334462652,0.03103785699190927
F,bmi,25–30,microbiome,67,67,580,0.011927027866981662,0.04971716333984245,0.022603443921228497
F,bmi,25–30,nightingale,103,103,292,0.016807428388012,0.04358768408458463,0.02479986964653487
F,bmi,25–30,sleep_group,6,6,529,-0.008444305127979576,0.06023486887353819,0.013512707701788695
F,bmi,<25,anthropometric_group,3,3,884,0.018432300664854514,0.017203487595048736,0.0033791515611097155
F,bmi,<25,blood_tests_lipids,3,3,614,0.0117185231142881,0.019496826985240207,0.017582271509424312
F,bmi,<25,body_composition,92,92,851,0.0333659049867191,0.027631648546784293,0.0022855267290727696
F,bmi,<25,bone_density,152,152,835,0.028569022336908168,0.030775727321029928,0.00582746182627621
F,bmi,<25,cardiovascular_system,41,41,847,0.010949249357647637,0.03696610778687512,0.012113508474591894
F,bmi,<25,frailty,7,7,851,0.03670229751541499,0.04486975177488749,0.0023262339750704402
F,bmi,<25,glycemic_status,4,4,663,0.054593709689894465,0.023284104339833963,0.02324679140738363
F,bmi,<25,hematopoietic,2,2,872,0.09961022672671724,0.09157690993063788,0.012312850816930765
F,bmi,<25,high_level_diet_with_stage,24,24,869,0.011973976933825799,0.030831549518067776,0.015636973675470754
F,bmi,<25,immune_system,1,1,872,0.07164274658513801,,0.016594649600723793
F,bmi,<25,lifestyle_group,8,8,748,0.034885760390283,0.04181054988297973,0.01629604995291156
F,bmi,<25,liver,3,3,880,0.04949949845465502,0.01676820735409564,0.022293663476653947
F,bmi,<25,mental,4,4,828,0.03532988000864273,0.05694203526568259,0.014543760791254237
F,bmi,<25,metabolites,348,348,504,0.048383993435797586,0.056554353176992304,0.02827847836269671
F,bmi,<25,microbiome,67,67,857,0.03496920508575797,0.04015867701879064,0.019948430570866853
F,bmi,<25,nightingale,103,103,398,0.04779181960407235,0.03302250165448114,0.021293982740416988
F,bmi,<25,sleep_group,6,6,784,0.0263527095830799,0.024810067140519226,0.012789018918035612
F,bmi,≥30,anthropometric_group,3,3,235,0.0044476286561166535,0.02439399492551882,0.0031875076871551705
F,bmi,≥30,blood_tests_lipids,3,3,190,0.0038220636317243557,0.030646965315674242,0.03764577278822653
F,bmi,≥30,body_composition,92,92,231,0.031276755559465144,0.0561623994472586,0.004830029929297175
F,bmi,≥30,bone_density,152,152,231,0.02275403626314746,0.0437091440393369,0.00965834189429594
F,bmi,≥30,cardiovascular_system,41,41,233,0.008103322312577058,0.06979016983137463,0.027635861784321168
F,bmi,≥30,frailty,7,7,231,0.06037878722026,0.057149631156198026,0.008781490561542414
F,bmi,≥30,glycemic_status,4,4,189,0.010224091643291813,0.035968692268017535,0.03497875368423916
F,bmi,≥30,hematopoietic,2,2,234,0.05189572524229598,0.08373101946066473,0.025417112885877752
F,bmi,≥30,high_level_diet_with_stage,24,24,233,0.043587988700213395,0.05635018746028381,0.024222725891446667
F,bmi,≥30,immune_system,1,1,234,-0.06696485396158197,,0.03066078237556203
F,bmi,≥30,lifestyle_group,8,8,198,0.0502157430514056,0.057840554465201977,0.034698424840502624
F,bmi,≥30,liver,3,3,233,0.15772093578133103,0.0774236160612868,0.028446189391652672
F,bmi,≥30,mental,4,4,220,0.05550168716340641,0.09081985683159902,0.028833908848590575
F,bmi,≥30,metabolites,348,348,163,0.007464565998803562,0.09268631042304522,0.04339188148457915
F,bmi,≥30,microbiome,67,67,233,0.037759539144362905,0.06413626720294495,0.034681578541820905
F,bmi,≥30,nightingale,103,103,120,0.03354998756582663,0.05392745544469789,0.05177825302002793
F,bmi,≥30,sleep_group,6,6,216,0.046941403414644776,0.034407698035710484,0.02803956971353426
M,age,50–65,anthropometric_group,3,3,802,0.012811239064589289,0.011445850657866243,0.000652731688565845
M,age,50–65,blood_tests_lipids,4,4,642,0.05337894682827672,0.01031500220362051,0.014404919122920508
M,age,50–65,body_composition,97,97,796,0.032806206832683316,0.03717907143921238,0.0014462804634629788
