sex,stratum_type,stratum,system,label,seed,n_subjects,r_baseline,r_gait,delta_r
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,0,407,0.26693554427427324,0.2797967049921855,0.012861160717912268
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,1,407,0.26957541075001396,0.27118155918100617,0.0016061484309922158
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,2,407,0.2714946660066873,0.2626470594284318,-0.008847606578255507
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,3,407,0.26582976587735124,0.27613427104508576,0.010304505167734512
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,4,407,0.26832772368739255,0.2430443934582981,-0.02528333022909446
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,5,407,0.2698472739408767,0.27820039419509923,0.008353120254222524
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,6,407,0.27526692597286045,0.24896088524276555,-0.026306040730094904
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,7,407,0.2684169455563984,0.251977571734662,-0.01643937382173638
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,8,407,0.26417854159340076,0.2454863098672929,-0.018692231726107872
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,9,407,0.2547106048884234,0.23218521956949256,-0.022525385318930835
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,10,407,0.19339538013016908,0.2768273981471558,0.08343201801698671
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,11,407,0.1457309771764825,0.2857308029320178,0.1399998257555353
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,12,407,0.2673842362438655,0.2847384917260563,0.017354255482190828
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,13,407,0.27285621125512066,0.25089401884435214,-0.021962192410768522
M,age,<50,blood_tests_lipids,bt__non_hdl_cholesterol,14,407,0.26773124947483296,0.23114635938291303,-0.036584890091919925
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,0,615,0.1617612833968459,0.2338844044873762,0.07212312109053032
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,1,615,0.16466115635258283,0.2457602048685055,0.08109904851592267
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,2,615,0.15879755372903234,0.2168119378968979,0.05801438416786556
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,3,615,0.1644404824237968,0.21734869065297754,0.05290820822918074
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,4,615,0.17058388037540959,0.22575014223462614,0.05516626185921655
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,5,615,0.1667215039660597,0.20927831495256408,0.04255681098650438
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,6,615,0.16560094845751502,0.22668355989468003,0.06108261143716501
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,7,615,0.16842358175441166,0.2646483415602399,0.09622475980582826
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,8,615,0.16548886659314171,0.21773960900043549,0.05225074240729377
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,9,615,0.175101390261833,0.2018596874790993,0.026758297217266303
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,10,615,0.12863371353220576,0.208618215867747,0.07998450233554125
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,11,615,0.12727208339342502,0.26291898413197407,0.13564690073854904
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,12,615,0.166930979394835,0.23903656969410536,0.07210559029927036
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,13,615,0.16866830771158972,0.21276880924814817,0.04410050153655845
M,age,50–65,blood_tests_lipids,bt__non_hdl_cholesterol,14,615,0.16455451814770786,0.20773518524121456,0.04318066709350671
M,age,≥65,blood_tests_lipids,bt__non_hdl_cholesterol,0,148,0.042603354299738494,0.14972559605047656,0.10712224175073806
M,age,≥65,blood_tests_lipids,bt__non_hdl_cholesterol,1,148,0.028962229046439716,0.004307844780330654,-0.02465438426610906
M,age,≥65,blood_tests_lipids,bt__non_hdl_cholesterol,2,148,0.051704343822980815,0.0491494984209886,-0.0025548454019922173
M,age,≥65,blood_tests_lipids,bt__non_hdl_cholesterol,3,148,0.03978155500270176,0.0659822925801613,0.026200737577459547
