umap_1,umap_2,activity
8.211972,12.943211,romberg_closed
8.665603,-3.6561337,self_selected_gait_speed
-0.068098895,5.186169,sit_to_stand
15.474834,5.410893,stationary_walk
8.917991,-3.808002,tm_3kmh
9.183784,15.063827,romberg_closed
7.6625166,-6.1201277,self_selected_gait_speed
-1.2449414,4.4619517,sit_to_stand
14.325908,4.112508,stationary_walk
7.6703396,-6.2518306,tm_3kmh
7.268768,13.8996935,romberg_closed
8.01602,-3.8452451,self_selected_gait_speed
-0.90481234,3.9743145,sit_to_stand
16.272413,4.293372,stationary_walk
8.033316,-4.07615,tm_3kmh
11.247223,14.454827,romberg_closed
8.58068,-6.582779,self_selected_gait_speed
-0.3109682,3.0162232,sit_to_stand
14.317743,5.579844,stationary_walk
8.547335,-6.500476,tm_3kmh
7.9614196,12.707662,romberg_closed
9.079866,-3.676056,self_selected_gait_speed
-3.0157564,4.6032033,sit_to_stand
17.114758,6.7233267,stationary_walk
9.663657,-3.820288,tm_3kmh
5.1208177,11.019186,romberg_closed
9.717395,-2.1899648,self_selected_gait_speed
-3.0698497,4.4198833,sit_to_stand
16.892004,7.0834594,stationary_walk
9.444292,-2.2110667,tm_3kmh
7.873228,13.403729,romberg_closed
5.647525,-5.084774,self_selected_gait_speed
-0.86233145,4.0446877,sit_to_stand
15.055384,5.1,stationary_walk
5.715292,-5.295157,tm_3kmh
8.002909,13.866965,romberg_closed
4.7594366,-2.9021823,self_selected_gait_speed
-2.5399375,4.5428886,sit_to_stand
14.300538,4.1929584,stationary_walk
4.6498256,-2.8074727,tm_3kmh
6.041889,11.847803,romberg_closed
8.049876,-3.404366,self_selected_gait_speed
-1.3260703,3.5935862,sit_to_stand
15.578518,4.7210298,stationary_walk
7.9450665,-3.6278691,tm_3kmh
5.9628434,13.491378,romberg_closed
6.7528253,-1.1722095,self_selected_gait_speed
-1.330476,4.8371215,sit_to_stand
17.456665,6.509688,stationary_walk
6.9460907,-1.2967664,tm_3kmh
8.199197,13.907924,romberg_closed
9.122368,-5.065431,self_selected_gait_speed
-2.8078294,5.042782,sit_to_stand
14.841997,5.482268,stationary_walk
8.41618,-5.638101,tm_3kmh
8.710805,12.853563,romberg_closed
7.208243,-5.710541,self_selected_gait_speed
-2.0515141,4.2629967,sit_to_stand
15.082311,5.6276126,stationary_walk
7.37045,-5.353262,tm_3kmh
6.9430575,12.293244,romberg_closed
6.5560513,-1.1652955,self_selected_gait_speed
-0.812521,5.6599007,sit_to_stand
15.164421,5.6364574,stationary_walk
6.5633492,-1.195159,tm_3kmh
9.764237,14.328124,romberg_closed
9.43643,-2.6814897,self_selected_gait_speed
-3.6792595,4.629485,sit_to_stand
16.359354,5.1080093,stationary_walk
8.252786,-2.6436307,tm_3kmh
7.3736925,14.973271,romberg_closed
8.247353,-4.57336,self_selected_gait_speed
-1.3628242,5.484186,sit_to_stand
16.82716,5.9412436,stationary_walk
8.170266,-4.677513,tm_3kmh
4.959167,11.202245,romberg_closed
8.568122,-4.9758534,self_selected_gait_speed
-0.5730623,5.027175,sit_to_stand
16.46861,5.030081,stationary_walk
8.692512,-5.1527624,tm_3kmh
6.2159486,14.238156,romberg_closed
6.4128256,-1.1664722,self_selected_gait_speed
-1.2413565,5.965688,sit_to_stand
17.147991,5.1541634,stationary_walk
6.4787717,-1.3315817,tm_3kmh
8.344108,13.966597,romberg_closed
6.296866,-4.163539,self_selected_gait_speed
-1.9745634,4.740314,sit_to_stand
17.290054,5.208012,stationary_walk
5.993294,-4.4682274,tm_3kmh
8.522264,14.448281,romberg_closed
9.144897,-5.7880855,self_selected_gait_speed
-2.3790302,5.5218315,sit_to_stand
16.06099,5.2789607,stationary_walk
8.791598,-6.494285,tm_3kmh
10.027431,13.768565,romberg_closed
-2.106945,4.3808813,sit_to_stand
15.140561,5.257622,stationary_walk
7.994965,14.781271,romberg_closed
7.6337724,-4.8259068,self_selected_gait_speed
-2.2117758,4.963015,sit_to_stand
15.86179,4.053778,stationary_walk
7.7414045,-4.8166647,tm_3kmh
7.110695,13.935169,romberg_closed
7.320289,-4.6795907,self_selected_gait_speed
-2.1322625,4.5908856,sit_to_stand
17.879469,5.657338,stationary_walk
7.2090592,-4.3606305,tm_3kmh
9.829699,15.108572,romberg_closed
7.488759,-4.55636,self_selected_gait_speed
-2.498889,6.007485,sit_to_stand
16.747883,4.474902,stationary_walk
7.6791143,-4.55194,tm_3kmh
5.078988,11.231367,romberg_closed
6.7768674,-3.2006264,self_selected_gait_speed
-3.1862621,3.9142091,sit_to_stand
17.483307,6.513291,stationary_walk
6.7493215,-3.2960737,tm_3kmh
10.511479,13.826539,romberg_closed
-0.5925779,2.834081,sit_to_stand
14.58842,4.1624093,stationary_walk
8.489649,14.962537,romberg_closed
6.763148,-4.462353,self_selected_gait_speed
-1.4360775,4.9959836,sit_to_stand
15.9991665,4.7884936,stationary_walk
7.138148,-4.554845,tm_3kmh
9.496758,13.602048,romberg_closed
9.766312,-3.6238127,self_selected_gait_speed
-1.5146555,5.63375,sit_to_stand
15.366139,4.970044,stationary_walk
9.343072,-4.2163143,tm_3kmh
7.136072,13.310968,romberg_closed
8.2104,-5.652692,self_selected_gait_speed
-1.0772474,4.6215568,sit_to_stand
15.27714,5.0976143,stationary_walk
7.985492,-5.4184985,tm_3kmh
9.745816,14.061752,romberg_closed
7.1661267,-5.1573787,self_selected_gait_speed
0.35307845,4.2420125,sit_to_stand
14.422312,5.2502975,stationary_walk
6.9475994,-5.1808953,tm_3kmh
10.784704,13.91738,romberg_closed
9.383306,-5.6105537,self_selected_gait_speed
-0.62248826,3.2654197,sit_to_stand
14.4606085,5.4138656,stationary_walk
8.868489,-5.0351353,tm_3kmh
10.832423,13.732399,romberg_closed
9.73442,-5.536084,self_selected_gait_speed
-0.9069173,3.0680416,sit_to_stand
14.283702,4.76481,stationary_walk
9.738072,-5.564659,tm_3kmh
6.370146,13.670711,romberg_closed
5.771491,-3.1376026,self_selected_gait_speed
-1.0897305,5.7970653,sit_to_stand
17.799675,5.6161036,stationary_walk
5.2492537,-3.1650555,tm_3kmh
9.566473,13.20054,romberg_closed
6.348259,-4.6125345,self_selected_gait_speed
-1.9675646,3.476925,sit_to_stand
13.871594,4.7759085,stationary_walk
7.147441,-5.4053435,tm_3kmh
8.979926,14.737745,romberg_closed
8.220714,-5.622871,self_selected_gait_speed
-1.4067369,5.1113834,sit_to_stand
16.464685,4.2419996,stationary_walk
8.180913,-5.6567454,tm_3kmh
6.9612255,14.087459,romberg_closed
6.557488,-1.1545223,self_selected_gait_speed
-1.3296121,4.3301973,sit_to_stand
17.214996,6.0128293,stationary_walk
6.6185355,-1.1422765,tm_3kmh
10.829297,14.101427,romberg_closed
5.3656683,-5.029384,self_selected_gait_speed
-1.699988,3.965863,sit_to_stand
15.6598,4.295869,stationary_walk
5.3350973,-5.0141187,tm_3kmh
7.012764,13.817284,romberg_closed
9.342164,-5.304348,self_selected_gait_speed
-2.9650428,3.9153028,sit_to_stand
16.049236,6.4643764,stationary_walk
9.143717,-5.2522902,tm_3kmh
6.710557,14.056937,romberg_closed
9.126177,-4.6557684,self_selected_gait_speed
-3.5853693,5.001919,sit_to_stand
16.08883,6.168136,stationary_walk
9.070774,-4.599061,tm_3kmh
6.92599,14.458967,romberg_closed
6.5244555,-3.420406,self_selected_gait_speed
-1.968562,6.028609,sit_to_stand
17.327087,5.0818405,stationary_walk
6.723353,-3.3550637,tm_3kmh
8.242985,13.919942,romberg_closed
7.6685,-4.2691116,self_selected_gait_speed
-3.3722813,4.2307696,sit_to_stand
15.3213005,5.7480035,stationary_walk
7.6840525,-4.6043944,tm_3kmh
10.275499,15.10028,romberg_closed
8.867265,-6.476602,self_selected_gait_speed
-3.0100558,5.070627,sit_to_stand
14.864294,4.5476847,stationary_walk
8.805648,-6.635995,tm_3kmh
6.349377,13.624096,romberg_closed
7.453013,-2.5283341,self_selected_gait_speed
-3.5447598,4.766721,sit_to_stand
17.292059,5.997017,stationary_walk
6.97551,-2.623051,tm_3kmh
6.2638717,14.119298,romberg_closed
9.159954,-4.7330623,self_selected_gait_speed
-3.3800652,4.99249,sit_to_stand
17.551928,5.8389807,stationary_walk
8.981607,-4.4518976,tm_3kmh
6.2950764,11.595987,romberg_closed
9.852633,-5.2456665,self_selected_gait_speed
-2.8611317,3.6575146,sit_to_stand
17.380497,6.8471336,stationary_walk
4.9886985,-3.7711513,tm_3kmh
9.485391,13.059528,romberg_closed
8.731912,-6.5218277,self_selected_gait_speed
-0.37302354,3.7010896,sit_to_stand
14.332649,5.3723836,stationary_walk
8.586398,-6.680447,tm_3kmh
6.347834,11.58391,romberg_closed
6.1044064,-3.0792656,self_selected_gait_speed
-3.4327266,3.7569568,sit_to_stand
15.031779,6.2878847,stationary_walk
5.224636,-3.1301749,tm_3kmh
11.18456,13.635864,romberg_closed
-0.5640491,3.0064766,sit_to_stand
14.241103,5.45739,stationary_walk
7.0121346,13.423245,romberg_closed
6.1285014,-3.7824438,self_selected_gait_speed
-1.4600147,4.0541506,sit_to_stand
15.450202,5.4092073,stationary_walk
6.094382,-3.537232,tm_3kmh
7.703633,14.008644,romberg_closed
8.893466,-4.973348,self_selected_gait_speed
-3.436556,4.641578,sit_to_stand
17.279522,4.5949864,stationary_walk
9.080366,-4.858563,tm_3kmh
8.23054,13.91472,romberg_closed
8.948113,-5.1342444,self_selected_gait_speed
-3.6487656,4.3143387,sit_to_stand
17.400478,5.405388,stationary_walk
9.020619,-5.121407,tm_3kmh
7.8873205,15.072815,romberg_closed
7.432317,-4.9870057,self_selected_gait_speed
-2.8856108,5.825022,sit_to_stand
16.578876,3.7692752,stationary_walk
7.4962325,-5.2046294,tm_3kmh
7.8989797,13.994955,romberg_closed
8.533293,-4.850908,self_selected_gait_speed
-3.0873923,4.97203,sit_to_stand
15.719209,5.5743337,stationary_walk
8.68762,-4.831278,tm_3kmh
8.371376,14.8789835,romberg_closed
8.339594,-5.9726305,self_selected_gait_speed
-1.7461823,4.214423,sit_to_stand
15.806701,4.211798,stationary_walk
7.8031363,-6.0088415,tm_3kmh
9.9994545,13.160103,romberg_closed
9.293436,-4.965099,self_selected_gait_speed
-0.98471534,3.530205,sit_to_stand
14.526698,5.6156645,stationary_walk
8.967425,-4.843331,tm_3kmh
8.701851,13.628644,romberg_closed
6.240828,-5.3353863,self_selected_gait_speed
-2.1250186,3.2401695,sit_to_stand
15.631531,5.0291667,stationary_walk
6.181599,-5.426742,tm_3kmh
8.46312,14.007012,romberg_closed
8.871904,-4.3596425,self_selected_gait_speed
-2.9206533,4.5355825,sit_to_stand
16.801077,5.065731,stationary_walk
8.31124,-4.7527027,tm_3kmh
6.490974,13.477075,romberg_closed
8.386055,-4.164276,self_selected_gait_speed
-3.019489,3.4679992,sit_to_stand
16.296026,5.714864,stationary_walk
8.41173,-4.24526,tm_3kmh
7.889251,14.824776,romberg_closed
7.54513,-3.7418344,self_selected_gait_speed
-2.8937905,5.5878572,sit_to_stand
15.696732,4.0710487,stationary_walk
6.9810305,-3.676554,tm_3kmh
7.606026,13.461307,romberg_closed
6.455737,-1.2898952,self_selected_gait_speed
-3.4122941,4.373093,sit_to_stand
16.2201,6.330883,stationary_walk
6.4102364,-1.1454391,tm_3kmh
10.888925,14.493676,romberg_closed
5.212714,-3.4104927,self_selected_gait_speed
-0.62378883,3.7301579,sit_to_stand
13.63458,4.779799,stationary_walk
5.3060646,-3.552699,tm_3kmh
6.4766293,14.54943,romberg_closed
6.592287,-1.7868127,self_selected_gait_speed
-2.5904772,5.0917587,sit_to_stand
17.57737,5.138482,stationary_walk
6.645853,-2.0431314,tm_3kmh
9.4611635,15.147335,romberg_closed
7.415826,-6.2713227,self_selected_gait_speed
-1.0888257,4.2951374,sit_to_stand
15.999634,3.073666,stationary_walk
6.57645,-6.2908077,tm_3kmh
8.015762,12.877025,romberg_closed
7.757621,-3.922313,self_selected_gait_speed
-3.1224833,3.5435722,sit_to_stand
15.988885,6.5326786,stationary_walk
8.068467,-3.6933682,tm_3kmh
9.488705,13.909759,romberg_closed
8.8371525,-4.11658,self_selected_gait_speed
-2.2453282,3.547818,sit_to_stand
15.116093,4.152801,stationary_walk
9.08134,-3.8832097,tm_3kmh
6.3953967,13.760772,romberg_closed
9.4404955,-2.771493,self_selected_gait_speed
0.18200466,5.18986,sit_to_stand
15.7027645,5.7173395,stationary_walk
9.302162,-2.640376,tm_3kmh
9.328927,15.019108,romberg_closed
7.0427585,-3.0479815,self_selected_gait_speed
-1.977981,4.040021,sit_to_stand
17.214592,4.599669,stationary_walk
7.2775745,-3.1559486,tm_3kmh
10.735678,14.937007,romberg_closed
7.6295524,-6.517124,self_selected_gait_speed
-2.7539432,5.660717,sit_to_stand
15.062104,4.13747,stationary_walk
7.1252637,-6.633348,tm_3kmh
10.785479,14.272431,romberg_closed
6.4599247,-3.4672973,self_selected_gait_speed
-2.19649,3.7731013,sit_to_stand
15.619571,4.8808823,stationary_walk
6.4570956,-3.3325508,tm_3kmh
9.369662,13.647698,romberg_closed
9.021769,-4.8402305,self_selected_gait_speed
-1.0757835,4.393509,sit_to_stand
14.731076,5.2706547,stationary_walk
8.879116,-4.731358,tm_3kmh
7.4809456,14.156186,romberg_closed
9.081488,-3.815421,self_selected_gait_speed
-1.7584231,4.5040913,sit_to_stand
16.99727,6.4157796,stationary_walk
8.940808,-3.9616234,tm_3kmh
6.5391774,13.926078,romberg_closed
9.14118,-5.3742447,self_selected_gait_speed
-0.9749627,2.8891098,sit_to_stand
15.074572,5.529089,stationary_walk
9.135891,-5.202704,tm_3kmh
7.7483573,13.728532,romberg_closed
7.6768236,-3.9899716,self_selected_gait_speed
-1.7634262,3.9423938,sit_to_stand
16.192926,5.9622126,stationary_walk
7.4748816,-4.2049484,tm_3kmh
8.121653,15.409445,romberg_closed
7.1193466,-5.7068887,self_selected_gait_speed
-3.5493429,5.2132354,sit_to_stand
16.363522,3.6359396,stationary_walk
7.0897675,-5.658094,tm_3kmh
6.157806,14.381104,romberg_closed
7.818161,-3.5301526,self_selected_gait_speed
-2.7388031,4.448858,sit_to_stand
17.100193,6.454877,stationary_walk
7.666713,-3.729091,tm_3kmh
8.160146,14.368998,romberg_closed
7.8475847,-4.4344435,self_selected_gait_speed
-3.4934618,4.896449,sit_to_stand
16.277538,5.779544,stationary_walk
7.858714,-4.306412,tm_3kmh
6.7145877,13.752882,romberg_closed
6.0174823,-6.1234202,self_selected_gait_speed
-3.5434792,4.735345,sit_to_stand
13.8134365,4.40713,stationary_walk
5.9270973,-5.790476,tm_3kmh
7.585563,13.524033,romberg_closed
8.633773,-3.7167268,self_selected_gait_speed
-2.712591,4.340241,sit_to_stand
16.371729,5.980789,stationary_walk
8.623146,-3.5045416,tm_3kmh
10.076875,15.135355,romberg_closed
6.568496,-0.68898505,self_selected_gait_speed
0.25433517,4.6570954,sit_to_stand
13.591038,4.805097,stationary_walk
6.516983,-0.6284353,tm_3kmh
8.414175,13.975702,romberg_closed
5.7267623,-4.80768,self_selected_gait_speed
-1.1592921,5.2385774,sit_to_stand
15.653957,4.851666,stationary_walk
5.630689,-4.9672623,tm_3kmh
7.312101,13.262992,romberg_closed
8.307909,-2.8013155,self_selected_gait_speed
-0.5407078,4.3071237,sit_to_stand
15.907007,4.360983,stationary_walk
7.8707194,-2.6977453,tm_3kmh
11.176603,15.032263,romberg_closed
8.54783,-6.7852693,self_selected_gait_speed
-1.102624,5.7722545,sit_to_stand
14.727938,3.313531,stationary_walk
8.442874,-6.8145666,tm_3kmh
10.139197,15.221678,romberg_closed
7.966725,-6.560117,self_selected_gait_speed
-1.0442728,5.669235,sit_to_stand
15.802835,3.804989,stationary_walk
7.803094,-6.67226,tm_3kmh
10.5249815,14.538986,romberg_closed
8.761074,-6.5764008,self_selected_gait_speed
-1.0584353,3.7547274,sit_to_stand
15.319387,3.8345017,stationary_walk
8.542858,-6.724934,tm_3kmh
9.453658,14.12977,romberg_closed
6.121298,-5.0748353,self_selected_gait_speed
0.1868477,3.6815772,sit_to_stand
14.552589,4.145822,stationary_walk
6.1154537,-4.5829115,tm_3kmh
7.38829,14.040968,romberg_closed
6.7695737,-6.38328,self_selected_gait_speed
-0.39739075,3.3766148,sit_to_stand
15.1376295,5.0161743,stationary_walk
9.342972,15.000421,romberg_closed
6.584677,-3.1464841,self_selected_gait_speed
-2.764679,5.0255113,sit_to_stand
15.43123,3.3608634,stationary_walk
7.598918,-2.5681853,tm_3kmh
5.6354003,11.408177,romberg_closed
9.707091,-2.6029918,self_selected_gait_speed
-2.21493,3.230819,sit_to_stand
15.646593,6.4083643,stationary_walk
9.0868435,-2.8278866,tm_3kmh
10.36493,14.21109,romberg_closed
4.787833,-3.2887418,self_selected_gait_speed
-1.2241132,2.9080305,sit_to_stand
15.380559,4.9876313,stationary_walk
4.8657575,-3.4050171,tm_3kmh
8.402637,14.167765,romberg_closed
9.828072,-3.836287,self_selected_gait_speed
-0.31539676,5.479954,sit_to_stand
16.232677,5.3163967,stationary_walk
9.44436,-4.397511,tm_3kmh
6.479463,13.795576,romberg_closed
9.196701,-6.273799,self_selected_gait_speed
-0.19031899,3.452285,sit_to_stand
15.53237,5.2588286,stationary_walk
8.96563,-6.393058,tm_3kmh
6.4731817,14.222258,romberg_closed
7.452072,-3.662481,self_selected_gait_speed
-1.8991895,6.003162,sit_to_stand
16.719599,5.3020277,stationary_walk
7.3913074,-3.7800977,tm_3kmh
8.993299,15.220617,romberg_closed
8.3937435,-4.6853085,self_selected_gait_speed
