panel,gender,x_position,system,system_display,label,pearson_r,baseline_pearson_r,pearson_r_improvement,score_pvalue,wilcox_pvalue,wilcox_pvalue_fdr,n_seeds,n_subjects,description
Male,male,1,bone_density,Bone Density,spine_l1_l3_area,0.4090357372805774,0.3331368227809352,0.0758989144996422,1.247605432108156e-47,3.0517578125e-05,0.0003283323355056,15,1216,Projected bone area of the L1-L3 lumbar spine region measured in cm² via DXA. Represents the size of this extended spinal segment.
Male,male,1,bone_density,Bone Density,spine_l1_l3_bmc,0.3468394690039903,0.2777456295083482,0.069093839495642,9.026335127742208e-33,3.0517578125e-05,0.0003283323355056,15,1216,Bone Mineral Content (BMC) of the L1-L3 lumbar spine region measured in grams via DXA. Total mineral mass across three lumbar vertebrae.
Male,male,1,bone_density,Bone Density,spine_l1_l4_area,0.4296394125517906,0.361026949857043,0.0686124626947475,2.6122603241355392e-52,3.0517578125e-05,0.0003283323355056,15,1219,Projected bone area of the L1-L4 lumbar spine region measured in cm² via DXA. Standard assessment region representing the entire clinically-relevant lumbar spine.
Male,male,1,bone_density,Bone Density,spine_l1_l4_bmc,0.3502748168946613,0.3285001771425103,0.0217746397521509,3.377481344374684e-32,0.00042724609375,0.0029365453827247,15,1219,"Bone Mineral Content of the lumbar spine (L1-L4), measured in grams via DXA absorptiometry"
Male,male,1,bone_density,Bone Density,spine_l2_l4_area,0.419854085268053,0.3263361671220139,0.0935179181460391,1.8501063062580528e-50,3.0517578125e-05,0.0003283323355056,15,1219,"Projected bone area of lumbar spine L2-L4 region, measured in square centimeters by DXA"
Male,male,1,bone_density,Bone Density,spine_l2_l4_bmc,0.3458259460497908,0.2891870016892136,0.0566389443605771,7.323602838705981e-34,3.0517578125e-05,0.0003283323355056,15,1219,"Bone Mineral Content of lumbar spine L2-L4, measured in grams; represents total amount of mineral in the bone region"
Male,male,1,bone_density,Bone Density,spine_l3_bmd,0.1964011646407879,0.179244228471102,0.0171569361696859,3.269474407031322e-11,0.001007080078125,0.0063603494019634,15,1290,Bone Mineral Density of vertebra L3 measured in grams per cubic centimeter by DXA; measures bone quality at individual vertebral level
Male,male,2,metabolites,Metabolites,0.64_336.9201m_z,0.0887689518092534,0.0326532346639827,0.0561157171452707,0.035888116781651,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,1.17_257.0782m_z,0.1301567545745504,0.0684128197436407,0.0617439348309096,0.0005213248560618,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,1.25_277.0862m_z,0.091300424742468,0.0679558782499661,0.0233445464925018,0.0202486689712505,0.000762939453125,0.0049498586943655,15,853,
Male,male,2,metabolites,Metabolites,1.40_190.0512m_z,0.1009537011019752,0.0744248972641693,0.0265288038378059,0.0065794845179677,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,1.45_526.2055m_z,0.116713621302146,0.1066518104902358,0.0100618108119102,0.0011097177876617,0.002685546875,0.0152109943369709,15,853,
Male,male,2,metabolites,Metabolites,1.63_188.0355m_z,0.0793301056457195,0.0304361309410979,0.0488939747046216,0.0432091255846416,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,1.75_362.0413m_z,0.080039822141159,0.0646510955589194,0.0153887265822396,0.0433095465251617,0.012786865234375,0.064415714039522,15,853,
Male,male,2,metabolites,Metabolites,1.93_216.9820m_z,0.1230597256092042,0.0175559102369422,0.1055038153722619,0.0031119479843009,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,1.96_212.0707m_z,0.0754537736617696,0.0144075041015092,0.0610462695602603,0.044819028733243,3.0517578125e-05,0.0003283323355056,15,853,Metabolite biomarker
Male,male,2,metabolites,Metabolites,1.98_650.7602m_z,0.1190964581738107,-0.036308595838796,0.1554050540126067,0.0030392785860358,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.05_209.0458m_z,0.1113878613704116,0.0281262306924232,0.0832616306779883,0.0077008671161117,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.05_279.0987m_z,0.0886677446920333,0.058856935726032,0.0298108089660012,0.0243735046621134,0.00042724609375,0.0029365453827247,15,853,
Male,male,2,metabolites,Metabolites,2.07_729.4181m_z,0.0863010616640671,-0.029501623278809,0.1158026849428761,0.0289671190557054,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.14_632.3656m_z,0.0969639279445032,-0.0365171492948296,0.1334810772393328,0.0212921257522555,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.15_280.9933m_z,0.0794397020524015,0.0663226201784783,0.0131170818739231,0.0405797819219652,0.009033203125,0.0468282999773002,15,853,
Male,male,2,metabolites,Metabolites,2.19_319.0492m_z,0.0872884882768873,-0.0072003729503902,0.0944888612272776,0.0245074781995195,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.19_828.3298n,0.0866938493001062,0.0660350325304267,0.0206588167696794,0.0287355743667701,0.010772705078125,0.0550462090030205,15,853,
Male,male,2,metabolites,Metabolites,2.30_187.2785m_z,0.1243498562177671,0.0556723237315731,0.0686775324861939,0.0036707909544157,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.40_250.9024m_z,0.1511609202653092,0.0174597778762911,0.133701142389018,0.0002238137023734,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.40_252.9003m_z,0.1563487038603978,0.0133455334612463,0.1430031703991514,5.389442998436896e-05,3.0517578125e-05,0.0003283323355056,15,853,Metabolite biomarker
Male,male,2,metabolites,Metabolites,2.53_401.2006m_z,0.1666772579455428,0.0480483761670876,0.1186288817784552,1.664563548860445e-05,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.56_393.0653m_z,0.1043170893212467,0.0566604665829016,0.0476566227383451,0.004432396067621,3.0517578125e-05,0.0003283323355056,15,853,Metabolite biomarker
Male,male,2,metabolites,Metabolites,2.63_329.0695m_z,0.0849755950879464,0.0378372763220123,0.0471383187659341,0.0322961138042662,6.103515625e-05,0.0005502158717105,15,853,
Male,male,2,metabolites,Metabolites,2.66_437.0916m_z,0.0777757464872049,0.0635554723430704,0.0142202741441344,0.043438196012397,0.017669677734375,0.0868674627538389,15,853,
Male,male,2,metabolites,Metabolites,2.68_539.3581m_z,0.1184633413666313,0.0608854534603528,0.0575778879062784,0.0085097719767226,6.103515625e-05,0.0005502158717105,15,853,
Male,male,2,metabolites,Metabolites,2.74_145.0871m_z,0.0991245443992781,0.0379121657683922,0.0612123786308859,0.0125955058402372,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.76_409.2231m_z,0.0964614946205838,-0.0151772684319608,0.1116387630525447,0.0194749184600345,3.0517578125e-05,0.0003283323355056,15,853,
