target,target_display,duration_seconds,x_tick_label,pearson_r_mean,error_bar_sd,n_seeds
age,Age,2,2s,0.5167786399426316,0.004171189389662644,10
age,Age,5,5s,0.5421788985662142,0.004919576306805585,10
age,Age,10,10s,0.5585496981497907,0.004284182363038884,10
age,Age,15,15s,0.5749001760718603,0.002995655148113002,10
age,Age,30,30s,0.5908378413696698,0.002939542891220856,10
age,Age,180,180s,0.6347882520082524,0.002966500389298327,15
bmi,BMI,2,2s,0.833615085191669,0.0016087208355347478,10
bmi,BMI,5,5s,0.8414222056757948,0.0013870481189767732,10
bmi,BMI,10,10s,0.8493020761351371,0.000843286777313035,10
bmi,BMI,15,15s,0.8528471524788209,0.0010386518020713072,10
bmi,BMI,30,30s,0.858097098291122,0.0013036368767850117,10
bmi,BMI,180,180s,0.8742427869953002,0.001003432174511713,15
hr_bpm,Heart rate (BPM),2,2s,0.23629889066336882,0.0042718852881230215,10
hr_bpm,Heart rate (BPM),5,5s,0.24900804924893127,0.00447970106073749,10
hr_bpm,Heart rate (BPM),10,10s,0.24677732532396682,0.007844259752688614,10
hr_bpm,Heart rate (BPM),15,15s,0.2485057238240887,0.005756278282319835,10
hr_bpm,Heart rate (BPM),30,30s,0.24697297376283509,0.006273125661545927,10
hr_bpm,Heart rate (BPM),180,180s,0.3226714896007222,0.0061880585905777705,15
liver_elasticity,Liver elasticity,2,2s,0.31459959134210647,0.006839243005740025,10
liver_elasticity,Liver elasticity,5,5s,0.317259924973809,0.00567688331606858,10
liver_elasticity,Liver elasticity,10,10s,0.30678466960539985,0.00870705936388709,10
liver_elasticity,Liver elasticity,15,15s,0.32316145014635,0.0059981333359542645,10
liver_elasticity,Liver elasticity,30,30s,0.3337733925306841,0.006533444727129335,10
liver_elasticity,Liver elasticity,180,180s,0.3864493359394353,0.004102917352757343,15
total_scan_vat_area,VAT area,2,2s,0.739126968030472,0.0015313383251803628,10
total_scan_vat_area,VAT area,5,5s,0.7482651789925832,0.0018525981705218302,10
total_scan_vat_area,VAT area,10,10s,0.7545527090443895,0.002221345761463981,10
total_scan_vat_area,VAT area,15,15s,0.7610836302434753,0.00209517303162697,10
total_scan_vat_area,VAT area,30,30s,0.7653338772191853,0.002819592411651634,10
total_scan_vat_area,VAT area,180,180s,0.8060794980253774,0.0019527903890048843,15
