target,target_display,protocol,interm_name,total_seconds,x_position,pearson_r_mean,whisker_min,whisker_max,n_seeds
age,Age,Intermittent 5×2s (10s),intermittent_10s_5x2s,10,10,0.5784534712429691,0.5727516350675117,0.5847079430232158,10
age,Age,Intermittent 2×15s (30s),intermittent_30s_2x15s,30,30,0.6018823224917045,0.5963866404740977,0.6078452504253767,10
age,Age,Intermittent 6×5s (30s),intermittent_30s_6x5s,30,30,0.6068424433924539,0.6036127884683675,0.6103609586508523,10
bmi,BMI,Intermittent 5×2s (10s),intermittent_10s_5x2s,10,10,0.8495144206323243,0.8475849334917855,0.8508415170751497,10
bmi,BMI,Intermittent 2×15s (30s),intermittent_30s_2x15s,30,30,0.8549864344899263,0.8530845031836768,0.8561533969584458,10
bmi,BMI,Intermittent 6×5s (30s),intermittent_30s_6x5s,30,30,0.8547843232510266,0.8521316866945887,0.8566402208644495,10
hr_bpm,Heart rate (BPM),Intermittent 5×2s (10s),intermittent_10s_5x2s,10,10,0.24570632831789246,0.2372931020851844,0.2503669931778123,10
hr_bpm,Heart rate (BPM),Intermittent 2×15s (30s),intermittent_30s_2x15s,30,30,0.25366446373441237,0.2456814795568689,0.2621099640272179,10
hr_bpm,Heart rate (BPM),Intermittent 6×5s (30s),intermittent_30s_6x5s,30,30,0.2376160739587995,0.219182105565836,0.2465339771811322,10
liver_elasticity,Liver elasticity,Intermittent 5×2s (10s),intermittent_10s_5x2s,10,10,0.31862272675801456,0.3101138487825164,0.3261579783968676,10
liver_elasticity,Liver elasticity,Intermittent 2×15s (30s),intermittent_30s_2x15s,30,30,0.32880586310187315,0.3250520365708962,0.3328089184927065,10
liver_elasticity,Liver elasticity,Intermittent 6×5s (30s),intermittent_30s_6x5s,30,30,0.3264508784308334,0.3178846225145593,0.3331745755314078,10
total_scan_vat_area,VAT area,Intermittent 5×2s (10s),intermittent_10s_5x2s,10,10,0.7628563304479942,0.7596317262319031,0.7657340605324093,10
total_scan_vat_area,VAT area,Intermittent 2×15s (30s),intermittent_30s_2x15s,30,30,0.7607038056900726,0.7577513419932906,0.7642935179492364,10
total_scan_vat_area,VAT area,Intermittent 6×5s (30s),intermittent_30s_6x5s,30,30,0.7618508939795806,0.757583790839636,0.766049794174594,10
