spoke_index,system,system_display,label,label_display,pearson_r_male,pearson_r_female,score_pvalue_male,score_pvalue_fdr_male,score_pvalue_female,score_pvalue_fdr_female,n_seeds_male,n_subjects_male,n_seeds_female,n_subjects_female,description
0,body_composition,Body Comp,waist,Waist Circumference,0.8308096259544964,0.8255408083666531,0.0,0.0,0.0,0.0,15,1607,15,1721,"Waist circumference measured in centimeters, an anthropometric measurement of abdominal adiposity"
1,body_composition,Body Comp,body_comp_total_fat_mass,Total Fat Mass,0.8015113314528671,0.8295065982525645,0.0,0.0,0.0,0.0,15,1581,15,1659,"Total body fat mass across all regions (arms, legs, trunk, android and gynoid regions), measured in kilograms via DXA"
2,body_composition,Body Comp,body_comp_android_tissue_mass,Android Tissue Mass,0.8008991922353098,0.8203734188339609,0.0,0.0,0.0,0.0,15,1581,15,1659,"Total tissue mass in android region (upper body/abdominal area) measured in kilograms from DXA, including fat and lean tissue"
3,body_composition,Body Comp,body_comp_gynoid_tissue_mass,Gynoid Tissue Mass,0.684719643586373,0.7138338779041262,2.2333386093748214e-222,2.0689268734506325e-220,8.614256961520798e-258,7.813848918846158e-256,15,1581,15,1659,"Total tissue mass in the gynoid region (hips and thighs), measured in kilograms, including all tissue types in this area"
4,body_composition,Body Comp,body_comp_total_fat_free_mass,Fat-Free Mass,0.5440337065959769,0.5059019731149403,5.7759550576037105e-124,2.5661743184496485e-122,5.700969035938805e-109,2.3198148768670615e-107,15,1581,15,1659,"Total fat-free mass of the entire body, measured in kilograms, representing total lean tissue mass including muscle and bone"
5,gait,Gait Features,Cadence: median - TM3,Cadence: Median,0.8437940900032241,0.8656586218375821,0.0,0.0,0.0,0.0,15,1301,15,1319,Median cadence measured in steps per minute during treadmill walking at 3 km/h. Cadence is the number of steps taken per unit time and is a fundamental temporal gait parameter.
6,gait,Gait Features,Arm_Swing_1D_in_z_dir_m: median - TM3,Arm Swing (m): Median,0.8075563854777397,0.8002101799948828,8.735294311963177e-303,1.521338857371507e-300,3.0854060416948603e-298,4.070866031981643e-296,15,1301,15,1319,Median arm swing amplitude in the z-direction (vertical) measured in meters during treadmill walking at 3 km/h. Arm swing is a component of normal gait biomechanics affecting balance and locomotion efficiency.
7,gait,Gait Features,LStep_length_m: median - TM3,L Step Length (m): Median,0.7986679273491988,0.8174282691177297,2.7537425969456458e-292,4.6114597181159004e-290,4.1860656e-317,5.879396586e-315,15,1301,15,1319,Median left step length measured in meters during treadmill walking at 3 km/h. Step length is the distance between consecutive foot contacts and is a key spatial gait parameter used to assess walking biomechanics and mobility.
8,gait,Gait Features,Step_width_m: median - TM3,Step Width (m): Median,0.7900776671325094,0.7906758575366892,2.772994548727569e-280,4.024539421719945e-278,2.271192753747956e-284,2.672641418869892e-282,15,1301,15,1319,"Median step width measured in meters during treadmill walking at 3 km/h. Step width is the lateral distance between the feet during walking, an indicator of gait stability and balance."
9,gait,Gait Features,centroidal frequency - AP: median - sit_to_stand,Centroidal Frequency - AP: Median,0.7545639678329311,0.7329441101486897,6.805372653977165e-250,8.714880157475463e-248,4.821905354745866e-242,3.8878844286228707e-240,15,1365,15,1426,
