panel,target,x_label,series,pearson_r,error_bar_sd,n_seeds,delta_pearson_r,percent_gain_printed
Male,Age,Age,Normalized keypoints,0.58569436580525,0.0063556252499742,5,0.11632925641578107,19.861768049594293
Male,Age,Age,GaitMAE gait embeddings,0.7020236222210311,0.0028903442625782,15,0.11632925641578107,19.861768049594293
Female,Age,Age,Normalized keypoints,0.5454368174967804,0.0035833812702148,5,0.1308313949523514,23.986535333787526
Female,Age,Age,GaitMAE gait embeddings,0.6762682124491318,0.0029432296814623,15,0.1308313949523514,23.986535333787526
Male,BMI,BMI,Normalized keypoints,0.8622201314924093,0.0010421939613325,5,0.035521320283942726,4.119750744216466
Male,BMI,BMI,GaitMAE gait embeddings,0.897741451776352,0.0004266812733708,15,0.035521320283942726,4.119750744216466
Female,BMI,BMI,Normalized keypoints,0.888508697242955,0.0007111100146073,5,0.021463682272866214,2.415697487201654
Female,BMI,BMI,GaitMAE gait embeddings,0.9099723795158212,0.0018095872302186,15,0.021463682272866214,2.415697487201654
Male,VAT area,VAT area,Normalized keypoints,0.7726520386637852,0.0017478373612957,5,0.04144843655898267,5.364437610319786
Male,VAT area,VAT area,GaitMAE gait embeddings,0.8141004752227678,0.001709970441463,15,0.04144843655898267,5.364437610319786
Female,VAT area,VAT area,Normalized keypoints,0.7767653867713394,0.0012522847883468,5,0.020603614225654043,2.652488714937969
Female,VAT area,VAT area,GaitMAE gait embeddings,0.7973690009969935,0.0013288506358399,15,0.020603614225654043,2.652488714937969
Male,Heart rate,Heart rate,Normalized keypoints,0.253276455479304,0.0097145632303253,5,0.1035096904295546,40.868263982007875
Male,Heart rate,Heart rate,GaitMAE gait embeddings,0.3567861459088586,0.0064271957719806,15,0.1035096904295546,40.868263982007875
Female,Heart rate,Heart rate,Normalized keypoints,0.2117065871933333,0.0085659816062329,5,0.056599923120775,26.735078899121447
Female,Heart rate,Heart rate,GaitMAE gait embeddings,0.2683065103141083,0.0081601852185741,15,0.056599923120775,26.735078899121447
Male,Grip right,Grip right,Normalized keypoints,0.3846174508865038,0.0044114950902202,5,0.08480161111252771,22.0483004390645
Male,Grip right,Grip right,GaitMAE gait embeddings,0.4694190619990315,0.0042317316187834,15,0.08480161111252771,22.0483004390645
Female,Grip right,Grip right,Normalized keypoints,0.3827273160309734,0.0099768491552114,5,0.03831724285129251,10.01163001602728
Female,Grip right,Grip right,GaitMAE gait embeddings,0.4210445588822659,0.0046042356003117,15,0.03831724285129251,10.01163001602728
Male,Liver elasticity,Liver elasticity,Normalized keypoints,0.1579980108825854,0.0228846140762546,5,0.03699208938038001,23.41300955229766
Male,Liver elasticity,Liver elasticity,GaitMAE gait embeddings,0.1949901002629654,0.0080220087596843,15,0.03699208938038001,23.41300955229766
Female,Liver elasticity,Liver elasticity,Normalized keypoints,0.1278683656245367,0.0128572719153248,5,0.03200843929611599,25.03233629348421
Female,Liver elasticity,Liver elasticity,GaitMAE gait embeddings,0.1598768049206527,0.0102434891623149,15,0.03200843929611599,25.03233629348421
