panel,target,series,seed,pearson_r
Female,Age,GaitMAE gait embeddings,0,0.6785219647522304
Female,Age,GaitMAE gait embeddings,1,0.6772232074266137
Female,Age,GaitMAE gait embeddings,2,0.6697700916572753
Female,Age,GaitMAE gait embeddings,3,0.6728840018187919
Female,Age,GaitMAE gait embeddings,4,0.6797837194091334
Female,Age,GaitMAE gait embeddings,5,0.6748983072764987
Female,Age,GaitMAE gait embeddings,6,0.6741454404532932
Female,Age,GaitMAE gait embeddings,7,0.6747950783912072
Female,Age,GaitMAE gait embeddings,8,0.6748600061496216
Female,Age,GaitMAE gait embeddings,9,0.6758915769052077
Female,Age,GaitMAE gait embeddings,10,0.679028982074366
Female,Age,GaitMAE gait embeddings,11,0.6752318493949917
Female,Age,GaitMAE gait embeddings,12,0.6768686221858737
Female,Age,GaitMAE gait embeddings,13,0.6806748502542445
Female,Age,GaitMAE gait embeddings,14,0.6794454885876283
Female,Age,Normalized keypoints,0,0.5489635368691002
Female,Age,Normalized keypoints,1,0.5478634382721308
Female,Age,Normalized keypoints,2,0.541018678818588
Female,Age,Normalized keypoints,3,0.5421854820502852
Female,Age,Normalized keypoints,4,0.5471529514737978
Female,BMI,GaitMAE gait embeddings,0,0.9133523781609544
Female,BMI,GaitMAE gait embeddings,1,0.9111635416027956
Female,BMI,GaitMAE gait embeddings,2,0.9107770598185474
Female,BMI,GaitMAE gait embeddings,3,0.9112887214286614
Female,BMI,GaitMAE gait embeddings,4,0.9087449519858788
Female,BMI,GaitMAE gait embeddings,5,0.9091225653463126
Female,BMI,GaitMAE gait embeddings,6,0.9119218560233144
Female,BMI,GaitMAE gait embeddings,7,0.9070463511908332
Female,BMI,GaitMAE gait embeddings,8,0.9077172880857316
Female,BMI,GaitMAE gait embeddings,9,0.9111634415518756
Female,BMI,GaitMAE gait embeddings,10,0.9072775601124118
Female,BMI,GaitMAE gait embeddings,11,0.9110581848072924
Female,BMI,GaitMAE gait embeddings,12,0.9097894657047196
Female,BMI,GaitMAE gait embeddings,13,0.9101916745600328
Female,BMI,GaitMAE gait embeddings,14,0.9089706523579554
Female,BMI,Normalized keypoints,0,0.8894749075239125
Female,BMI,Normalized keypoints,1,0.8877010751679548
Female,BMI,Normalized keypoints,2,0.8889647605366531
Female,BMI,Normalized keypoints,3,0.8880599463758898
Female,BMI,Normalized keypoints,4,0.8883427966103653
Female,Grip right,GaitMAE gait embeddings,0,0.4238631616678727
Female,Grip right,GaitMAE gait embeddings,1,0.4226664156649075
Female,Grip right,GaitMAE gait embeddings,2,0.4217112006398089
Female,Grip right,GaitMAE gait embeddings,3,0.4163719670887003
Female,Grip right,GaitMAE gait embeddings,4,0.4242594319413952
Female,Grip right,GaitMAE gait embeddings,5,0.4244185347503459
Female,Grip right,GaitMAE gait embeddings,6,0.4213813958731979
Female,Grip right,GaitMAE gait embeddings,7,0.4221864728608049
Female,Grip right,GaitMAE gait embeddings,8,0.423256942064552
Female,Grip right,GaitMAE gait embeddings,9,0.4141217387353096
Female,Grip right,GaitMAE gait embeddings,10,0.4272434233931711
Female,Grip right,GaitMAE gait embeddings,11,0.4248468553056985
Female,Grip right,GaitMAE gait embeddings,12,0.4097101458201123
Female,Grip right,GaitMAE gait embeddings,13,0.4211574532686569
Female,Grip right,GaitMAE gait embeddings,14,0.4184732441594548
Female,Grip right,Normalized keypoints,0,0.3664526455723272
Female,Grip right,Normalized keypoints,1,0.3869723959443374
Female,Grip right,Normalized keypoints,2,0.3933199946421233
Female,Grip right,Normalized keypoints,3,0.3844525679412818
Female,Grip right,Normalized keypoints,4,0.3824389760547974
Female,Heart rate,GaitMAE gait embeddings,0,0.2762103998902979
Female,Heart rate,GaitMAE gait embeddings,1,0.2820324388147544
Female,Heart rate,GaitMAE gait embeddings,2,0.274003742348204
Female,Heart rate,GaitMAE gait embeddings,3,0.2610483071833351
Female,Heart rate,GaitMAE gait embeddings,4,0.2847499045988377
Female,Heart rate,GaitMAE gait embeddings,5,0.2669627818994257
Female,Heart rate,GaitMAE gait embeddings,6,0.2629561023142126
Female,Heart rate,GaitMAE gait embeddings,7,0.2601911615318495
Female,Heart rate,GaitMAE gait embeddings,8,0.2600598678481564
Female,Heart rate,GaitMAE gait embeddings,9,0.2707596698436744
Female,Heart rate,GaitMAE gait embeddings,10,0.2661923106357526
Female,Heart rate,GaitMAE gait embeddings,11,0.2662085674370319
Female,Heart rate,GaitMAE gait embeddings,12,0.2572382112745547
Female,Heart rate,GaitMAE gait embeddings,13,0.2714526097062839
Female,Heart rate,GaitMAE gait embeddings,14,0.2645315793852549
Female,Heart rate,Normalized keypoints,0,0.2032497916341801
Female,Heart rate,Normalized keypoints,1,0.2204945647253623
Female,Heart rate,Normalized keypoints,2,0.2019838926552536
Female,Heart rate,Normalized keypoints,3,0.214652032065282
Female,Heart rate,Normalized keypoints,4,0.2181526548865885
Female,Liver elasticity,GaitMAE gait embeddings,0,0.1697978035650457
Female,Liver elasticity,GaitMAE gait embeddings,1,0.1539565828379729
Female,Liver elasticity,GaitMAE gait embeddings,2,0.1537235008424641
Female,Liver elasticity,GaitMAE gait embeddings,3,0.1711203080117538
Female,Liver elasticity,GaitMAE gait embeddings,4,0.1625238655912125
Female,Liver elasticity,GaitMAE gait embeddings,5,0.1608330399462783
Female,Liver elasticity,GaitMAE gait embeddings,6,0.1715813213109282
Female,Liver elasticity,GaitMAE gait embeddings,7,0.1585216478251554
Female,Liver elasticity,GaitMAE gait embeddings,8,0.1360328012652631
Female,Liver elasticity,GaitMAE gait embeddings,9,0.1488469491643027
Female,Liver elasticity,GaitMAE gait embeddings,10,0.1534287654243472
Female,Liver elasticity,GaitMAE gait embeddings,11,0.176314336014821
Female,Liver elasticity,GaitMAE gait embeddings,12,0.1574842983068947
Female,Liver elasticity,GaitMAE gait embeddings,13,0.1600121871549266
Female,Liver elasticity,GaitMAE gait embeddings,14,0.1639746665484243
Female,Liver elasticity,Normalized keypoints,0,0.1483307514536884
Female,Liver elasticity,Normalized keypoints,1,0.12491781838293
Female,Liver elasticity,Normalized keypoints,2,0.131392624453234
Female,Liver elasticity,Normalized keypoints,3,0.117618369176178
Female,Liver elasticity,Normalized keypoints,4,0.1170822646566535
Female,VAT area,GaitMAE gait embeddings,0,0.7971604067803861
Female,VAT area,GaitMAE gait embeddings,1,0.79675466750226
Female,VAT area,GaitMAE gait embeddings,2,0.8004279297847375
