panel,gender,row_order,section,system,endpoint,label_display,paired_t_pvalue,paired_t_pvalue_fdr,fdr_significant_gain_q_lt_0p1,auc_selection_fdr,n_folds,n_subjects_mean,n_positive_mean,n_in_panel_title,baseline_auc_plotted,baseline_auc_raw,gait_auc,delta_auc_printed
a,male,1,MEDICAL CONDITIONS,medical_conditions,Vitiligo,Vitiligo,0.0003422639983647,0.0020535839901886,True,0.0052425986842105,10,1646,13,1607,0.5,0.4196264543784444,0.5663944163944165,0.06639441639441646
a,male,2,MEDICAL CONDITIONS,medical_conditions,Depression,Depression,0.0017353674317147,0.0062473227541731,True,0.0038311298076922,10,1646,40,1607,0.5489943960149439,0.5489943960149439,0.6603210933094503,0.1113266972945064
a,male,3,MEDICAL CONDITIONS,medical_conditions,Diabetes,Diabetes,0.0015498859117018,0.0061995436468072,True,0.0038311298076922,10,1646,30,1607,0.5,0.46714418316831685,0.5597752858789116,0.059775285878911566
a,male,4,MEDICAL CONDITIONS,medical_conditions_grouped,Sleep_disorder_any,Sleep Disorders,1.1683873213483997e-05,0.0004206194356854,True,0.0732421875,10,1646,74,1607,0.5611882028431996,0.5611882028431996,0.5748415022278803,0.01365329938468074
a,male,5,MEDICAL CONDITIONS,medical_conditions,Glaucoma,Glaucoma,0.0528394465170704,0.1151487368117607,False,0.0865028782894735,10,1646,13,1607,0.6333105657355504,0.6333105657355504,0.6763531018889255,0.043042536153375055
a,male,6,MEDICAL CONDITIONS,medical_conditions,Headache,Headache,0.0629025079899389,0.119183699349358,False,0.005859375,10,1646,25,1607,0.5,0.4761835232668565,0.5884281971898072,0.08842819718980721
a,male,7,MEDICAL CONDITIONS,medical_conditions,Psoriasis,Psoriasis,0.0091061537595463,0.0273184612786391,True,0.0038311298076922,10,1646,42,1607,0.5,0.4862761251632822,0.5329153812983048,0.03291538129830485
a,male,8,MEDICAL CONDITIONS,medical_conditions,Renal Stones,Renal Stones,0.2443331438674792,0.325777525156639,False,0.0191556490384615,10,1646,17,1607,0.5,0.4715018235655218,0.5378024100818692,0.03780241008186924
a,male,9,MEDICAL CONDITIONS,medical_conditions,Fractures,Fractures,0.008110458879867,0.0265433199704738,True,0.0038311298076922,10,1646,151,1607,0.5,0.4822022887626914,0.5376240862948908,0.03762408629489078
a,male,10,MEDICAL CONDITIONS,medical_conditions,Anal Fissure,Anal Fissure,0.052177242798819,0.1151487368117607,False,0.0038311298076922,10,1646,88,1607,0.5,0.4235075692659239,0.5368373109856075,0.036837310985607497
a,male,11,MEDICAL CONDITIONS,medical_conditions,Back Pain,Back Pain,7.281895744155346e-05,0.0008738274892986,True,0.0045276988636363,10,1646,295,1607,0.5560560214403043,0.5560560214403043,0.5791628895009201,0.023106868060615793
a,male,12,MEDICAL CONDITIONS,medical_conditions,Haemorrhoids,Haemorrhoids,0.0009218490741603,0.0041483208337217,True,0.0047433035714285,10,1646,294,1607,0.5352533587608954,0.5352533587608954,0.5470365699873898,0.011783211226494394
a,male,13,MEDICAL CONDITIONS,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,0.6470046758624779,0.7513602687435227,False,0.0047433035714285,10,1646,28,1607,0.500378521314482,0.500378521314482,0.5748841678232092,0.07450564650872715
a,male,14,MEDICAL CONDITIONS,medical_conditions,Osteoarthritis,Osteoarthritis,0.8321269898606535,0.8896528237907956,False,0.010485197368421,10,1646,27,1607,0.6449545901676846,0.6449545901676846,0.6802423241084952,0.03528773394081053
a,male,15,MEDICAL CONDITIONS,medical_conditions,Anemia,Anemia,0.8402276669135291,0.8896528237907956,False,0.0045276988636363,10,1646,31,1607,0.5,0.4250019361833953,0.5389548417132216,0.03895484171322161
a,male,16,MEDICAL CONDITIONS,medical_conditions,Heart valve disease,Heart valve disease,1.0,1.0,False,0.0045276988636363,10,1646,23,1607,0.5,0.4841276219561198,0.5627750939345143,0.0627750939345143
a,male,17,MEDICAL CONDITIONS,medical_conditions,Asthma,Asthma,0.5024914360312474,0.6029897232374969,False,0.0047433035714285,10,1646,90,1607,0.524038489003142,0.524038489003142,0.558099528099528,0.034061039096386025
a,male,18,MEDICAL CONDITIONS,medical_conditions,Sinusitis,Sinusitis,0.1934220596033322,0.2678151594507678,False,0.0045276988636363,10,1646,37,1607,0.5099339861925319,0.5099339861925319,0.6103261418329912,0.10039215564045922
a,male,19,MEDICAL CONDITIONS,medical_conditions,B12 Deficiency,B12 Deficiency,0.0119532869960608,0.0331014101429377,False,0.02178955078125,10,1646,53,1607,0.5434231805929918,0.5434231805929918,0.5613050229543614,0.017881842361369582
c,female,1,MEDICAL CONDITIONS,medical_conditions,Psoriasis,Psoriasis,2.3894421256164208e-06,4.5399400386712e-05,True,0.00537109375,10,1759,46,1721,0.5,0.4205563592984592,0.5414150498950705,0.0414150498950705
c,female,2,MEDICAL CONDITIONS,medical_conditions,Perimenopausal Disorders,Perimenopausal Disorders,0.0010538712570165,0.0041719218246903,True,0.00537109375,10,1759,16,1721,0.5549680866322433,0.5549680866322433,0.6133614966807484,0.05839341004850507
c,female,3,MEDICAL CONDITIONS,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,0.0001073895708664,0.000680133948821,True,0.0057051809210526,10,1759,25,1721,0.5322129255626082,0.5322129255626082,0.616967020284966,0.08475409472235773
c,female,4,MEDICAL CONDITIONS,medical_conditions,Fractures,Fractures,0.009990684849755,0.0210914457939274,True,0.0060221354166666,10,1759,139,1721,0.5054365151950665,0.5054365151950665,0.5390267693115212,0.033590254116454665
c,female,5,MEDICAL CONDITIONS,medical_conditions,Headache,Headache,0.0037277347283079,0.0118044933063084,True,0.00537109375,10,1759,53,1721,0.5132462562764051,0.5132462562764051,0.5742687559354226,0.061022499659017515
c,female,6,MEDICAL CONDITIONS,medical_conditions,Urinary Tract Stones,Urinary Tract Stones,0.1678506560570748,0.2704058030398086,False,0.00677490234375,10,1759,19,1721,0.5,0.3934042553191489,0.5956697459584296,0.09566974595842959
c,female,7,MEDICAL CONDITIONS,medical_conditions,Depression,Depression,0.4664289130256465,0.5236627530536606,False,0.0057051809210526,10,1759,66,1721,0.5615825129578738,0.5615825129578738,0.6044648137196924,0.04288230076181865
c,female,8,MEDICAL CONDITIONS,medical_conditions,Asthma,Asthma,0.5248137861577167,0.5248137861577167,False,0.0057051809210526,10,1759,99,1721,0.5351840696117804,0.5351840696117804,0.5679438967993184,0.032759827187538004
c,female,9,MEDICAL CONDITIONS,medical_conditions,Oral apthae,Oral apthae,0.2392724248269783,0.3247268622651848,False,0.0072265624999998,10,1759,59,1721,0.509057288601138,0.509057288601138,0.5632354685646501,0.05417817996351215
c,female,10,MEDICAL CONDITIONS,medical_conditions,IBS,IBS,0.0483518642946535,0.0918685421598416,False,0.00537109375,10,1759,65,1721,0.6121196984833348,0.6121196984833348,0.6461360448807854,0.03401634639745055
c,female,11,MEDICAL CONDITIONS,medical_conditions,Diabetes,Diabetes,0.4750709249571948,0.5236627530536606,False,0.0057051809210526,10,1759,22,1721,0.5315931334066049,0.5315931334066049,0.5792118071910818,0.04761867378447693
