panel,gender,row_order,system,endpoint,label_display,seed,baseline_auc_raw,baseline_auc_plotted,gait_auc
a,male,1,medical_conditions,Vitiligo,Vitiligo,0,0.5,0.5,0.5923971925196665
a,male,1,medical_conditions,Vitiligo,Vitiligo,1,0.5,0.5,0.5270620377785106
a,male,1,medical_conditions,Vitiligo,Vitiligo,2,0.5,0.5,0.4423665740260963
a,male,1,medical_conditions,Vitiligo,Vitiligo,3,0.5,0.5,0.5180178058316454
a,male,1,medical_conditions,Vitiligo,Vitiligo,4,0.5,0.5,0.4970559140797965
a,male,1,medical_conditions,Vitiligo,Vitiligo,5,0.5,0.5,0.5779829478543502
a,male,1,medical_conditions,Vitiligo,Vitiligo,6,0.5,0.5,0.4956427528380988
a,male,1,medical_conditions,Vitiligo,Vitiligo,7,0.5,0.5,0.4930519572283197
a,male,1,medical_conditions,Vitiligo,Vitiligo,8,0.5,0.5,0.589900607659334
a,male,1,medical_conditions,Vitiligo,Vitiligo,9,0.5,0.5,0.5238117669226059
a,male,2,medical_conditions,Depression,Depression,0,0.5614414694894148,0.5614414694894148,0.6480074719800747
a,male,2,medical_conditions,Depression,Depression,1,0.5342154420921544,0.5342154420921544,0.6315224159402242
a,male,2,medical_conditions,Depression,Depression,2,0.5613169364881694,0.5613169364881694,0.6302615193026152
a,male,2,medical_conditions,Depression,Depression,3,0.5545143212951433,0.5545143212951433,0.6398194271481943
a,male,2,medical_conditions,Depression,Depression,4,0.5414072229140723,0.5414072229140723,0.6321762141967621
a,male,2,medical_conditions,Depression,Depression,5,0.5538760896637609,0.5538760896637609,0.6178860523038605
a,male,2,medical_conditions,Depression,Depression,6,0.5538916562889166,0.5538916562889166,0.6032222914072229
a,male,2,medical_conditions,Depression,Depression,7,0.5307440846824407,0.5307440846824407,0.6586706102117061
a,male,2,medical_conditions,Depression,Depression,8,0.5312577833125779,0.5312577833125779,0.63796699875467
a,male,2,medical_conditions,Depression,Depression,9,0.5672789539227895,0.5672789539227895,0.6775373599003736
a,male,3,medical_conditions,Diabetes,Diabetes,0,0.5045379537953796,0.5045379537953796,0.6017739273927393
a,male,3,medical_conditions,Diabetes,Diabetes,1,0.5,0.5,0.5833952145214522
a,male,3,medical_conditions,Diabetes,Diabetes,2,0.5,0.5,0.5864892739273928
a,male,3,medical_conditions,Diabetes,Diabetes,3,0.5,0.5,0.5859529702970296
a,male,3,medical_conditions,Diabetes,Diabetes,4,0.5,0.5,0.5947813531353136
a,male,3,medical_conditions,Diabetes,Diabetes,5,0.5,0.5,0.603279702970297
a,male,3,medical_conditions,Diabetes,Diabetes,6,0.5,0.5,0.5844678217821783
a,male,3,medical_conditions,Diabetes,Diabetes,7,0.5,0.5,0.5590346534653465
a,male,3,medical_conditions,Diabetes,Diabetes,8,0.5,0.5,0.6038778877887789
a,male,3,medical_conditions,Diabetes,Diabetes,9,0.5,0.5,0.5513201320132013
a,male,4,medical_conditions_grouped,Sleep_disorder_any,Sleep Disorders,0,0.5752429450456185,0.5752429450456185,0.5865817950350095
a,male,4,medical_conditions_grouped,Sleep_disorder_any,Sleep Disorders,1,0.5654232972628899,0.5654232972628899,0.5920984510927223
a,male,4,medical_conditions_grouped,Sleep_disorder_any,Sleep Disorders,2,0.5479482283046891,0.5479482283046891,0.5831614682792277
a,male,4,medical_conditions_grouped,Sleep_disorder_any,Sleep Disorders,3,0.5749374071716528,0.5749374071716528,0.5755654572459156
a,male,4,medical_conditions_grouped,Sleep_disorder_any,Sleep Disorders,4,0.566509654148101,0.566509654148101,0.5875917674517293
a,male,4,medical_conditions_grouped,Sleep_disorder_any,Sleep Disorders,5,0.5411415234457883,0.5411415234457883,0.5639040950562274
a,male,4,medical_conditions_grouped,Sleep_disorder_any,Sleep Disorders,6,0.5487714831317633,0.5487714831317633,0.5852408232548271
a,male,4,medical_conditions_grouped,Sleep_disorder_any,Sleep Disorders,7,0.5595841290048802,0.5595841290048802,0.5569870570761724
a,male,4,medical_conditions_grouped,Sleep_disorder_any,Sleep Disorders,8,0.5622745597284108,0.5622745597284108,0.5461489497135582
a,male,4,medical_conditions_grouped,Sleep_disorder_any,Sleep Disorders,9,0.5700488011882028,0.5700488011882028,0.571135158073414
a,male,5,medical_conditions,Glaucoma,Glaucoma,0,0.6284328041829573,0.6284328041829573,0.6853360968486505
a,male,5,medical_conditions,Glaucoma,Glaucoma,1,0.6330020255311132,0.6330020255311132,0.6726176456733713
a,male,5,medical_conditions,Glaucoma,Glaucoma,2,0.5562673701069292,0.5562673701069292,0.6826039851147016
a,male,5,medical_conditions,Glaucoma,Glaucoma,3,0.648452588440341,0.648452588440341,0.586603231428706
a,male,5,medical_conditions,Glaucoma,Glaucoma,4,0.630858730981205,0.630858730981205,0.6427999434735503
a,male,5,medical_conditions,Glaucoma,Glaucoma,5,0.6285976729944887,0.6285976729944887,0.6367233501342503
a,male,5,medical_conditions,Glaucoma,Glaucoma,6,0.6314946535399689,0.6314946535399689,0.6869376795892412
a,male,5,medical_conditions,Glaucoma,Glaucoma,7,0.6780112110791842,0.6780112110791842,0.7269772481040087
a,male,5,medical_conditions,Glaucoma,Glaucoma,8,0.6501012765556551,0.6501012765556551,0.6497715389325922
a,male,5,medical_conditions,Glaucoma,Glaucoma,9,0.647887323943662,0.647887323943662,0.7931602995901832
