panel,gender,row_order,section,system,endpoint,label_display,paired_t_pvalue,paired_t_pvalue_fdr,fdr_significant_gain_q_lt_0p1,auc_selection_fdr,n_folds,n_subjects_mean,n_positive_mean,n_in_panel_title,label_printed,sensitivity_baseline_pct,sensitivity_gait_pct,delta_pp_printed
b,male,1,MEDICAL CONDITIONS,medical_conditions,Vitiligo,Vitiligo,0.0003422639983647,0.0020535839901886,True,0.0052425986842105,10,1646,13,1607,Vitiligo *,2.3076923076923,13.846153846153841,11.53846153846153
b,male,2,MEDICAL CONDITIONS,medical_conditions,Depression,Depression,0.0017353674317147,0.0062473227541731,True,0.0038311298076922,10,1646,40,1607,Depression *,12.0,21.74999999999999,9.749999999999991
b,male,3,MEDICAL CONDITIONS,medical_conditions,Diabetes,Diabetes,0.0015498859117018,0.0061995436468072,True,0.0038311298076922,10,1646,30,1607,Diabetes *,8.0,14.66666666666666,6.66666666666666
b,male,4,MEDICAL CONDITIONS,medical_conditions_grouped,Sleep_disorder_any,Sleep Disorders,1.1683873213483997e-05,0.0004206194356854,True,0.0732421875,10,1646,74,1607,Sleep Disorders *,14.000000000000002,20.666666666666668,6.66666666666666
b,male,5,MEDICAL CONDITIONS,medical_conditions,Glaucoma,Glaucoma,0.0528394465170704,0.1151487368117607,False,0.0865028782894735,10,1646,13,1607,Glaucoma,16.15384615384615,22.30769230769231,6.15384615384615
b,male,6,MEDICAL CONDITIONS,medical_conditions,Headache,Headache,0.0629025079899389,0.119183699349358,False,0.005859375,10,1646,25,1607,Headache,9.61538461538461,13.461538461538462,3.84615384615384
b,male,7,MEDICAL CONDITIONS,medical_conditions,Psoriasis,Psoriasis,0.0091061537595463,0.0273184612786391,True,0.0038311298076922,10,1646,42,1607,Psoriasis *,5.47619047619047,9.04761904761904,3.57142857142857
b,male,8,MEDICAL CONDITIONS,medical_conditions,Renal Stones,Renal Stones,0.2443331438674792,0.325777525156639,False,0.0191556490384615,10,1646,17,1607,Renal Stones,7.6470588235294095,10.58823529411764,2.94117647058823
b,male,9,MEDICAL CONDITIONS,medical_conditions,Fractures,Fractures,0.008110458879867,0.0265433199704738,True,0.0038311298076922,10,1646,151,1607,Fractures *,7.3717948717948705,10.19230769230769,2.82051282051282
b,male,10,MEDICAL CONDITIONS,medical_conditions,Anal Fissure,Anal Fissure,0.052177242798819,0.1151487368117607,False,0.0038311298076922,10,1646,88,1607,Anal Fissure,6.66666666666666,9.44444444444444,2.77777777777777
b,male,11,MEDICAL CONDITIONS,medical_conditions,Back Pain,Back Pain,7.281895744155346e-05,0.0008738274892986,True,0.0045276988636363,10,1646,295,1607,Back Pain *,10.83056478405315,13.455149501661129,2.62458471760797
b,male,12,MEDICAL CONDITIONS,medical_conditions,Haemorrhoids,Haemorrhoids,0.0009218490741603,0.0041483208337217,True,0.0047433035714285,10,1646,294,1607,Haemorrhoids *,9.47540983606557,10.91803278688524,1.44262295081967
b,male,13,MEDICAL CONDITIONS,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,0.6470046758624779,0.7513602687435227,False,0.0047433035714285,10,1646,28,1607,Peptic Ulcer Disease,9.6551724137931,10.68965517241379,1.03448275862069
b,male,14,MEDICAL CONDITIONS,medical_conditions,Osteoarthritis,Osteoarthritis,0.8321269898606535,0.8896528237907956,False,0.010485197368421,10,1646,27,1607,Osteoarthritis,20.74074074074074,21.11111111111111,0.37037037037037
b,male,15,MEDICAL CONDITIONS,medical_conditions,Anemia,Anemia,0.8402276669135291,0.8896528237907956,False,0.0045276988636363,10,1646,31,1607,Anemia,5.3125,5.625,0.3125
