bone_index,parent_index,parent_joint,child_index,child_joint
0,2,SPINE_CHEST,1,SPINE_NAVEL
1,1,SPINE_NAVEL,0,PELVIS
2,2,SPINE_CHEST,3,NECK
3,3,NECK,20,HEAD
4,20,HEAD,21,NOSE
5,2,SPINE_CHEST,4,CLAVICLE_LEFT
6,4,CLAVICLE_LEFT,5,SHOULDER_LEFT
7,5,SHOULDER_LEFT,6,ELBOW_LEFT
8,6,ELBOW_LEFT,7,WRIST_LEFT
9,0,PELVIS,12,HIP_LEFT
10,12,HIP_LEFT,13,KNEE_LEFT
11,13,KNEE_LEFT,14,ANKLE_LEFT
12,14,ANKLE_LEFT,15,FOOT_LEFT
13,21,NOSE,22,EYE_LEFT
14,22,EYE_LEFT,23,EAR_LEFT
15,2,SPINE_CHEST,8,CLAVICLE_RIGHT
16,8,CLAVICLE_RIGHT,9,SHOULDER_RIGHT
17,9,SHOULDER_RIGHT,10,ELBOW_RIGHT
18,10,ELBOW_RIGHT,11,WRIST_RIGHT
19,0,PELVIS,16,HIP_RIGHT
20,16,HIP_RIGHT,17,KNEE_RIGHT
21,17,KNEE_RIGHT,18,ANKLE_RIGHT
22,18,ANKLE_RIGHT,19,FOOT_RIGHT
23,21,NOSE,24,EYE_RIGHT
24,24,EYE_RIGHT,25,EAR_RIGHT
