node_index,joint_name,k4abt_index,x_mm,y_mm,display_offset_x_mm,display_offset_y_mm,drawn_x_mm,drawn_y_mm
0,PELVIS,0,0.0,0.0,0.0,0.0,0.0,0.0
1,SPINE_NAVEL,1,0.4,151.14,0.0,0.0,0.4,151.14
2,SPINE_CHEST,2,0.64,276.0,0.0,0.0,0.64,276.0
3,NECK,3,0.02,475.46,0.0,0.0,0.02,475.46
4,CLAVICLE_LEFT,4,31.15,442.92,0.0,0.0,31.15,442.92
5,SHOULDER_LEFT,5,159.67,416.67,0.0,0.0,159.67,416.67
6,ELBOW_LEFT,6,308.61,249.58,0.0,0.0,308.61,249.58
7,WRIST_LEFT,7,434.0,110.87,0.0,0.0,434.0,110.87
8,CLAVICLE_RIGHT,11,-30.78,442.21,0.0,0.0,-30.78,442.21
9,SHOULDER_RIGHT,12,-147.96,414.39,0.0,0.0,-147.96,414.39
10,ELBOW_RIGHT,13,-314.32,248.68,0.0,0.0,-314.32,248.68
11,WRIST_RIGHT,14,-453.52,112.19,0.0,0.0,-453.52,112.19
12,HIP_LEFT,18,83.93,0.03,0.0,0.0,83.93,0.03
13,KNEE_LEFT,19,70.55,-347.73,0.0,0.0,70.55,-347.73
14,ANKLE_LEFT,20,61.75,-658.62,0.0,0.0,61.75,-658.62
15,FOOT_LEFT,21,63.45,-801.81,0.0,0.0,63.45,-801.81
16,HIP_RIGHT,22,-75.68,-0.03,0.0,0.0,-75.68,-0.03
17,KNEE_RIGHT,23,-84.05,-345.51,0.0,0.0,-84.05,-345.51
18,ANKLE_RIGHT,24,-85.15,-660.22,0.0,0.0,-85.15,-660.22
19,FOOT_RIGHT,25,-119.06,-790.13,0.0,0.0,-119.06,-790.13
20,HEAD,26,-0.3,548.73,0.0,0.0,-0.3,548.73
21,NOSE,27,-0.4,545.81,0.0,23.0,-0.4,568.81
22,EYE_LEFT,28,23.76,585.26,0.0,0.0,23.76,585.26
23,EAR_LEFT,29,76.86,601.99,0.0,0.0,76.86,601.99
24,EYE_RIGHT,30,-24.17,581.97,0.0,0.0,-24.17,581.97
25,EAR_RIGHT,31,-75.8,605.99,0.0,0.0,-75.8,605.99
