panel,epoch,reconstruction_loss_m,plotted_y_natural_log_of_loss,n_logged_steps_averaged
c,0,0.5297170281410217,-0.635412324184105,1
c,1,0.030766736706430715,-3.481321149661993,873
c,2,0.011984585756031018,-4.4241339752282896,920
c,3,0.010234661864963765,-4.581975097545666,917
c,4,0.009393449350127103,-4.667742710284328,875
c,5,0.008884141552422531,-4.7234874396659805,870
c,6,0.008580769232644017,-4.758231715346645,905
c,7,0.008299545568521442,-4.791554516459012,832
c,8,0.00817112438950488,-4.8071487554051595,899
c,9,0.008151455871983324,-4.809558733083445,904
c,10,0.00792360134871952,-4.837909460760264,904
