panel,series,series_key,seed,auc,n_samples,n_positive
a,Gait Fusion,ensemble,0,0.9973198071090044,3405,1646
a,Gait Fusion,ensemble,1,0.9974472544255994,3405,1646
a,Gait Fusion,ensemble,2,0.9972037575199098,3405,1646
a,Gait Fusion,ensemble,3,0.997454162139236,3405,1646
a,Gait Fusion,ensemble,4,0.9970953064158156,3405,1646
a,Gait Fusion,ensemble,5,0.997417551256962,3405,1646
a,Gait Fusion,ensemble,6,0.9975885171694676,3405,1646
a,Gait Fusion,ensemble,7,0.9974071896865072,3405,1646
a,Gait Fusion,ensemble,8,0.9975266931324202,3405,1646
a,Gait Fusion,ensemble,9,0.9971754358939996,3405,1646
a,Gait Fusion,ensemble,10,0.9972852685408214,3405,1646
a,Gait Fusion,ensemble,11,0.9970093053810398,3405,1646
a,Gait Fusion,ensemble,12,0.997253838443775,3405,1646
a,Gait Fusion,ensemble,13,0.9975173677190108,3405,1646
a,Gait Fusion,ensemble,14,0.9973091001528676,3405,1646
a,Treadmill Walk (3 km/h),activity_tm_3kmh,0,0.9939048044713836,3189,1567
a,Treadmill Walk (3 km/h),activity_tm_3kmh,1,0.9936577232170608,3189,1567
a,Treadmill Walk (3 km/h),activity_tm_3kmh,2,0.9942223117520184,3189,1567
a,Treadmill Walk (3 km/h),activity_tm_3kmh,3,0.9943686719854712,3189,1567
a,Treadmill Walk (3 km/h),activity_tm_3kmh,4,0.994037787694252,3189,1567
a,Treadmill Walk (3 km/h),activity_tm_3kmh,5,0.9943399507568634,3189,1567
a,Treadmill Walk (3 km/h),activity_tm_3kmh,6,0.9946861792661058,3189,1567
a,Treadmill Walk (3 km/h),activity_tm_3kmh,7,0.9944272947671496,3189,1567
a,Treadmill Walk (3 km/h),activity_tm_3kmh,8,0.9947188349095912,3189,1567
a,Treadmill Walk (3 km/h),activity_tm_3kmh,9,0.9943470327036432,3189,1567
a,Treadmill Walk (3 km/h),activity_tm_3kmh,10,0.9943395573153756,3189,1567
a,Treadmill Walk (3 km/h),activity_tm_3kmh,11,0.9940094599071322,3189,1567
a,Treadmill Walk (3 km/h),activity_tm_3kmh,12,0.99418139383729,3189,1567
a,Treadmill Walk (3 km/h),activity_tm_3kmh,13,0.9943006066080858,3189,1567
a,Treadmill Walk (3 km/h),activity_tm_3kmh,14,0.994079492491956,3189,1567
a,Treadmill Walk (Self-Paced),activity_self_selected_gait_speed,0,0.9937470756041236,3257,1585
a,Treadmill Walk (Self-Paced),activity_self_selected_gait_speed,1,0.9936108553574932,3257,1585
a,Treadmill Walk (Self-Paced),activity_self_selected_gait_speed,2,0.993581045386624,3257,1585
a,Treadmill Walk (Self-Paced),activity_self_selected_gait_speed,3,0.9940417792401852,3257,1585
a,Treadmill Walk (Self-Paced),activity_self_selected_gait_speed,4,0.9936319864760842,3257,1585
a,Treadmill Walk (Self-Paced),activity_self_selected_gait_speed,5,0.9938663154876004,3257,1585
