spoke_index,system,system_display,label,label_display,pearson_r,score_pvalue,score_pvalue_fdr,n_seeds,n_subjects,description
0,body_composition,Body Comp,waist,Waist Circumference,0.8637145063490833,0.0,0.0,15,3328,"Waist circumference measured in centimeters, an anthropometric measurement of abdominal adiposity"
1,body_composition,Body Comp,body_comp_total_fat_free_mass,Fat-Free Mass,0.8589055587901541,0.0,0.0,15,3240,"Total fat-free mass of the entire body, measured in kilograms, representing total lean tissue mass including muscle and bone"
2,body_composition,Body Comp,body_comp_total_lean_mass,Total Lean Mass,0.8576631132922894,0.0,0.0,15,3240,"Total lean body mass measured in kilograms via DXA scan, representing muscle and organ tissue excluding fat and bone"
3,body_composition,Body Comp,body_comp_android_tissue_mass,Android Tissue Mass,0.8536662313003359,0.0,0.0,15,3240,"Total tissue mass in android region (upper body/abdominal area) measured in kilograms from DXA, including fat and lean tissue"
4,body_composition,Body Comp,body_comp_total_fat_mass,Total Fat Mass,0.8235931001670629,0.0,0.0,15,3240,"Total body fat mass across all regions (arms, legs, trunk, android and gynoid regions), measured in kilograms via DXA"
5,bone_density,Bone Density,body_arm_right_bmc,Body Arm Right Bmc,0.8418815107221399,0.0,0.0,15,3243,"Bone mineral content of the right arm measured by DXA scan, representing total bone mass in grams"
6,bone_density,Bone Density,body_arms_bmc,Arms BMC,0.8394021528389936,0.0,0.0,15,3243,"Combined bone mineral content of both arms measured by DXA scan, representing total bilateral arm bone mass in grams"
7,bone_density,Bone Density,body_total_area,Total Bone Area,0.835398449723097,0.0,0.0,15,3243,"Total body scan area measured by DXA (Dual-Energy X-ray Absorptiometry), representing the total scanned tissue area in cm²"
8,bone_density,Bone Density,body_legs_bmc,Legs BMC,0.8266110794529384,0.0,0.0,15,3243,"Combined bone mineral content of both legs measured via DXA imaging, representing total mineral mass in both lower limb skeletons"
9,bone_density,Bone Density,body_total_bmc,Total BMC,0.7903213605843152,0.0,0.0,15,3243,"Total Body Bone Mineral Content measured by DXA, representing the total mineral content of bones in grams"
10,frailty,Frailty,frailty_body_comp_arm_right_lean_mass,R Arm Lean Mass,0.8624087980186694,0.0,0.0,15,3240,"Lean muscle mass (fat-free mass excluding bone) in the right arm, typically measured in kilograms using bioelectrical impedance analysis (BIA) or DEXA. Component of total body lean mass assessment for frailty evaluation."
11,frailty,Frailty,frailty_body_comp_arm_left_lean_mass,L Arm Lean Mass,0.8370959637371349,0.0,0.0,15,3240,"Lean muscle mass (fat-free mass excluding bone) in the left arm, typically measured in kilograms using bioelectrical impedance analysis (BIA) or DEXA. Component of total body lean mass assessment for frailty evaluation."
