panel,gender,box_row,x_position,system,system_display,n_endpoints_in_box,n_significant,n_tested,median,q1,q3,whisker_low,whisker_high,minimum,maximum
a,male,Pearson r improvement (delta from baseline),1,hematopoietic,Hematopoietic,2,2,8,0.06850229871163929,0.0462695165282175,0.0907350808950611,0.0240367343447957,0.1129678630784829,0.0240367343447957,0.1129678630784829
a,male,Pearson r improvement (delta from baseline),2,frailty,Frailty,6,6,6,0.06551526962933504,0.0379906262494267,0.07887343481348286,0.0300050996261509,0.0958590143449751,0.0300050996261509,0.0958590143449751
a,male,Pearson r improvement (delta from baseline),3,mental,Mental,2,2,13,0.0545962643571624,0.04232751057056875,0.06686501814375606,0.0300587567839751,0.0791337719303497,0.0300587567839751,0.0791337719303497
a,male,Pearson r improvement (delta from baseline),4,lifestyle,Lifestyle,12,12,18,0.047899180133906094,0.038977938043415046,0.06421308066799568,0.0093912725997673,0.0839987229845117,0.0093912725997673,0.0839987229845117
a,male,Pearson r improvement (delta from baseline),5,blood_tests_lipids,Lipids,4,4,4,0.0477479837263727,0.03926189818033678,0.05545363782873252,0.0277574949230546,0.0646167467549864,0.0277574949230546,0.0646167467549864
a,male,Pearson r improvement (delta from baseline),6,nightingale,Nightingale,133,133,167,0.0449838236722313,0.0322037573925876,0.0609404615975304,0.0065500705671967,0.1026781101840931,0.0065500705671967,0.1244267183722295
a,male,Pearson r improvement (delta from baseline),7,metabolites,Metabolites,251,251,1810,0.0337046967270463,0.01766761492829475,0.06200531232005725,0.0049095250995309,0.1273162072094703,0.0049095250995309,0.2670307850812141
a,male,Pearson r improvement (delta from baseline),8,cardiovascular_system,Cardiovascular,32,32,165,0.0325086646328625,0.018593674198278873,0.05541937411908723,0.002388767481666,0.0888046937357753,0.002388767481666,0.0888046937357753
a,male,Pearson r improvement (delta from baseline),9,body_composition,Body Composition,95,95,116,0.0305497384103949,0.0166375100193522,0.0387281890307945,0.0033960140235455,0.0711634703913549,0.0033960140235455,0.18544881090113
a,male,Pearson r improvement (delta from baseline),10,bone_density,Bone Density,159,159,182,0.028272307086839,0.018095471948181202,0.0426231970964801,0.0023015044172073,0.0781300803541926,0.0023015044172073,0.1899092417752823
a,male,Pearson r improvement (delta from baseline),11,microbiome,Microbiome,68,68,516,0.02547465275602575,0.01373709836739065,0.0440917572484631,0.0043196212289041,0.0858514550350032,0.0043196212289041,0.1308663791133712
a,male,Pearson r improvement (delta from baseline),12,liver,Liver,5,5,11,0.0250771682535863,0.0174867116218435,0.0279026471040721,0.0085703555337416,0.0279026471040721,0.0085703555337416,0.0694836758207043
a,male,Pearson r improvement (delta from baseline),13,immune_system,Immune,4,4,11,0.02059806346229795,0.0139121846209063,0.02777739287578445,0.0057869672942329,0.0373829619187424,0.0057869672942329,0.0373829619187424
a,male,Pearson r improvement (delta from baseline),14,high_level_diet_with_stage,High Level Diet,33,33,92,0.0171786509733694,0.0098040638357634,0.0285803364387204,0.0040000222792576,0.045704287872112,0.0040000222792576,0.0788688785458838
a,male,Pearson r improvement (delta from baseline),15,anthropometric_group,Anthropometric,2,2,2,0.01537335146854075,0.014500348896088224,0.016246354040993276,0.0136273463236357,0.0171193566134458,0.0136273463236357,0.0171193566134458
a,male,Pearson r improvement (delta from baseline),16,sleep_group,Sleep,11,11,20,0.0135156894418975,0.011489009106070699,0.03251164349778675,0.0074476569515575,0.0627945754361754,0.0074476569515575,0.0627945754361754
a,male,Pearson r improvement (delta from baseline),17,renal_function,Renal,1,1,4,0.0108218675628566,0.0108218675628566,0.0108218675628566,0.0108218675628566,0.0108218675628566,0.0108218675628566,0.0108218675628566
a,male,Pearson r improvement (delta from baseline),18,glycemic_status,Glycemic,3,3,48,0.0069956693903127,0.0060999122675203,0.0160029260524748,0.0052041551447279,0.0250101827146369,0.0052041551447279,0.0250101827146369
a,male,Pearson r,1,hematopoietic,Hematopoietic,2,2,8,0.23969723500231271,0.236755171004523,0.2426392990001024,0.2338131070067333,0.2455813629978921,0.2338131070067333,0.2455813629978921
a,male,Pearson r,2,frailty,Frailty,6,6,6,0.7001754106315918,0.5323580595701073,0.8330026865696847,0.4694190619990315,0.8640150307383664,0.4694190619990315,0.8640150307383664
a,male,Pearson r,3,mental,Mental,2,2,13,0.16859346033704556,0.11956556170820362,0.21762135896588747,0.0705376630793617,0.2666492575947294,0.0705376630793617,0.2666492575947294
a,male,Pearson r,4,lifestyle,Lifestyle,12,12,18,0.1507518053099936,0.10556374314537326,0.20000114628078242,0.0703765483516959,0.3123436668823774,0.0703765483516959,0.3123436668823774
a,male,Pearson r,5,blood_tests_lipids,Lipids,4,4,4,0.31041431702932487,0.19214739010616183,0.40183792219674164,0.097047522556998,0.4164078244786667,0.097047522556998,0.4164078244786667
a,male,Pearson r,6,nightingale,Nightingale,133,133,167,0.2680730420180592,0.1493088502832454,0.3810494138181674,0.0821676042174072,0.5062621074033269,0.0821676042174072,0.5062621074033269
a,male,Pearson r,7,metabolites,Metabolites,251,251,1810,0.0955120664957202,0.0813921369746266,0.12804167534645533,0.0648371052759843,0.1974937997868818,0.0648371052759843,0.3266284168502526
a,male,Pearson r,8,cardiovascular_system,Cardiovascular,32,32,165,0.2380480915204365,0.11367864951087472,0.3232462225160734,0.0597939003579072,0.5203684206423622,0.0597939003579072,0.5203684206423622
a,male,Pearson r,9,body_composition,Body Composition,95,95,116,0.8226330356655714,0.7472899417498953,0.93421828932637,0.5135034804232889,0.9961539001747058,0.0605616640518848,0.9961539001747058
a,male,Pearson r,10,bone_density,Bone Density,159,159,182,0.51010810734986,0.41761655250467794,0.628471979257414,0.2426099481905917,0.8273538364603196,0.0630132343826109,0.8273538364603196
a,male,Pearson r,11,microbiome,Microbiome,68,68,516,0.07708254069273196,0.06655018044565833,0.10746807215503515,0.0523942300488245,0.1656710341950437,0.0523942300488245,0.1897144751210634
a,male,Pearson r,12,liver,Liver,5,5,11,0.2351820136058582,0.1973240149225854,0.4025522471276577,0.1949901002629654,0.5568270500917929,0.1949901002629654,0.5568270500917929
a,male,Pearson r,13,immune_system,Immune,4,4,11,0.18870445173902822,0.1506714252876955,0.21548618166614875,0.0793312312608139,0.2530724861203937,0.0793312312608139,0.2530724861203937
a,male,Pearson r,14,high_level_diet_with_stage,High Level Diet,33,33,92,0.1390836733208479,0.101157727138711,0.1782298366252986,0.0627308405263577,0.2393235544682328,0.0627308405263577,0.2393235544682328
a,male,Pearson r,15,anthropometric_group,Anthropometric,2,2,2,0.874321591122107,0.8554842785778847,0.8931589036663293,0.8366469660336624,0.9119962162105516,0.8366469660336624,0.9119962162105516
a,male,Pearson r,16,sleep_group,Sleep,11,11,20,0.2592912952975507,0.07513165175335015,0.40339067595515615,0.0638375533089471,0.4586758218941784,0.0638375533089471,0.4586758218941784
a,male,Pearson r,17,renal_function,Renal,1,1,4,0.0902469331641572,0.0902469331641572,0.0902469331641572,0.0902469331641572,0.0902469331641572,0.0902469331641572,0.0902469331641572
a,male,Pearson r,18,glycemic_status,Glycemic,3,3,48,0.1340421075041969,0.09666582374561215,0.1584787008386187,0.0592895399870274,0.1829152941730405,0.0592895399870274,0.1829152941730405
c,female,Pearson r improvement (delta from baseline),1,hematopoietic,Hematopoietic,2,2,8,0.08672343328935815,0.05157156737912773,0.12187529919958859,0.0164197014688973,0.157027165109819,0.0164197014688973,0.157027165109819
