panel,gender,x_position,system,system_display,label,pearson_r,baseline_pearson_r,pearson_r_improvement,score_pvalue,wilcox_pvalue,wilcox_pvalue_fdr,n_seeds,n_subjects,description
a,male,1,hematopoietic,Hematopoietic,bt__hct,0.2338131070067333,0.2097763726619376,0.0240367343447957,2.4956853446195903e-19,3.0517578125e-05,0.000121701605701,15,1602,Hematocrit - measures the percentage of blood volume occupied by red blood cells (%). Indicates the proportion of blood composed of RBCs.
a,male,1,hematopoietic,Hematopoietic,bt__mchc,0.2455813629978921,0.1326134999194092,0.1129678630784829,8.691731418873899e-23,3.0517578125e-05,0.000121701605701,15,1601,Mean Corpuscular Hemoglobin Concentration - measures the average concentration of hemoglobin within red blood cells (g/dL). Calculated from hemoglobin divided by hematocrit.
a,male,2,frailty,Frailty,frailty_body_comp_arm_left_lean_mass,0.6544081427572058,0.5941924171013623,0.0602157256558435,4.223660139327135e-193,3.0517578125e-05,0.000121701605701,15,1581,"Lean muscle mass (fat-free mass excluding bone) in the left arm, typically measured in kilograms using bioelectrical impedance analysis (BIA) or DEXA. Component of total body lean mass assessment for frailty evaluation."
a,male,2,frailty,Frailty,frailty_body_comp_arm_right_lean_mass,0.745942678505978,0.6751278649031514,0.0708148136028266,1.8065081701750742e-283,3.0517578125e-05,0.000121701605701,15,1581,"Lean muscle mass (fat-free mass excluding bone) in the right arm, typically measured in kilograms using bioelectrical impedance analysis (BIA) or DEXA. Component of total body lean mass assessment for frailty evaluation."
a,male,2,frailty,Frailty,frailty_body_comp_leg_left_lean_mass,0.8640150307383664,0.8334327709577453,0.0305822597806211,0.0,3.0517578125e-05,0.000121701605701,15,1581,"Lean muscle mass (fat-free mass excluding bone) in the left leg, typically measured in kilograms using bioelectrical impedance analysis (BIA) or DEXA. Used to assess muscular symmetry and overall lower body muscle mass in frailty evaluation."
a,male,2,frailty,Frailty,frailty_body_comp_leg_right_lean_mass,0.862022689257587,0.832017589631436,0.0300050996261509,0.0,3.0517578125e-05,0.000121701605701,15,1581,"Lean muscle mass (fat-free mass excluding bone) in the right leg, typically measured in kilograms using bioelectrical impedance analysis (BIA) or DEXA. A key body composition marker used to assess muscle loss and sarcopenia, which are core features of the frailty syndrome."
a,male,2,frailty,Frailty,hand_grip_left,0.4916746985077411,0.3958156841627659,0.0958590143449751,3.0785541646065834e-97,3.0517578125e-05,0.000121701605701,15,1606,"Maximal left hand grip strength measured in kilograms using a hand dynamometer, indicating muscular strength and overall physical function"
a,male,2,frailty,Frailty,hand_grip_right,0.4694190619990315,0.3878594201153298,0.0815596418837016,2.219826336075076e-87,3.0517578125e-05,0.000121701605701,15,1607,"Maximal right hand grip strength measured in kilograms using a hand dynamometer, indicating muscular strength and overall physical function"
a,male,3,mental,Mental,happiness_level,0.0705376630793617,-0.0085961088509879,0.0791337719303497,0.0154840862821832,3.0517578125e-05,0.000121701605701,15,1479,"Subjective rating of overall happiness and positive emotional state, a core measure of subjective well-being"
a,male,3,mental,Mental,health_satisfaction,0.2666492575947294,0.2365905008107542,0.0300587567839751,7.7147070585916575e-25,3.0517578125e-05,0.000121701605701,15,1483,Subjective rating of satisfaction with overall health status and health condition
a,male,4,lifestyle,Lifestyle,hours_computer_not_work,0.1076923954259404,0.0285830859496814,0.079109309476259,0.0003287464953726,3.0517578125e-05,0.000121701605701,15,1373,"Hours spent using computers for non-work purposes per week, measuring sedentary recreational screen time"
a,male,4,lifestyle,Lifestyle,hours_driving,0.0991777863036718,0.0381543439312501,0.0610234423724217,0.0020615142058901,3.0517578125e-05,0.000121701605701,15,1370,"Total hours spent driving per day/week, a lifestyle physical activity exposure measure"
a,male,4,lifestyle,Lifestyle,hours_outdoors_summer,0.0718604112888783,0.042173879526686,0.0296865317621923,0.0181686749713316,3.0517578125e-05,0.000121701605701,15,1362,"Total hours spent outdoors during summer season, a lifestyle environmental exposure measure"
a,male,4,lifestyle,Lifestyle,hours_outdoors_winter,0.0703765483516959,0.0609852757519286,0.0093912725997673,0.0269797817808973,0.023956298828125,0.0592145612162928,15,1365,"Hours spent outdoors during winter months, measuring seasonal sun exposure and outdoor activity"
a,male,4,lifestyle,Lifestyle,hours_watching_tv,0.1874224880444101,0.1404322032724848,0.0469902847719252,8.415457950559461e-11,3.0517578125e-05,0.000121701605701,15,1383,"Hours spent watching television per week, measuring sedentary screen-based leisure time"
a,male,4,lifestyle,Lifestyle,moderate_activity_days,0.298686178146839,0.2547927496111432,0.0438934285356957,7.337294437009602e-30,3.0517578125e-05,0.000121701605701,15,1380,Number of days per week on which the participant engages in moderate-intensity physical activity
a,male,4,lifestyle,Lifestyle,moderate_activity_minutes,0.1281676157312446,0.0729787160318751,0.0551888996993694,1.2360919900541573e-05,3.0517578125e-05,0.000121701605701,15,1364,"Total minutes per week spent in moderate-intensity physical activity, reflecting cardiovascular exercise exposure"
a,male,4,lifestyle,Lifestyle,sleep_hours,0.1294982302124083,0.0874231567419189,0.0420750734704893,8.104845342481117e-06,3.0517578125e-05,0.000121701605701,15,1383,"Average hours of sleep per 24-hour period, measuring sleep duration as a key health and lifestyle biomarker"
a,male,4,lifestyle,Lifestyle,vigorous_activity_minutes,0.2372155432131447,0.163433547658427,0.0737819955547176,5.074989532645993e-17,3.0517578125e-05,0.000121701605701,15,1289,"Total minutes per week of vigorous-intensity physical activity, a cardiovascular fitness and lifestyle measure"
a,male,4,lifestyle,Lifestyle,walking_days_per_week,0.1720053804075789,0.1519874861724859,0.0200178942350929,3.439552220905469e-09,9.1552734375e-05,0.0003175851117244,15,1388,Number of days per week on which the participant engages in at least 10 minutes of walking activity
a,male,4,lifestyle,Lifestyle,work_days_per_week,0.1875963473033283,0.1387882718074413,0.048808075495887,2.775683841991228e-11,3.0517578125e-05,0.000121701605701,15,1366,"Number of days per week spent working, measuring occupational time commitment"
a,male,4,lifestyle,Lifestyle,work_hours_per_day,0.3123436668823774,0.2283449438978656,0.0839987229845117,4.8451194410719734e-30,3.0517578125e-05,0.000121701605701,15,1359,Total hours worked per week as a measure of occupational time commitment and work-related lifestyle factor
a,male,5,blood_tests_lipids,Lipids,bt__hdl_cholesterol,0.3969812881027666,0.3538845888366691,0.0430966992660975,1.9924806723302776e-47,3.0517578125e-05,0.000121701605701,15,1213,HDL cholesterol blood concentration ('good' cholesterol) in mg/dL; protective factor for cardiovascular health
a,male,5,blood_tests_lipids,Lipids,bt__non_hdl_cholesterol,0.2238473459558831,0.1592305992008967,0.0646167467549864,7.093647690081655e-14,3.0517578125e-05,0.000121701605701,15,1167,"Non-HDL cholesterol blood concentration; measures total 'bad' cholesterol (LDL, VLDL, IDL) in mg/dL; indicator of cardiovascular risk"
a,male,5,blood_tests_lipids,Lipids,bt__total_cholesterol,0.097047522556998,0.0446482543703501,0.0523992681866479,0.0028152024982257,3.0517578125e-05,0.000121701605701,15,1222,"Total cholesterol blood concentration; sum of all cholesterol types (HDL, LDL, VLDL) in mg/dL; key cardiovascular health marker"
a,male,5,blood_tests_lipids,Lipids,bt__triglycerides,0.4164078244786667,0.3886503295556121,0.0277574949230546,3.9136471348537534e-52,3.0517578125e-05,0.000121701605701,15,1227,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health"
a,male,6,nightingale,Nightingale,ApoA1,0.244030407990612,0.2241458931825859,0.0198845148080261,6.732464231729488e-12,6.103515625e-05,0.0002186159060674,15,809,"Apolipoprotein A1 concentration (g/L or mmol/L), the major protein component of HDL cholesterol. Associated with cardiovascular health and lipid metabolism."
a,male,6,nightingale,Nightingale,ApoB,0.188193945871759,0.1417807955050745,0.0464131503666845,1.660514410614643e-07,3.0517578125e-05,0.000121701605701,15,809,"Apolipoprotein B concentration (g/L or mmol/L), the primary apolipoprotein in VLDL, LDL, and IDL particles. Key marker of cardiovascular disease risk."
a,male,6,nightingale,Nightingale,Cholines,0.1061269797993232,0.079377402429521,0.0267495773698022,0.0064610307462732,0.000213623046875,0.0006897340061253,15,807,"Serum/plasma choline concentration (µmol/L), an essential nutrient important for brain development, liver function, and muscle metabolism."
a,male,6,nightingale,Nightingale,Clinical_LDL_C,0.1351892064539986,0.0989841705562166,0.036205035897782,0.0002893925856447,3.0517578125e-05,0.000121701605701,15,809,"Clinical LDL cholesterol concentration (mmol/L or mg/dL), calculated or measured low-density lipoprotein cholesterol. Primary cardiovascular risk marker."
a,male,6,nightingale,Nightingale,Creatinine,0.14088138163979,0.0621816822734521,0.0786996993663379,0.0003120651539084,3.0517578125e-05,0.000121701605701,15,810,"Serum creatinine concentration (µmol/L or mg/dL), a waste product of muscle metabolism. Primary marker of kidney function and glomerular filtration rate."
a,male,6,nightingale,Nightingale,GlycA,0.4022775724587667,0.3713999143240157,0.030877658134751,5.9252136215580814e-33,3.0517578125e-05,0.000121701605701,15,810,Glycoprotein acetyls; a biomarker of low-grade chronic inflammation measured as a continuous concentration level
a,male,6,nightingale,Nightingale,HDL_C,0.3663933065213793,0.3289781436974024,0.0374151628239768,3.430775317773836e-26,3.0517578125e-05,0.000121701605701,15,809,HDL cholesterol concentration; the 'good cholesterol' that helps remove other cholesterol types from blood
a,male,6,nightingale,Nightingale,HDL_CE,0.3726683125032872,0.3359550767077216,0.0367132357955656,3.643448682580418e-27,3.0517578125e-05,0.000121701605701,15,809,HDL cholesterol ester content; the esterified cholesterol component within HDL particles
a,male,6,nightingale,Nightingale,HDL_FC,0.3298017329460655,0.2943956675796346,0.0354060653664308,1.8053852587480088e-21,3.0517578125e-05,0.000121701605701,15,809,HDL free cholesterol content; the unesterified cholesterol component within HDL particles
a,male,6,nightingale,Nightingale,HDL_L,0.3112286903937888,0.2801607533428206,0.0310679370509682,5.336633668864557e-19,3.0517578125e-05,0.000121701605701,15,809,HDL total lipid content; the aggregate lipid mass within HDL particles
a,male,6,nightingale,Nightingale,HDL_P,0.1456183920670281,0.1278351406290654,0.0177832514379626,4.293158069099764e-05,9.1552734375e-05,0.0003175851117244,15,809,HDL particle number/concentration; the count or concentration of HDL particles in blood
a,male,6,nightingale,Nightingale,HDL_PL,0.2862249946006662,0.2530965185845679,0.0331284760160983,7.041111544918252e-16,3.0517578125e-05,0.000121701605701,15,809,HDL phospholipid content; the phospholipid component within HDL particles
a,male,6,nightingale,Nightingale,HDL_size,0.5062621074033269,0.4222947295364619,0.0839673778668649,7.953639613560228e-54,3.0517578125e-05,0.000121701605701,15,809,HDL particle size; the average diameter or size classification of HDL particles in nanometers
a,male,6,nightingale,Nightingale,His,0.1274968343449614,0.0932584119790793,0.0342384223658821,0.0004036357938048,3.0517578125e-05,0.000121701605701,15,810,"Histidine; a free amino acid concentration in blood plasma, likely a component of amino acid profiling"
a,male,6,nightingale,Nightingale,IDL_C,0.0910373914944119,0.0034046637036193,0.0876327277907925,0.0201069033062231,3.0517578125e-05,0.000121701605701,15,809,IDL cholesterol concentration; cholesterol content within intermediate-density lipoprotein particles
a,male,6,nightingale,Nightingale,IDL_CE,0.0907165915001227,-0.0086434612755377,0.0993600527756604,0.0218448131815402,3.0517578125e-05,0.000121701605701,15,809,IDL cholesterol ester content; the esterified cholesterol component within IDL particles
a,male,6,nightingale,Nightingale,IDL_FC,0.1058169562701694,0.0518488157706027,0.0539681404995666,0.003903392445407,3.0517578125e-05,0.000121701605701,15,809,IDL free cholesterol content; the unesterified cholesterol component within IDL particles
a,male,6,nightingale,Nightingale,IDL_L,0.0905447836221088,-0.0157933925820415,0.1063381762041504,0.0137852634318443,3.0517578125e-05,0.000121701605701,15,809,IDL total lipid content; the aggregate lipid mass within IDL particles
a,male,6,nightingale,Nightingale,IDL_PL,0.104500917266594,-0.0199258011056355,0.1244267183722295,0.0072808306018531,3.0517578125e-05,0.000121701605701,15,809,IDL (Intermediate-Density Lipoprotein) Phospholipid content - measures the phospholipid component within intermediate-density lipoprotein particles
a,male,6,nightingale,Nightingale,IDL_TG,0.2580851518428782,0.2515350812756814,0.0065500705671967,4.7755692244732814e-12,0.0364990234375,0.0883844862134946,15,809,IDL (Intermediate-Density Lipoprotein) Triglyceride content - measures the triglyceride component within intermediate-density lipoprotein particles
a,male,6,nightingale,Nightingale,LA,0.21528682580076,0.1619554920857265,0.0533313337150334,7.380401909214798e-09,3.0517578125e-05,0.000121701605701,15,807,Linoleic Acid - a polyunsaturated fatty acid measured in blood
a,male,6,nightingale,Nightingale,LDL_C,0.1684515364253304,0.1169207921895905,0.0515307442357399,6.032666230526056e-06,3.0517578125e-05,0.000121701605701,15,809,LDL Cholesterol - total cholesterol content in low-density lipoprotein particles
a,male,6,nightingale,Nightingale,LDL_CE,0.1946683883684093,0.1368466915854375,0.0578216967829717,7.506734052059866e-08,3.0517578125e-05,0.000121701605701,15,809,LDL Cholesteryl Ester - cholesteryl ester (esterified cholesterol) content within LDL particles
a,male,6,nightingale,Nightingale,LDL_FC,0.1111928486362119,0.0741176091987852,0.0370752394374267,0.0037394110911524,3.0517578125e-05,0.000121701605701,15,809,LDL Free Cholesterol - unesterified (free) cholesterol content within LDL particles
a,male,6,nightingale,Nightingale,LDL_L,0.1767122643747328,0.1261959853986185,0.0505162789761143,1.407222536077613e-06,3.0517578125e-05,0.000121701605701,15,809,LDL Lipids - total lipid content within LDL particles
a,male,6,nightingale,Nightingale,LDL_PL,0.1719667383882785,0.1215001623105263,0.0504665760777522,4.047633177160695e-06,3.0517578125e-05,0.000121701605701,15,809,LDL Phospholipid - phospholipid content within LDL particles
a,male,6,nightingale,Nightingale,LDL_TG,0.3340320435408578,0.3027666634933343,0.0312653800475234,6.692354141419125e-21,3.0517578125e-05,0.000121701605701,15,809,LDL Triglyceride - triglyceride content within LDL particles
a,male,6,nightingale,Nightingale,L_HDL_C,0.4841082022221386,0.4194977066133069,0.0646104956088317,1.12312757596728e-48,3.0517578125e-05,0.000121701605701,15,809,Large HDL Cholesterol - cholesterol content in large high-density lipoprotein particles (protective 'good' cholesterol subclass)
a,male,6,nightingale,Nightingale,L_HDL_CE,0.4863195914653282,0.4243816180577433,0.0619379734075848,1.1113839998161122e-48,3.0517578125e-05,0.000121701605701,15,809,Large HDL Cholesteryl Ester - cholesteryl ester content in large HDL particles
a,male,6,nightingale,Nightingale,L_HDL_FC,0.4702298602275371,0.3985222386371966,0.0717076215903404,3.268501226719069e-46,3.0517578125e-05,0.000121701605701,15,809,Large HDL Free Cholesterol - free (unesterified) cholesterol content in large HDL particles
