panel,gender,bar_order,system,system_display,label,label_display,baseline_pearson_r,gait_pearson_r,pearson_r_improvement,baseline_seed_sd,gait_seed_sd,score_pvalue,wilcox_pvalue,wilcox_pvalue_fdr,n_seeds,n_subjects,description
b,male,1,frailty,Frailty,hand_grip_left,L Hand Grip,0.3958156841627659,0.4916746985077411,0.0958590143449751,0.0022136696885051185,0.005276502352285856,3.0785541646065834e-97,3.0517578125e-05,0.000121701605701,15,1606,"Maximal left hand grip strength measured in kilograms using a hand dynamometer, indicating muscular strength and overall physical function"
b,male,2,frailty,Frailty,hand_grip_right,R Hand Grip,0.3878594201153298,0.4694190619990315,0.0815596418837016,0.001689533998790847,0.004231731618783497,2.219826336075076e-87,3.0517578125e-05,0.000121701605701,15,1607,"Maximal right hand grip strength measured in kilograms using a hand dynamometer, indicating muscular strength and overall physical function"
b,male,3,lifestyle,Lifestyle,sleep_hours,Sleep Hours in 24H,0.0874231567419189,0.1294982302124083,0.0420750734704893,0.009910550135264826,0.012039769817761425,8.104845342481117e-06,3.0517578125e-05,0.000121701605701,15,1383,"Average hours of sleep per 24-hour period, measuring sleep duration as a key health and lifestyle biomarker"
b,male,4,lifestyle,Lifestyle,work_hours_per_day,Work Hours Per Day,0.2283449438978656,0.3123436668823774,0.0839987229845117,0.019012989298326247,0.010293187872086412,4.8451194410719734e-30,3.0517578125e-05,0.000121701605701,15,1359,Total hours worked per week as a measure of occupational time commitment and work-related lifestyle factor
b,male,5,blood_tests_lipids,Lipids,bt__triglycerides,Triglycerides,0.3886503295556121,0.4164078244786667,0.0277574949230546,0.0033748920401865962,0.005129892491800366,3.9136471348537534e-52,3.0517578125e-05,0.000121701605701,15,1227,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health"
b,male,6,blood_tests_lipids,Lipids,bt__hdl_cholesterol,HDL Cholesterol,0.3538845888366691,0.3969812881027666,0.0430966992660975,0.0021988296710924405,0.004093657268919825,1.9924806723302776e-47,3.0517578125e-05,0.000121701605701,15,1213,HDL cholesterol blood concentration ('good' cholesterol) in mg/dL; protective factor for cardiovascular health
b,male,7,nightingale,Nightingale,XL_HDL_PL,XL HDL Phospholipids,0.4010905683490299,0.4762274322191985,0.0751368638701686,0.002363739386785844,0.00885724439009644,2.07178635015978e-46,3.0517578125e-05,0.000121701605701,15,809,"Phospholipid content in extra-large high-density lipoprotein particles, measured in concentration units. Phospholipids are a major structural component of lipoprotein particles."
b,male,8,nightingale,Nightingale,GlycA,GlycA Inflammation Signal,0.3713999143240157,0.4022775724587667,0.030877658134751,0.004428319429709462,0.005291807441213411,5.9252136215580814e-33,3.0517578125e-05,0.000121701605701,15,810,Glycoprotein acetyls; a biomarker of low-grade chronic inflammation measured as a continuous concentration level
b,male,9,metabolites,Metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),0.0260079003272867,0.0980320040023464,0.0720241036750596,0.014828592058539107,0.019437498041284487,0.006658105546309,3.0517578125e-05,0.000121701605701,15,1048,Annotated metabolite (original: 2.34_661.2535m_z)
b,male,10,metabolites,Metabolites,5.37_291.1602m_z,5.37 291.1602M Z,-0.0277282717975776,0.2393025132836365,0.2670307850812141,0.02497770285482036,0.011928135428460466,5.584791372634196e-14,3.0517578125e-05,0.000121701605701,15,1048,
b,male,11,mental,Mental,happiness_level,Happiness Level,-0.0085961088509879,0.0705376630793617,0.0791337719303497,0.020306724668857547,0.014597317178632978,0.0154840862821832,3.0517578125e-05,0.000121701605701,15,1479,"Subjective rating of overall happiness and positive emotional state, a core measure of subjective well-being"
b,male,12,mental,Mental,health_satisfaction,Health Satisfaction,0.2365905008107542,0.2666492575947294,0.0300587567839751,0.003953986940867563,0.006236901555182381,7.7147070585916575e-25,3.0517578125e-05,0.000121701605701,15,1483,Subjective rating of satisfaction with overall health status and health condition
b,male,13,liver,Liver,liver_sound_speed,Liver Sound Speed,0.5317498818382066,0.5568270500917929,0.0250771682535863,0.001195196580330875,0.0037414901142830744,8.468558225435233e-131,3.0517578125e-05,0.000121701605701,15,1597,Measures the speed of sound propagation through liver tissue; a physical property used in ultrasound elastography and tissue characterization to assess liver stiffness and fibrosis.
b,male,14,liver,Liver,liver_viscosity,Liver Viscosity,0.2176953019840146,0.2351820136058582,0.0174867116218435,0.003639777828696201,0.008404565417368509,1.4905500174752636e-20,3.0517578125e-05,0.000121701605701,15,1598,"Measures the viscosity (thickness/resistance to flow) of liver tissue, typically obtained through ultrasound or imaging techniques to assess liver tissue properties and potential fibrosis or disease state."
b,male,15,cardiovascular_system,Cardiovascular,hr_bpm,Heart Rate,0.2778303821479939,0.3567861459088586,0.0789557637608647,0.0015089140338149722,0.0064271957719806505,1.6724587935346231e-47,3.0517578125e-05,0.000121701605701,15,1606,Heart rate measured in beats per minute
b,male,16,cardiovascular_system,Cardiovascular,automorph_vein_fractal_dimension,Vein Fractal Dimension,0.1752249292089388,0.2346878145489933,0.0594628853400545,0.014561362835665741,0.010107424332418888,8.009661719969668e-17,3.0517578125e-05,0.000121701605701,15,1291,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,17,bone_density,Bone Density,spine_l1_l4_area,Spine L1-L4 Area,0.361026949857043,0.5452565164860803,0.1842295666290372,0.00846116132361125,0.004119367501210057,1.5538807017742478e-113,3.0517578125e-05,0.000121701605701,15,1450,Projected bone area of the L1-L4 lumbar spine region measured in cm² via DXA. Standard assessment region representing the entire clinically-relevant lumbar spine.
b,male,18,bone_density,Bone Density,spine_l1_l3_bmc,Spine L1-L3 BMC,0.2777456295083482,0.4463530431394392,0.168607413631091,0.0021038549185076662,0.006165087895932901,2.188406422741272e-71,3.0517578125e-05,0.000121701605701,15,1447,Bone Mineral Content (BMC) of the L1-L3 lumbar spine region measured in grams via DXA. Total mineral mass across three lumbar vertebrae.
b,male,19,high_level_diet_with_stage,High Level Diet,folate_mcg,Folate Mcg,0.1560931688726581,0.1930027388027121,0.036909569930054,0.006295148834469661,0.00900057854495912,1.348122904270343e-13,3.0517578125e-05,0.000121701605701,15,1563,Mean daily folate (vitamin B9) intake in micrograms
b,male,20,high_level_diet_with_stage,High Level Diet,copper_mg,Copper Mg,0.1972544414342025,0.2228908965512232,0.0256364551170207,0.0044287912166608955,0.01458171112131945,9.822564055685336e-17,3.0517578125e-05,0.000121701605701,15,1563,Mean daily copper intake in milligrams
b,male,21,hematopoietic,Hematopoietic,bt__hct,Hct,0.2097763726619376,0.2338131070067333,0.0240367343447957,0.003733216378452657,0.01286994076998511,2.4956853446195903e-19,3.0517578125e-05,0.000121701605701,15,1602,Hematocrit - measures the percentage of blood volume occupied by red blood cells (%). Indicates the proportion of blood composed of RBCs.
b,male,22,sleep_group,Sleep,ahi,AHI,0.4484419136921892,0.4586758218941784,0.0102339082019891,0.0015240965922745976,0.0065993527384704655,1.6568717219954222e-75,0.000152587890625,0.0005099335192148,15,1491,"Apnea-Hypopnea Index; the number of apnea and hypopnea events per hour of sleep, a key diagnostic measure for sleep apnea severity"
b,male,23,sleep_group,Sleep,hypoxic_burden,Hypoxic Burden,0.4448027446764948,0.4560579804367605,0.0112552357602657,0.001510463944289334,0.007201155894063804,2.316408661509297e-73,0.00030517578125,0.0009607551557914,15,1491,"Cumulative measure of hypoxemia severity - quantifies the total oxygen desaturation burden during sleep, typically calculated as area under the curve of low oxygen saturation episodes"
b,male,24,renal_function,Renal,bt__creatinine,Creatinine,0.0794250656013006,0.0902469331641572,0.0108218675628566,0.007735889484697315,0.014019764597994134,0.0040115994871881,0.00213623046875,0.0060585359824231,15,1281,"Blood serum creatinine level, a waste product filtered by the kidneys. Measured in mg/dL or µmol/L. Used to assess kidney function and calculate glomerular filtration rate (GFR)."
d,female,1,frailty,Frailty,hand_grip_left,L Hand Grip,0.328467253955762,0.424268910580458,0.095801656624696,0.0015828244491665428,0.004709184472823806,1.1891097082618165e-74,3.0517578125e-05,0.0001494873604273,15,1721,"Maximal left hand grip strength measured in kilograms using a hand dynamometer, indicating muscular strength and overall physical function"
d,female,2,frailty,Frailty,hand_grip_right,R Hand Grip,0.345176320074462,0.4210445588822659,0.0758682388078039,0.0016408953398978202,0.004604235600311717,2.4643974298981463e-73,3.0517578125e-05,0.0001494873604273,15,1721,"Maximal right hand grip strength measured in kilograms using a hand dynamometer, indicating muscular strength and overall physical function"
d,female,3,lifestyle,Lifestyle,vigorous_activity_minutes,Vigorous Activity,0.1825225920003844,0.2350186722617094,0.052496080261325,0.004510503678625328,0.008032755540612183,8.638248925479492e-18,3.0517578125e-05,0.0001494873604273,15,1387,"Total minutes per week of vigorous-intensity physical activity, a cardiovascular fitness and lifestyle measure"
d,female,4,lifestyle,Lifestyle,walking_minutes_day,Walking Minutes Day,0.0284997277883734,0.0660260638323851,0.0375263360440116,0.01950715558463023,0.013152658947172794,0.0206063288980751,6.103515625e-05,0.0002675197706524,15,1497,"Average daily duration of walking activity measured in minutes, reflecting regular aerobic exercise engagement"
d,female,5,blood_tests_lipids,Lipids,bt__total_cholesterol,Total Cholesterol,0.2882136738088794,0.3216194366157093,0.0334057628068298,0.004849248259681848,0.007342452898397728,6.51731790232398e-30,3.0517578125e-05,0.0001494873604273,15,1248,"Total cholesterol blood concentration; sum of all cholesterol types (HDL, LDL, VLDL) in mg/dL; key cardiovascular health marker"
d,female,6,blood_tests_lipids,Lipids,bt__non_hdl_cholesterol,Non-HDL Cholesterol,0.3405036699710954,0.3855448900550483,0.0450412200839529,0.004734014994698219,0.008088304467674385,7.939894657283308e-43,3.0517578125e-05,0.0001494873604273,15,1190,"Non-HDL cholesterol blood concentration; measures total 'bad' cholesterol (LDL, VLDL, IDL) in mg/dL; indicator of cardiovascular risk"
