panel,gender,bar_order,system,label,label_display,seed,baseline_pearson_r,gait_pearson_r
b,male,1,frailty,hand_grip_left,L Hand Grip,0,0.3983988952113474,0.4971574607649126
b,male,1,frailty,hand_grip_left,L Hand Grip,1,0.3959564498962388,0.4992169524022777
b,male,1,frailty,hand_grip_left,L Hand Grip,2,0.3934616401504719,0.4961093198644363
b,male,1,frailty,hand_grip_left,L Hand Grip,3,0.3974582769051875,0.4914518057703477
b,male,1,frailty,hand_grip_left,L Hand Grip,4,0.395506862537235,0.4913304933278821
b,male,1,frailty,hand_grip_left,L Hand Grip,5,0.3988138847892236,0.4893341231698931
b,male,1,frailty,hand_grip_left,L Hand Grip,6,0.3933128315637272,0.4889772994081298
b,male,1,frailty,hand_grip_left,L Hand Grip,7,0.3973892904524781,0.4911564562040398
b,male,1,frailty,hand_grip_left,L Hand Grip,8,0.3928515068773359,0.4878957110555906
b,male,1,frailty,hand_grip_left,L Hand Grip,9,0.3937668328873298,0.4880801253312199
b,male,1,frailty,hand_grip_left,L Hand Grip,10,0.3931337199782537,0.4811764746377952
b,male,1,frailty,hand_grip_left,L Hand Grip,11,0.3939972785202272,0.4847567938231697
b,male,1,frailty,hand_grip_left,L Hand Grip,12,0.3982755249576749,0.4975118617697753
b,male,1,frailty,hand_grip_left,L Hand Grip,13,0.396774034854005,0.4921941843234354
b,male,1,frailty,hand_grip_left,L Hand Grip,14,0.3981382328607534,0.4987714157632109
b,male,2,frailty,hand_grip_right,R Hand Grip,0,0.3887014363885039,0.4752553922542141
b,male,2,frailty,hand_grip_right,R Hand Grip,1,0.3871511623547771,0.4675283014774592
b,male,2,frailty,hand_grip_right,R Hand Grip,2,0.389432887505675,0.468669539611983
b,male,2,frailty,hand_grip_right,R Hand Grip,3,0.3861346556390786,0.4689797789161229
b,male,2,frailty,hand_grip_right,R Hand Grip,4,0.3883002278648232,0.4727255219181655
b,male,2,frailty,hand_grip_right,R Hand Grip,5,0.3895355618064325,0.4691870240377408
b,male,2,frailty,hand_grip_right,R Hand Grip,6,0.3874543433110785,0.4678681866986305
b,male,2,frailty,hand_grip_right,R Hand Grip,7,0.3888027703644728,0.4740886278417865
b,male,2,frailty,hand_grip_right,R Hand Grip,8,0.3902875884882628,0.4721007533955008
b,male,2,frailty,hand_grip_right,R Hand Grip,9,0.3867550964810633,0.4672078432885781
b,male,2,frailty,hand_grip_right,R Hand Grip,10,0.3893408065123425,0.4708782064924231
b,male,2,frailty,hand_grip_right,R Hand Grip,11,0.3880195608475587,0.4712830063959811
b,male,2,frailty,hand_grip_right,R Hand Grip,12,0.3875953670662498,0.4726502418684651
b,male,2,frailty,hand_grip_right,R Hand Grip,13,0.3868612167949743,0.4581608514904904
b,male,2,frailty,hand_grip_right,R Hand Grip,14,0.3835186203046563,0.4647026542979323
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,0,0.0923890019008501,0.1213512556254748
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,1,0.0959700371286395,0.1418333737531568
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,2,0.1053013256246649,0.1260211140961231
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,3,0.0975931935180479,0.1191234721704272
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,4,0.0789996918471081,0.1369762305144113
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,5,0.0787180697013529,0.1451417692684369
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,6,0.0837732088258258,0.1195700602169075
