panel,gender_of_panel,label,label_display,system,activity,role,model,gender_of_row,score_type,pearson_r,score_pvalue,n_seeds,n_subjects,used_by_figure,description
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_self_selected_gait_speed,full model,long_seq,male,pearson_r,0.4581644643018297,3.4036590436841856e-42,10,1598,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_self_selected_gait_speed,masked head,long_masked_head,male,pearson_r,0.4562750779827166,6.523679092514967e-42,10,1598,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_self_selected_gait_speed,masked arms,long_masked_arms,male,pearson_r,0.461796398399631,2.1868995143150497e-42,10,1598,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_self_selected_gait_speed,masked torso,long_masked_torso,male,pearson_r,0.4605815997089117,1.3861203133983013e-42,10,1598,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_self_selected_gait_speed,masked legs,long_masked_legs,male,pearson_r,0.4560307379186837,8.919425656694687e-42,10,1598,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_self_selected_gait_speed,all but head,long_all_but_head,male,pearson_r,0.4646723997920835,2.5159161139512153e-43,10,1598,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_self_selected_gait_speed,all but arms,long_all_but_arms,male,pearson_r,0.4613799033154194,8.091961609379145e-43,10,1598,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_self_selected_gait_speed,all but torso,long_all_but_torso,male,pearson_r,0.4628821281287429,2.9994416147236084e-43,10,1598,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_self_selected_gait_speed,all but legs,long_all_but_legs,male,pearson_r,0.4575120003098478,5.2877314180940896e-42,10,1598,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_tm_3kmh,full model,long_seq,male,pearson_r,0.4611042406267029,6.956329313877916e-42,10,1556,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_tm_3kmh,masked head,long_masked_head,male,pearson_r,0.4565194547920096,3.5079748904181976e-41,10,1556,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_tm_3kmh,masked arms,long_masked_arms,male,pearson_r,0.4619342840808163,9.868105171500632e-42,10,1556,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_tm_3kmh,masked torso,long_masked_torso,male,pearson_r,0.4624530758201713,3.3119274136428546e-42,10,1556,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_tm_3kmh,masked legs,long_masked_legs,male,pearson_r,0.4552223556154521,8.481292290772937e-41,10,1556,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_tm_3kmh,all but head,long_all_but_head,male,pearson_r,0.4657270023478319,5.511200271429903e-43,10,1556,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_tm_3kmh,all but arms,long_all_but_arms,male,pearson_r,0.4591604556552012,2.3575883222597155e-41,10,1556,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_tm_3kmh,all but torso,long_all_but_torso,male,pearson_r,0.4628006612742107,2.148637985808226e-42,10,1556,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,L_HDL_P,L Hdl P,nightingale_group,activity_tm_3kmh,all but legs,long_all_but_legs,male,pearson_r,0.4614207108299186,5.3269714491293525e-42,10,1556,True,"HDL particle number - measures the total number of high-density lipoprotein particles, a key cardiovascular risk marker"
b,male,age,Age,age_gender_bmi_VAT,activity_self_selected_gait_speed,full model,long_seq,male,pearson_r,0.6284881808540765,3.161560206923393e-171,10,3257,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_self_selected_gait_speed,full model,long_seq,male,pearson_r,0.6450534358316281,2.3998853842584887e-184,10,3257,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_self_selected_gait_speed,masked head,long_masked_head,male,pearson_r,0.5815876778791969,2.1255734485998426e-141,10,3257,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_self_selected_gait_speed,masked head,long_masked_head,male,pearson_r,0.600125673241777,8.725466550555365e-153,10,3257,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_self_selected_gait_speed,masked arms,long_masked_arms,male,pearson_r,0.604682186729863,8.918683412765339e-156,10,3257,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_self_selected_gait_speed,masked arms,long_masked_arms,male,pearson_r,0.6225326566412589,1.8922890045842225e-168,10,3257,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_self_selected_gait_speed,masked torso,long_masked_torso,male,pearson_r,0.6034663548290858,3.117858416983736e-155,10,3257,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_self_selected_gait_speed,masked torso,long_masked_torso,male,pearson_r,0.630780482775547,5.110289229817738e-174,10,3257,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_self_selected_gait_speed,masked legs,long_masked_legs,male,pearson_r,0.588535087751102,3.288648663687377e-145,10,3257,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_self_selected_gait_speed,masked legs,long_masked_legs,male,pearson_r,0.6214515425452048,6.867741253128168e-167,10,3257,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_self_selected_gait_speed,all but head,long_all_but_head,male,pearson_r,0.4320311743665451,2.2829310808332835e-70,10,3257,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_self_selected_gait_speed,all but head,long_all_but_head,male,pearson_r,0.5445145224077511,2.5429633930157452e-120,10,3257,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_self_selected_gait_speed,all but arms,long_all_but_arms,male,pearson_r,0.4452731876698409,2.695731855773757e-76,10,3257,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_self_selected_gait_speed,all but arms,long_all_but_arms,male,pearson_r,0.537379325500343,4.750245402695287e-117,10,3257,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_self_selected_gait_speed,all but torso,long_all_but_torso,male,pearson_r,0.438387508691853,6.754132787455917e-74,10,3257,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_self_selected_gait_speed,all but torso,long_all_but_torso,male,pearson_r,0.4925409958857401,3.026313603985257e-96,10,3257,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_self_selected_gait_speed,all but legs,long_all_but_legs,male,pearson_r,0.49165968971678,1.8695000767015333e-95,10,3257,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_self_selected_gait_speed,all but legs,long_all_but_legs,male,pearson_r,0.5211428410318972,9.103301301534413e-110,10,3257,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_tm_3kmh,full model,long_seq,male,pearson_r,0.6333160086608378,3.7108786152871767e-174,10,3189,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_tm_3kmh,full model,long_seq,male,pearson_r,0.6481756227300955,8.670065824908911e-185,10,3189,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_tm_3kmh,masked head,long_masked_head,male,pearson_r,0.5940795448912881,3.6835769591766715e-145,10,3189,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_tm_3kmh,masked head,long_masked_head,male,pearson_r,0.6126315369028635,1.9068788620416257e-157,10,3189,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_tm_3kmh,masked arms,long_masked_arms,male,pearson_r,0.6130700528843823,1.6694077628523148e-159,10,3189,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_tm_3kmh,masked arms,long_masked_arms,male,pearson_r,0.6260408562799948,1.6053655529937193e-169,10,3189,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_tm_3kmh,masked torso,long_masked_torso,male,pearson_r,0.6063615669212988,1.2460572945403636e-155,10,3189,True,Age of subject at time of measurement in years
