panel,gender,body_group,list_position,label,label_display,importance_in_listed_group,data_top_group,importance_head,importance_arms,importance_torso,importance_legs
b,male,Head,1,L_HDL_P,L Hdl P,1.876463373875922,head,1.876463373875922,0.14020154819148117,0.6444489309656254,1.0
b,male,Head,2,bt__hdl_cholesterol,BT HDL Cholesterol,1.8363789445312935,head,1.8363789445312935,1.2428006794716766,0.599008954919292,1.0
b,male,Head,3,body_head_bmc,Head BMC,1.7897461248184952,head,1.7897461248184952,1.726812403331304,0.7326715738752542,0.6519781290676736
b,male,Head,4,lying_blood_pressure_pulse_rate,Heart Rate,1.779223961867698,head,1.779223961867698,0.0,1.48856736025209,0.7019346080949717
b,male,Head,5,body_comp_android_fat_mass,Android Fat Mass,1.6706219715504493,head,1.6706219715504493,1.41211871823047,1.1253767664695904,0.0
b,male,Arms,1,body_comp_arms_tissue_mass,Arms Tissue Mass,2.0,arms,0.08895768677327788,2.0,0.6253277709482058,0.14997044758478514
b,male,Arms,2,bmi,BMI,2.0,arms,0.0,2.0,0.5439149012512339,0.7734657889384811
b,male,Arms,3,body_arms_bmc,Arms BMC,2.0,arms,0.6403355962889277,2.0,0.0,1.5863388942908732
b,male,Arms,4,automorph_artery_fractal_dimension,Artery Fractal Dim,1.7029868285089684,arms,0.05110209091015339,1.7029868285089684,0.2359085978850863,1.2980898052866432
b,male,Arms,5,bt__hct,BT Hct,1.6727062278812754,arms,0.17557991474627827,1.6727062278812754,1.190032276326918,0.2783436234838616
b,male,Torso,1,vigorous_activity_days,Vigorous Activity Days,2.0,torso,0.1280870767682969,0.1498748115183709,2.0,0.8207992154881907
b,male,Torso,2,liver_elasticity,Liver Elasticity,2.0,torso,0.27611888970487475,0.8961950024111034,2.0,0.5412802774178247
b,male,Torso,3,wearable_weightlifting_monthly_hours,Weightlifting Monthly Hours,2.0,torso,1.1118324209322759,0.0,2.0,0.940898163068772
b,male,Torso,4,rdi,Rdi,2.0,torso,1.39581089667998,0.0,2.0,1.3335872431227975
b,male,Torso,5,total_scan_vat_area,Total Scan Vat Area,1.8482620353573846,torso,0.0,1.8264739673661095,1.8482620353573846,1.7313796699571182
b,male,Legs,1,body_legs_bmc,Legs BMC,2.0,legs,0.4470644120056324,0.25190254287765407,0.41690489624350935,2.0
b,male,Legs,2,automorph_vein_fractal_dimension,Vein Fractal Dim,2.0,legs,0.3409554758845712,0.6602468507238969,0.0,2.0
b,male,Legs,3,liver_sound_speed,Liver Sound Speed,2.0,legs,0.0,0.8887333191732931,0.5240653313087539,2.0
b,male,Legs,4,liver_viscosity,Liver Viscosity,2.0,legs,0.4999252595430476,0.7400587017841942,0.9127283280750338,2.0
b,male,Legs,5,age,Age,1.4232201142204999,legs,1.0,0.4252652394852814,0.32100471935635977,1.4232201142204999
c,female,Head,1,automorph_artery_fractal_dimension,Artery Fractal Dim,2.0,head,2.0,0.4914367050364751,0.3094587680532906,0.0
c,female,Head,2,snoring,Snoring,2.0,head,2.0,0.0,1.5608294304857553,0.23754110915562976
c,female,Head,3,L_HDL_P,L Hdl P,1.956382158349252,head,1.956382158349252,0.8529203113045933,1.8310855746691177,0.26706464073727004
c,female,Head,4,bt__ferritin,BT Ferritin,1.7952920172898705,head,1.7952920172898705,1.0,0.4906825365926748,0.06640458698545793
c,female,Head,5,bt__hct,BT Hct,1.5420675871961371,head,1.5420675871961371,0.3096974433013944,0.7673925293721185,1.5259852000864742
c,female,Arms,1,body_comp_arms_fat_mass,Arms Fat Mass,2.0,arms,0.0,2.0,0.45986732511050643,0.7624742859261732
c,female,Arms,2,bmi,BMI,2.0,arms,0.009898724991298033,2.0,0.3064180148503312,0.9943919418915455
c,female,Arms,3,total_scan_vat_area,Total Scan Vat Area,2.0,arms,0.0,2.0,0.5836747297876137,1.2015066287850287
c,female,Arms,4,liver_sound_speed,Liver Sound Speed,2.0,arms,0.0,2.0,0.9483100194941934,1.3407358189637826
c,female,Arms,5,age,Age,2.0,arms,0.9480956280450359,2.0,0.0,1.8800037885914687
c,female,Torso,1,heart_rate_mean_during_sleep,HR During Sleep,2.0,torso,0.7304793141951192,0.04183759443987169,2.0,0.8368772903010598
c,female,Torso,2,wearable_weightlifting_monthly_hours,Weightlifting Monthly Hours,2.0,torso,1.1186801115929517,0.10702637227671212,2.0,0.4571787118744858
c,female,Torso,3,sleep_hours,Sleep Hours in 24H,2.0,torso,1.775225416374826,0.28803268213235883,2.0,0.7716137049368709
c,female,Torso,4,rdi,Rdi,1.967838933134785,torso,0.6800982667059519,1.9021087106213879,1.967838933134785,0.0
c,female,Torso,5,liver_viscosity,Liver Viscosity,1.816772732664842,torso,0.766681018470975,0.0,1.816772732664842,1.13593294901331
c,female,Legs,1,body_comp_legs_lean_mass,Legs Lean Mass,2.0,legs,0.1912425917298404,0.09960136603659857,0.45172607751967375,2.0
c,female,Legs,2,walking_10min_days_a_week,Days A Week Walking,2.0,legs,0.635548924577372,0.3613588898941644,0.5417920624456642,2.0
c,female,Legs,3,body_legs_bmc,Legs BMC,2.0,legs,0.5079873641749623,0.17659255219218115,0.5954781643915588,2.0
c,female,Legs,4,hand_grip_right,R Hand Grip Strength,2.0,legs,0.0,0.6908385647076507,0.4365473908414177,2.0
c,female,Legs,5,bt__triglycerides,BT Triglycerides,2.0,legs,0.8260360031823676,0.6765726012784634,0.1458952178513205,2.0
